time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,7.0,7.0,7.0,7.0,0,,
2020-01-03,7.0,7.0,7.0,7.0,0,,
2020-01-06,7.0,7.0,7.0,7.0,0,,
2020-01-07,7.0,7.0,7.0,7.0,0,,
2020-01-08,7.0,7.0,7.0,7.0,0,,
2020-01-09,7.0,7.0,7.0,7.0,0,,
2020-01-10,7.0,7.0,7.0,7.0,0,,
2020-01-13,7.0,7.0,7.0,7.0,0,,
2020-01-14,7.0,7.0,7.0,7.0,0,,
2020-01-15,7.0,7.0,7.0,7.0,0,,
2020-01-16,7.0,7.0,7.0,7.0,0,,
2020-01-17,7.0,7.0,7.0,7.0,0,,
2020-01-20,7.0,7.0,7.0,7.0,0,,
2020-01-21,7.0,7.0,7.0,7.0,0,,
2020-01-22,7.0,7.0,7.0,7.0,0,,
2020-01-30,7.0,7.0,7.0,7.0,0,,
2020-01-31,7.0,7.0,7.0,7.0,0,,
2020-02-03,7.0,7.0,7.0,7.0,0,,
2020-02-04,7.0,7.0,7.0,7.0,0,,
2020-02-05,7.0,7.0,7.0,7.0,0,7.0,7.0
2020-02-06,7.0,7.0,7.0,7.0,0,7.0,7.0
2020-02-07,7.0,7.0,7.0,7.0,0,7.0,7.0
2020-02-10,7.0,7.0,7.0,7.0,0,7.0,7.0
2020-02-11,7.0,7.0,7.0,7.0,0,7.0,7.0
2020-02-12,7.0,7.0,7.0,7.0,0,7.0,7.0
2020-02-13,7.0,7.0,7.0,7.0,0,7.0,7.0
2020-02-14,7.0,7.9,7.0,7.9,1200,7.045,7.0857
2020-02-17,7.8,7.9,7.9,7.9,0,7.09,7.1633
2020-02-18,7.8,7.9,7.9,7.9,0,7.135,7.2334
2020-02-19,7.8,7.9,7.9,7.9,0,7.18,7.2969
2020-02-20,7.8,7.9,7.9,7.9,0,7.225,7.3544
2020-02-21,7.9,8.0,7.9,8.0,13500,7.275,7.4158
2020-02-24,8.0,8.0,8.0,8.0,0,7.325,7.4715
2020-02-25,8.0,8.0,8.0,8.0,0,7.375,7.5218
2020-02-26,8.0,8.0,8.0,8.0,0,7.425,7.5674
2020-02-27,8.0,8.0,8.0,8.0,0,7.475,7.6086
2020-02-28,8.0,8.0,8.0,8.0,0,7.525,7.6458
2020-03-02,8.0,8.0,8.0,8.0,0,7.575,7.6796
2020-03-03,8.0,8.0,8.0,8.0,0,7.625,7.7101
2020-03-04,8.0,8.0,8.0,8.0,0,7.675,7.7377
2020-03-05,8.0,8.0,8.0,8.0,0,7.725,7.7627
2020-03-06,8.0,8.0,8.0,8.0,0,7.775,7.7853
2020-03-09,8.0,8.0,8.0,8.0,0,7.825,7.8057
2020-03-10,8.0,8.0,8.0,8.0,0,7.875,7.8242
2020-03-11,8.0,8.0,8.0,8.0,0,7.925,7.841
2020-03-12,8.0,8.0,8.0,8.0,0,7.975,7.8561
2020-03-13,8.0,8.0,8.0,8.0,400,7.98,7.8698
2020-03-16,8.0,8.0,8.0,8.0,0,7.985,7.8822
2020-03-17,8.0,8.0,8.0,8.0,0,7.99,7.8934
2020-03-18,8.0,8.0,8.0,8.0,0,7.995,7.9036
