time,open,high,low,close,volume,SMA_20,EMA_20
2021-12-28,20.81,20.81,20.81,20.81,57000,,
2021-12-29,23.85,23.85,23.85,23.85,1000,,
2021-12-30,27.38,27.38,27.38,27.38,133850,,
2021-12-31,31.41,31.41,31.41,31.41,278100,,
2022-01-04,36.12,36.12,36.12,36.12,288701,,
2022-01-05,41.52,41.52,41.42,41.52,390253,,
2022-01-06,47.6,47.7,35.33,35.63,324550,,
2022-01-07,34.35,35.63,32.29,32.29,167102,,
2022-01-10,31.41,32.19,27.68,27.68,95800,,
2022-01-11,24.54,31.8,23.65,27.78,184800,,
2022-01-12,26.6,29.25,26.6,26.6,61000,,
2022-01-13,27.58,27.58,23.56,24.54,103411,,
2022-01-14,24.54,24.54,23.36,23.65,91400,,
2022-01-17,24.14,24.14,20.61,21.59,85300,,
2022-01-18,21.79,24.24,21.0,23.07,59300,,
2022-01-19,23.95,24.54,23.07,24.24,70726,,
2022-01-20,24.83,24.83,23.85,23.95,58100,,
2022-01-21,24.14,24.14,22.57,23.56,51902,,
2022-01-24,23.56,24.54,23.07,23.07,41350,,
2022-01-25,23.46,23.46,22.57,22.97,18200,27.0855,24.9053
2022-01-26,24.05,24.34,23.16,23.85,32900,27.2375,24.8048
2022-01-27,22.87,24.14,22.87,23.16,52500,27.203,24.6481
2022-01-28,22.97,23.85,22.97,23.46,47400,27.007,24.535
2022-02-07,23.56,25.03,23.56,23.95,42300,26.634,24.4793
2022-02-08,23.56,24.14,23.46,23.85,48500,26.0205,24.4193
2022-02-09,23.75,23.95,23.65,23.85,51200,25.137,24.3651
2022-02-10,23.75,23.85,23.26,23.56,47300,24.5335,24.2884
2022-02-11,22.77,23.95,22.67,23.26,34800,24.082,24.1905
2022-02-14,23.26,23.46,23.07,23.07,40100,23.8515,24.0838
2022-02-15,22.38,23.07,22.08,22.57,20900,23.591,23.9396
2022-02-16,22.38,22.57,21.79,22.38,53600,23.38,23.7911
2022-02-17,21.59,23.56,21.59,23.16,47200,23.311,23.731
2022-02-18,23.56,25.91,23.56,24.14,36100,23.3355,23.7699
2022-02-21,23.46,24.14,23.46,24.14,32000,23.463,23.8052
2022-02-22,23.56,23.75,23.36,23.36,53700,23.4775,23.7628
2022-02-23,23.56,24.05,23.56,23.85,35700,23.458,23.7711
2022-02-24,23.65,23.65,22.97,23.07,27302,23.414,23.7043
2022-02-25,23.36,23.85,23.36,23.75,30901,23.4235,23.7087
2022-02-28,23.56,24.34,23.56,24.14,43700,23.477,23.7497
2022-03-01,23.56,23.95,23.46,23.56,25800,23.5065,23.7317
2022-03-02,23.26,24.05,23.26,23.56,33500,23.492,23.7153
2022-03-03,23.56,23.95,23.56,23.56,38700,23.512,23.7005
2022-03-04,23.56,24.05,23.56,23.75,37300,23.5265,23.7052
2022-03-07,26.01,26.01,23.56,23.56,17000,23.507,23.6914
2022-03-08,23.56,24.05,23.56,23.95,34000,23.512,23.716
2022-03-09,23.56,24.44,23.56,24.44,30200,23.5415,23.785
2022-03-10,24.34,24.34,23.75,24.24,39700,23.5755,23.8283
2022-03-11,24.14,24.73,23.75,23.85,31200,23.605,23.8304
2022-03-14,23.95,24.14,23.65,23.95,50500,23.649,23.8418
2022-03-15,25.52,25.52,23.85,24.34,31402,23.7375,23.8892
2022-03-16,24.14,24.24,23.95,24.05,46701,23.821,23.9045
2022-03-17,24.05,24.34,24.05,24.14,45700,23.87,23.927
2022-03-18,24.34,25.52,24.34,24.73,39600,23.8995,24.0034
2022-03-21,25.03,25.32,24.54,24.83,25300,23.934,24.0822
2022-03-22,25.52,25.52,24.73,25.03,14000,24.0175,24.1724
2022-03-23,25.32,25.32,24.54,25.03,33902,24.0765,24.2541
2022-03-24,25.22,25.52,24.54,24.93,23600,24.1695,24.3185
2022-03-25,25.22,25.32,24.54,24.64,50000,24.214,24.3491
2022-03-28,25.32,25.52,24.54,24.54,27501,24.234,24.3673
2022-03-29,25.32,25.32,24.93,25.13,36100,24.3125,24.4399
2022-03-30,25.13,25.42,24.54,24.54,40400,24.3615,24.4495
2022-03-31,24.93,25.03,24.54,24.64,52600,24.4155,24.4676
2022-04-01,21.49,25.32,21.49,24.83,37400,24.4695,24.5021
