time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,5.38,5.38,5.38,5.38,0,,
2020-01-03,4.88,5.88,4.88,5.88,400,,
2020-01-06,5.88,5.88,5.88,5.88,0,,
2020-01-07,6.46,6.46,6.46,6.46,400,,
2020-01-08,5.88,5.88,5.88,5.88,100,,
2020-01-09,5.3,5.3,5.3,5.3,200,,
2020-01-10,4.8,4.8,4.8,4.8,100,,
2020-01-13,4.8,4.8,4.8,4.8,10,,
2020-01-14,4.8,4.8,4.8,4.8,0,,
2020-01-15,4.8,4.8,4.8,4.8,0,,
2020-01-16,4.8,4.8,4.8,4.8,0,,
2020-01-17,4.8,4.8,4.8,4.8,0,,
2020-01-20,4.8,4.8,4.8,4.8,0,,
2020-01-21,4.8,4.8,4.8,4.8,0,,
2020-01-22,4.8,4.8,4.8,4.8,0,,
2020-01-30,4.8,4.8,4.8,4.8,0,,
2020-01-31,4.8,4.8,4.8,4.8,0,,
2020-02-03,4.8,4.8,4.8,4.8,0,,
2020-02-04,4.8,4.8,4.8,4.8,0,,
2020-02-05,4.8,4.8,4.8,4.8,0,5.099,4.9889
2020-02-06,4.8,4.8,4.8,4.8,0,5.07,4.9709
2020-02-07,4.8,4.8,4.8,4.8,0,5.016,4.9546
2020-02-10,5.21,5.21,4.39,4.39,2100,4.9415,4.9008
2020-02-11,4.39,4.39,4.39,4.39,0,4.838,4.8522
2020-02-12,4.06,4.06,4.06,4.06,3600,4.747,4.7767
2020-02-13,4.39,4.39,4.39,4.39,100,4.7015,4.7399
2020-02-14,4.55,4.8,4.55,4.8,900,4.7015,4.7456
2020-02-17,4.8,4.8,4.8,4.8,0,4.7015,4.7508
2020-02-18,4.8,4.8,4.8,4.8,0,4.7015,4.7555
2020-02-19,4.8,4.8,4.8,4.8,0,4.7015,4.7597
2020-02-20,4.8,4.8,4.8,4.8,0,4.7015,4.7636
2020-02-21,4.8,4.8,4.8,4.8,0,4.7015,4.767
2020-02-24,4.8,4.8,4.8,4.8,0,4.7015,4.7702
2020-02-25,4.8,4.8,4.8,4.8,0,4.7015,4.773
2020-02-26,4.8,4.8,4.8,4.8,0,4.7015,4.7756
2020-02-27,4.8,4.8,4.8,4.8,0,4.7015,4.7779
2020-02-28,4.8,4.8,4.8,4.8,0,4.7015,4.78
2020-03-02,5.21,5.21,5.21,5.21,2500,4.722,4.821
2020-03-03,5.21,5.21,5.21,5.21,10,4.7425,4.858
2020-03-04,5.21,5.21,5.21,5.21,0,4.763,4.8915
2020-03-05,5.21,5.21,5.21,5.21,4010,4.7835,4.9219
2020-03-06,5.21,5.21,5.21,5.21,0,4.804,4.9493
2020-03-09,5.21,5.21,5.21,5.21,0,4.845,4.9741
2020-03-10,5.21,5.21,5.21,5.21,0,4.886,4.9966
2020-03-11,5.21,5.21,5.21,5.21,0,4.9435,5.0169
2020-03-12,5.21,5.21,5.21,5.21,0,4.9845,5.0353
2020-03-13,5.21,5.21,5.21,5.21,0,5.005,5.0519
2020-03-16,5.21,5.21,5.21,5.21,0,5.0255,5.067
2020-03-17,5.21,5.21,5.21,5.21,0,5.046,5.0806
2020-03-18,5.21,5.21,5.21,5.21,0,5.0665,5.0929
2020-03-19,5.21,5.21,5.21,5.21,0,5.087,5.1041
2020-03-20,5.21,5.21,5.21,5.21,0,5.1075,5.1142
2020-03-23,5.21,5.21,5.21,5.21,0,5.128,5.1233
2020-03-24,4.72,4.72,4.72,4.72,1100,5.124,5.0849
2020-03-25,4.72,4.72,4.72,4.72,0,5.12,5.0501
2020-03-26,4.72,4.72,4.72,4.72,0,5.116,5.0187
2020-03-27,4.72,4.72,4.72,4.72,0,5.112,4.9903
2020-03-30,4.72,4.72,4.72,4.72,0,5.0875,4.9645
2020-03-31,5.13,5.13,4.39,4.47,55000,5.0505,4.9174
2020-04-01,4.88,4.88,4.06,4.06,600,4.993,4.8358
2020-04-03,4.06,4.06,4.06,4.06,20,4.9355,4.7619
2020-04-06,4.39,4.39,4.39,4.39,200,4.8945,4.7265
2020-04-07,4.39,4.39,4.39,4.39,0,4.8535,4.6944
2020-04-08,4.39,4.39,4.39,4.39,0,4.8125,4.6654
2020-04-09,4.14,4.14,4.14,4.14,100,4.759,4.6154
2020-04-10,4.14,4.14,4.14,4.14,0,4.7055,4.5701
2020-04-13,4.14,4.14,4.14,4.14,0,4.652,4.5291
2020-04-14,4.14,4.14,4.14,4.14,0,4.5985,4.4921
2020-04-15,3.89,3.89,3.89,3.89,100,4.5325,4.4347
2020-04-16,3.89,3.89,3.89,3.89,0,4.4665,4.3829
2020-04-17,3.89,3.89,3.89,3.89,0,4.4005,4.3359
2020-04-20,3.89,3.89,3.89,3.89,330360,4.3345,4.2935
2020-04-21,3.89,3.89,3.89,3.89,0,4.2685,4.255
2020-04-22,3.89,3.89,3.89,3.89,0,4.227,4.2203
2020-04-23,4.22,4.22,4.22,4.22,600,4.202,4.2202
2020-04-24,4.64,4.64,4.64,4.64,500,4.198,4.2602
2020-04-27,5.05,5.05,5.05,5.05,330,4.2145,4.3354
2020-04-28,5.38,5.55,4.55,5.38,66000,4.2475,4.4349
2020-04-29,5.88,5.88,5.88,5.88,5200,4.318,4.5725
2020-05-04,5.88,5.88,5.88,5.88,0,4.409,4.6971
2020-05-05,5.88,5.88,5.88,5.88,0,4.5,4.8097
2020-05-06,5.38,5.38,5.38,5.38,30030,4.5495,4.864
2020-05-07,5.38,5.38,5.38,5.38,30600,4.599,4.9132
2020-05-08,5.38,5.38,4.88,4.88,190800,4.6235,4.91
2020-05-11,4.88,4.88,4.88,4.88,0,4.6605,4.9072
2020-05-12,4.88,4.88,4.88,4.88,67,4.6975,4.9046
2020-05-13,4.88,4.88,4.88,4.88,0,4.7345,4.9022
2020-05-14,5.13,5.13,5.13,5.13,100,4.784,4.9239
2020-05-15,5.13,5.13,5.13,5.13,0,4.846,4.9435
2020-05-18,5.13,5.13,5.13,5.13,0,4.908,4.9613
2020-05-19,5.13,5.13,5.13,5.13,0,4.97,4.9774
2020-05-20,5.63,5.63,4.97,5.05,461833,5.028,4.9843
2020-05-21,5.38,5.55,5.38,5.38,1050,5.1025,5.022
2020-05-22,5.88,5.88,5.3,5.3,1100,5.173,5.0485
2020-05-25,5.3,5.3,5.3,5.3,0,5.227,5.0724
2020-05-26,5.3,5.79,5.3,5.38,8200,5.264,5.1017
2020-05-27,5.88,5.88,5.13,5.38,500,5.2805,5.1282
2020-05-28,5.88,5.88,5.38,5.38,400,5.2805,5.1522
2020-05-29,5.38,5.38,5.38,5.38,0,5.2555,5.1739
2020-06-01,5.38,5.38,5.38,5.38,0,5.2305,5.1935
2020-06-02,5.38,5.38,5.38,5.38,0,5.2055,5.2113
2020-06-03,5.38,5.38,5.38,5.38,0,5.2055,5.2273
2020-06-04,5.38,5.38,5.38,5.38,0,5.2055,5.2419
2020-06-05,5.38,5.38,5.38,5.38,0,5.2305,5.255
2020-06-08,5.88,5.88,5.88,5.88,100,5.2805,5.3146
2020-06-09,5.88,5.88,5.88,5.88,0,5.3305,5.3684
2020-06-10,6.46,6.46,6.21,6.21,202205,5.397,5.4486
2020-06-11,5.88,6.21,5.88,6.21,5665,5.451,5.5211
2020-06-12,6.21,6.21,5.88,6.21,6400,5.505,5.5867
2020-06-15,5.88,6.21,5.88,6.21,5105,5.559,5.6461
2020-06-16,5.88,6.21,5.88,6.21,620,5.613,5.6998
2020-06-17,5.88,6.21,5.88,6.21,4420,5.671,5.7484
2020-06-18,6.21,6.21,5.88,6.21,12100,5.7125,5.7923
2020-06-19,5.88,6.21,5.88,6.21,5100,5.758,5.8321
2020-06-22,6.21,6.21,5.79,6.21,2600,5.8035,5.8681
2020-06-23,6.21,6.21,6.21,6.21,15500,5.845,5.9007
2020-06-24,5.88,5.88,5.88,5.88,100,5.87,5.8987
2020-06-25,6.21,6.21,6.21,6.21,140,5.9115,5.9283
2020-06-26,5.88,6.79,5.88,6.29,29810,5.957,5.9628
2020-06-29,5.96,6.87,5.96,5.96,2200,5.986,5.9625
2020-06-30,6.54,6.54,5.88,5.88,1100,6.011,5.9547
2020-07-01,6.21,6.37,5.88,6.21,5300,6.0525,5.979
2020-07-02,6.46,6.54,5.88,5.88,8290,6.0775,5.9695
2020-07-03,6.46,6.46,5.79,5.79,6200,6.098,5.9524
2020-07-06,5.79,5.79,5.79,5.79,0,6.0935,5.937
2020-07-07,5.79,5.79,5.79,5.79,30,6.089,5.923
2020-07-08,6.37,6.37,5.88,6.21,4600,6.089,5.9503
2020-07-09,6.79,6.79,5.71,5.79,2900,6.068,5.935
2020-07-10,5.96,6.37,5.96,5.96,1200,6.0555,5.9374
2020-07-13,6.37,6.54,5.96,6.29,2400,6.0595,5.971
2020-07-14,6.29,6.87,5.79,6.13,2500,6.0555,5.9861
2020-07-15,6.7,6.7,5.79,5.79,10100,6.0345,5.9675
2020-07-16,5.79,5.79,5.79,5.79,100,6.0135,5.9506
2020-07-17,6.37,6.37,6.37,6.37,100,6.0215,5.9905
2020-07-20,6.37,6.95,5.88,5.88,8100,6.005,5.98
2020-07-21,6.37,6.37,6.04,6.04,200,5.9965,5.9857
2020-07-22,6.62,6.62,5.96,5.96,1100,6.0005,5.9833
2020-07-23,5.96,5.96,5.96,5.96,30,5.988,5.981
2020-07-24,5.96,5.96,5.96,5.96,10,5.9715,5.979
2020-07-27,5.96,5.96,5.96,5.96,0,5.9715,5.9772
2020-07-28,6.54,6.54,5.79,5.79,2200,5.967,5.9594
2020-07-29,5.79,5.79,5.79,5.79,0,5.946,5.9433
2020-07-30,5.79,5.79,5.79,5.79,0,5.9415,5.9287
2020-07-31,5.79,5.79,5.79,5.79,0,5.9415,5.9155
2020-08-03,6.37,6.37,5.79,5.79,1100,5.9415,5.9035
2020-08-04,5.79,5.79,5.79,5.79,0,5.9415,5.8927
2020-08-05,6.37,6.37,5.46,5.46,2300,5.904,5.8515
2020-08-06,5.96,5.96,5.55,5.55,1100,5.892,5.8228
2020-08-07,6.04,6.04,5.63,5.63,2100,5.8755,5.8044
2020-08-10,6.13,6.13,5.71,5.79,2300,5.8505,5.803
2020-08-11,6.37,6.37,5.71,5.71,1100,5.8295,5.7942
2020-08-12,5.71,5.71,5.71,5.71,0,5.8255,5.7862
2020-08-13,6.21,6.21,5.79,5.79,610,5.8255,5.7865
2020-08-14,5.79,5.79,5.79,5.79,0,5.7965,5.7869
2020-08-17,5.79,5.79,5.79,5.79,0,5.792,5.7872
2020-08-18,6.37,6.37,5.88,5.88,600,5.784,5.796
2020-08-19,5.88,5.88,5.88,5.88,0,5.78,5.804
2020-08-20,5.88,5.88,5.88,5.88,0,5.776,5.8112
2020-08-21,5.88,5.88,5.88,5.88,0,5.772,5.8178
2020-08-24,6.46,6.46,5.88,5.88,600,5.768,5.8237
2020-08-25,6.46,6.46,5.46,5.55,2000,5.756,5.7976
2020-08-26,5.55,5.55,5.55,5.55,0,5.744,5.7741
2020-08-27,6.04,6.04,5.79,5.79,2100,5.744,5.7756
2020-08-28,6.29,6.37,5.88,5.88,2421,5.7485,5.7855
2020-08-31,6.37,6.37,5.96,5.96,500,5.757,5.8021
2020-09-01,6.54,6.54,5.96,5.96,3700,5.7655,5.8172
2020-09-03,6.54,6.54,5.96,5.96,3200,5.7905,5.8308
2020-09-04,6.46,6.46,5.96,5.96,200,5.811,5.8431
2020-09-07,5.96,5.96,5.79,5.79,2500,5.819,5.838
2020-09-08,5.79,5.79,5.79,5.79,0,5.819,5.8335
2020-09-09,5.79,5.79,5.79,5.79,3200,5.823,5.8293
2020-09-10,6.29,6.37,5.79,5.79,3900,5.827,5.8256
2020-09-11,5.79,5.79,5.63,5.63,5300,5.819,5.8069
2020-09-14,6.13,6.13,5.79,5.79,800,5.819,5.8053
2020-09-15,6.29,6.37,5.79,5.96,8660,5.8275,5.8201
2020-09-16,6.29,6.54,5.79,5.79,8800,5.823,5.8172
2020-09-17,6.37,6.37,5.96,5.96,800,5.827,5.8308
2020-09-18,6.37,6.54,5.88,5.96,5400,5.831,5.8431
2020-09-21,6.37,6.54,6.04,6.04,4300,5.839,5.8619
2020-09-22,6.54,6.54,6.04,6.04,400,5.847,5.8788
2020-09-23,6.04,6.04,6.04,6.04,0,5.8715,5.8942
2020-09-24,6.04,6.04,6.04,6.04,0,5.896,5.9081
2020-09-25,6.04,6.04,6.04,6.04,0,5.9085,5.9206
2020-09-28,6.04,6.04,6.04,6.04,0,5.9165,5.932
2020-09-29,6.04,6.04,6.04,6.04,100,5.9205,5.9423
2020-09-30,6.04,6.04,6.04,6.04,0,5.9245,5.9516
2020-10-01,6.62,6.62,5.79,5.96,2000,5.9245,5.9524
2020-10-02,6.46,6.46,6.04,6.04,200,5.9285,5.9607
2020-10-05,6.04,6.04,6.04,6.04,0,5.941,5.9683
2020-10-06,6.21,6.21,6.21,6.21,300,5.962,5.9913
2020-10-07,6.21,6.21,6.21,6.21,0,5.983,6.0121
2020-10-08,6.13,6.79,6.13,6.13,5800,6.0,6.0234
2020-10-09,6.7,6.7,6.21,6.21,400,6.029,6.0411
2020-10-12,6.79,6.79,6.21,6.21,5100,6.05,6.0572
2020-10-13,6.79,6.79,6.29,6.29,1000,6.0665,6.0794
2020-10-14,6.62,6.87,6.29,6.37,1300,6.0955,6.1071
2020-10-15,6.95,6.95,6.37,6.46,3600,6.1205,6.1407
2020-10-16,7.04,7.04,6.54,6.54,4200,6.1495,6.1787
2020-10-19,7.12,7.12,6.62,6.62,2300,6.1785,6.2207
2020-10-20,7.28,7.28,6.04,6.29,2600,6.191,6.2273
2020-10-21,6.04,6.04,6.04,6.04,100,6.191,6.2095
2020-10-22,6.62,6.62,5.96,5.96,2900,6.187,6.1857
2020-10-23,5.96,5.96,5.96,5.96,0,6.183,6.1642
2020-10-26,5.96,5.96,5.96,5.96,0,6.179,6.1448
2020-10-27,6.46,6.46,6.46,6.46,600,6.2,6.1748
2020-10-28,6.46,6.46,6.46,6.46,0,6.221,6.202
2020-10-29,6.87,7.04,6.87,7.04,1000,6.275,6.2818
2020-10-30,7.04,7.7,7.04,7.04,358500,6.325,6.354
2020-11-02,7.04,7.04,7.04,7.04,0,6.375,6.4193
2020-11-03,7.7,7.7,6.87,6.87,4300,6.408,6.4622
2020-11-04,6.87,6.87,6.87,6.87,0,6.441,6.5011
2020-11-05,6.87,6.87,6.87,6.87,0,6.478,6.5362
2020-11-06,6.87,6.87,6.87,6.87,0,6.511,6.568
2020-11-09,6.87,6.87,6.87,6.87,0,6.544,6.5968
2020-11-10,6.37,6.37,6.37,6.37,100,6.548,6.5752
2020-11-11,6.87,6.87,5.96,5.96,200,6.5275,6.5166
2020-11-12,5.96,5.96,5.96,5.96,0,6.5025,6.4636
2020-11-13,5.38,5.38,5.38,5.38,100,6.4445,6.3604
2020-11-16,5.38,5.38,5.38,5.38,0,6.3825,6.267
2020-11-17,5.38,5.38,5.38,5.38,0,6.337,6.1825
2020-11-18,5.38,5.38,5.38,5.38,0,6.304,6.1061
2020-11-19,5.38,5.38,5.38,5.38,0,6.275,6.0369
2020-11-20,5.38,5.38,5.38,5.38,0,6.246,5.9744
2020-11-23,5.38,5.38,5.38,5.38,0,6.217,5.9178
2020-11-24,5.38,5.38,5.38,5.38,0,6.163,5.8666
2020-11-25,5.88,5.88,5.88,5.88,100,6.134,5.8678
2020-11-26,6.04,6.04,6.04,6.04,100,6.084,5.8842
2020-11-27,6.62,6.62,6.62,6.62,300,6.063,5.9543
2020-11-30,7.28,7.28,6.95,7.04,1400,6.063,6.0577
2020-12-01,7.7,7.7,7.2,7.2,1600,6.0795,6.1665
2020-12-02,7.86,7.86,6.7,7.53,6500,6.1125,6.2964
2020-12-03,6.79,8.28,6.79,8.28,24400,6.183,6.4853
2020-12-04,8.28,9.1,7.61,9.1,13400,6.2945,6.7343
2020-12-07,9.19,9.93,8.44,9.02,39500,6.402,6.952
2020-12-08,9.85,9.85,9.1,9.85,41000,6.576,7.228
2020-12-09,9.19,10.76,9.19,10.76,43800,6.816,7.5644
2020-12-10,10.02,10.76,9.68,9.68,7600,7.002,7.7659
2020-12-11,9.19,10.59,9.19,9.35,48780,7.2005,7.9167
2020-12-14,10.26,10.26,9.44,9.44,14200,7.4035,8.0618
2020-12-15,10.35,10.35,8.77,10.35,10900,7.652,8.2797
2020-12-16,10.35,11.34,10.35,10.35,24120,7.9005,8.4769
2020-12-17,11.34,11.34,10.35,11.34,27175,8.1985,8.7496
2020-12-18,10.76,12.42,10.26,12.42,101780,8.5505,9.0991
2020-12-21,11.17,11.26,11.17,11.26,4100,8.8445,9.3049
