time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,20.85,21.86,20.85,21.74,1110,,
2020-01-03,22.22,22.22,21.34,22.04,1110,,
2020-01-06,21.92,22.04,21.92,22.04,2070,,
2020-01-07,22.04,22.22,21.92,22.22,2600,,
2020-01-08,21.52,21.52,21.49,21.49,900,,
2020-01-09,21.52,21.52,21.52,21.52,180,,
2020-01-10,21.52,21.52,21.52,21.52,0,,
2020-01-13,22.19,22.19,22.19,22.19,10,,
2020-01-14,22.13,22.13,22.13,22.13,100,,
2020-01-15,22.22,22.22,22.13,22.13,2520,,
2020-01-16,22.13,22.13,22.13,22.13,0,,
2020-01-17,22.32,22.32,21.31,21.31,410,,
2020-01-20,22.1,22.13,22.1,22.13,90,,
2020-01-21,22.19,22.19,22.19,22.19,2400,,
2020-01-22,21.62,21.62,21.62,21.62,100,,
2020-01-30,21.62,21.62,21.62,21.62,520,,
2020-01-31,21.62,21.68,21.62,21.68,2020,,
2020-02-03,21.62,21.92,21.31,21.92,5020,,
2020-02-04,21.37,22.32,21.31,22.32,6550,,
2020-02-05,21.92,21.92,21.92,21.92,720,21.893,21.8829
2020-02-06,22.16,22.22,22.16,22.22,220,21.917,21.915
2020-02-07,22.22,22.22,22.22,22.22,1200,21.926,21.944
2020-02-10,22.47,22.47,22.47,22.47,300,21.9475,21.9941
2020-02-11,22.47,22.47,22.47,22.47,0,21.96,22.0394
2020-02-12,22.41,22.41,22.41,22.41,50,22.006,22.0747
2020-02-13,23.75,23.75,23.75,23.75,1300,22.1175,22.2343
2020-02-14,23.14,23.14,23.14,23.14,1000,22.1985,22.3205
2020-02-17,22.1,22.22,22.1,22.16,240,22.197,22.3052
2020-02-18,22.65,22.65,21.98,21.98,620,22.1895,22.2743
2020-02-19,22.01,22.01,22.01,22.01,170,22.1835,22.2491
2020-02-20,22.01,22.53,22.01,22.53,2430,22.2035,22.2759
2020-02-21,22.22,22.22,22.22,22.22,10,22.249,22.2705
2020-02-24,22.22,22.22,22.22,22.22,0,22.2535,22.2657
2020-02-25,21.31,21.55,21.01,21.55,1170,22.2215,22.1976
2020-02-26,21.55,21.55,21.55,21.55,0,22.218,22.1359
2020-02-27,21.55,21.55,21.55,21.55,250,22.2145,22.0801
2020-02-28,21.55,21.92,21.55,21.62,1190,22.2115,22.0363
2020-03-02,21.62,21.62,21.62,21.62,10200,22.1965,21.9966
2020-03-03,21.62,21.8,21.34,21.8,1020,22.1705,21.9779
2020-03-04,21.43,21.62,21.43,21.49,3400,22.149,21.9314
2020-03-05,21.55,21.55,21.49,21.49,1920,22.1125,21.8894
2020-03-06,21.62,21.62,21.62,21.62,10170,22.0825,21.8637
2020-03-09,21.49,21.49,21.37,21.37,540,22.0275,21.8167
2020-03-10,21.31,21.49,21.31,21.49,70,21.9785,21.7856
2020-03-11,21.62,21.62,21.31,21.31,3810,21.9235,21.7403
2020-03-12,20.7,21.37,19.85,20.4,1130,21.756,21.6127
2020-03-13,20.09,20.4,19.79,20.09,4100,21.6035,21.4676
2020-03-16,20.09,20.09,19.48,19.48,4820,21.4695,21.2783
2020-03-17,19.21,19.48,19.0,19.48,2180,21.3445,21.1071
2020-03-18,19.48,19.48,19.48,19.48,2110,21.218,20.9521
2020-03-19,19.48,19.48,19.48,19.48,2990,21.0655,20.8119
2020-03-20,19.48,19.48,19.33,19.33,530,20.921,20.6708
2020-03-23,19.3,19.48,18.27,19.48,2260,20.784,20.5574
2020-03-24,19.48,19.48,19.48,19.48,320,20.6805,20.4548
2020-03-25,19.48,19.48,19.48,19.48,2490,20.577,20.3619
2020-03-26,19.48,19.48,18.94,18.94,6080,20.4465,20.2265
2020-03-27,19.67,19.67,19.48,19.55,70,20.343,20.1621
2020-03-30,18.63,19.18,18.27,19.18,2620,20.221,20.0685
2020-03-31,19.48,19.55,18.57,19.55,7480,20.1085,20.0192
2020-04-01,19.48,19.48,19.45,19.48,5290,20.008,19.9678
2020-04-03,19.48,19.61,19.36,19.48,3100,19.9075,19.9214
2020-04-06,19.48,19.67,19.48,19.67,2600,19.81,19.8974
2020-04-07,19.67,19.67,19.67,19.67,3020,19.725,19.8758
2020-04-08,19.67,19.67,19.67,19.67,500,19.634,19.8562
2020-04-09,19.36,19.48,19.36,19.48,2200,19.5425,19.8203
2020-04-10,19.91,19.91,19.48,19.48,1910,19.4965,19.7879
2020-04-13,20.09,20.09,19.48,20.09,520,19.4965,19.8167
2020-04-14,20.09,20.7,20.09,20.7,520,19.5575,19.9008
2020-04-15,20.58,20.7,20.58,20.7,790,19.6185,19.9769
2020-04-16,20.09,20.58,19.91,19.91,810,19.64,19.9706
2020-04-17,20.09,20.09,19.79,20.09,1100,19.6705,19.9819
2020-04-20,20.09,20.4,19.79,20.4,870,19.724,20.0217
2020-04-21,20.4,20.4,19.79,19.79,3880,19.7395,19.9997
2020-04-22,19.79,19.79,19.79,19.79,600,19.755,19.9797
2020-04-23,20.34,20.34,19.61,19.79,320,19.7705,19.9616
2020-04-24,19.79,19.85,19.48,19.48,1520,19.7975,19.9158
2020-04-27,19.79,19.79,19.55,19.55,2290,19.7975,19.8809
2020-04-28,19.55,19.61,19.48,19.55,5080,19.816,19.8494
2020-04-29,20.15,20.15,20.09,20.09,150,19.843,19.8723
2020-05-04,19.79,19.79,19.79,19.79,510,19.8585,19.8645
2020-05-05,19.79,19.79,19.79,19.79,1290,19.874,19.8574
2020-05-06,19.79,19.79,19.45,19.45,5550,19.863,19.8186
2020-05-07,19.48,19.48,19.48,19.48,810,19.8535,19.7863
2020-05-08,19.48,20.28,19.42,19.55,1250,19.8475,19.7638
2020-05-11,19.55,19.91,19.55,19.55,980,19.851,19.7435
2020-05-12,19.79,19.79,19.48,19.48,6230,19.851,19.7184
2020-05-13,20.7,20.7,19.55,19.55,410,19.824,19.7023
2020-05-14,19.79,20.09,19.79,20.09,400,19.7935,19.7393
2020-05-15,20.09,20.09,20.09,20.09,1490,19.763,19.7727
2020-05-18,20.09,20.09,20.09,20.09,130,19.772,19.8029
2020-05-19,20.09,20.7,19.79,20.7,800,19.8025,19.8883
2020-05-20,20.7,21.01,20.09,20.09,2070,19.787,19.9075
2020-05-21,21.01,21.01,20.34,20.34,260,19.8145,19.9487
2020-05-22,20.4,20.4,20.15,20.15,2710,19.8325,19.9679
2020-05-25,21.55,21.55,21.01,21.55,2770,19.9205,20.1186
2020-05-26,21.65,21.65,21.55,21.55,3120,20.024,20.2549
2020-05-27,21.62,21.62,21.62,21.62,40,20.1275,20.3849
2020-05-28,21.65,21.65,21.31,21.31,3280,20.2155,20.473
2020-05-29,21.65,22.71,21.65,22.71,210,20.3465,20.6861
2020-06-01,21.34,22.22,21.34,21.37,880,20.4255,20.7512
2020-06-02,21.43,21.43,21.37,21.37,3580,20.5045,20.8101
2020-06-03,21.37,21.37,21.37,21.37,500,20.6005,20.8634
2020-06-04,21.37,21.37,21.37,21.37,1600,20.695,20.9117
2020-06-05,21.37,21.49,21.37,21.49,220,20.792,20.9668
2020-06-08,21.52,21.52,21.43,21.43,1070,20.886,21.0109
2020-06-09,21.46,21.46,21.46,21.46,530,20.985,21.0537
2020-06-10,21.92,21.92,21.49,21.49,630,21.082,21.0952
2020-06-11,21.92,21.92,21.49,21.55,3210,21.155,21.1385
2020-06-12,21.55,21.62,20.7,20.7,7140,21.1855,21.0968
2020-06-15,22.1,22.1,21.31,21.89,700,21.2755,21.1723
2020-06-16,21.92,21.92,21.92,21.92,2120,21.3365,21.2435
2020-06-17,22.87,22.87,22.24,22.56,1250,21.46,21.3689
2020-06-18,22.62,22.62,22.62,22.62,580,21.574,21.4881
2020-06-19,22.62,22.62,22.62,22.62,1300,21.6975,21.5959
2020-06-22,22.87,22.87,22.62,22.87,700,21.7635,21.7172
2020-06-23,22.3,22.87,22.3,22.87,40,21.8295,21.827
2020-06-24,22.87,22.87,22.87,22.87,80,21.892,21.9263
2020-06-25,22.87,22.87,22.37,22.37,1750,21.945,21.9686
2020-06-26,22.87,23.51,22.87,23.51,1650,21.985,22.1154
2020-06-29,22.3,22.3,22.3,22.3,10,22.0315,22.133
2020-06-30,22.3,22.33,22.3,22.3,1200,22.078,22.1489
2020-07-01,22.27,22.3,22.11,22.3,530,22.1245,22.1633
2020-07-02,22.24,22.24,22.24,22.24,740,22.168,22.1706
2020-07-03,22.24,22.27,22.24,22.27,330,22.207,22.18
2020-07-06,22.27,22.27,22.27,22.27,440,22.249,22.1886
2020-07-07,22.87,22.87,22.27,22.27,160,22.2895,22.1964
2020-07-08,22.27,22.27,22.27,22.27,100,22.3285,22.2034
2020-07-09,22.27,22.27,22.27,22.27,0,22.3645,22.2097
2020-07-10,22.27,22.56,22.27,22.56,1130,22.4575,22.2431
2020-07-13,22.56,22.56,22.27,22.27,540,22.4765,22.2456
2020-07-14,22.3,22.3,22.24,22.24,2370,22.4925,22.2451
2020-07-15,22.3,22.3,22.24,22.3,10050,22.4795,22.2503
2020-07-16,22.3,22.3,22.3,22.3,0,22.4635,22.2551
2020-07-17,22.56,22.56,22.56,22.56,10,22.4605,22.2841
2020-07-20,22.27,22.27,22.24,22.24,130,22.429,22.2799
2020-07-21,22.24,22.24,22.24,22.24,0,22.3975,22.2761
2020-07-22,22.24,22.24,22.24,22.24,0,22.366,22.2727
2020-07-23,22.24,22.27,22.24,22.24,1970,22.3595,22.2696
2020-07-24,22.27,22.27,22.24,22.24,2380,22.296,22.2667
2020-07-27,22.24,22.24,21.98,21.98,1030,22.28,22.2394
2020-07-28,22.24,22.24,22.24,22.24,20,22.277,22.2395
2020-07-29,22.11,22.11,22.11,22.11,100,22.2675,22.2272
2020-07-30,22.11,22.11,22.11,22.11,140,22.261,22.216
