time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,12.12,13.69,12.12,13.69,310,,
2020-01-03,12.12,13.69,12.12,13.69,310,,
2020-01-06,12.12,13.69,12.12,13.69,310,,
2020-01-07,12.77,12.77,12.77,12.77,10,,
2020-01-08,11.89,13.62,11.89,13.62,120,,
2020-01-09,12.69,13.77,12.69,13.77,40,,
2020-01-10,12.81,12.81,12.81,12.81,10,,
2020-01-13,11.92,11.92,11.92,11.92,10,,
2020-01-14,11.12,11.12,11.12,11.12,1000,,
2020-01-15,11.12,11.12,11.12,11.12,0,,
2020-01-16,11.12,11.12,11.12,11.12,0,,
2020-01-17,10.35,10.35,10.35,10.35,1000,,
2020-01-20,10.35,10.35,10.35,10.35,0,,
2020-01-21,10.35,10.35,10.35,10.35,0,,
2020-01-22,10.35,10.35,10.35,10.35,0,,
2020-01-30,9.73,9.73,9.73,9.73,10,,
2020-01-31,9.73,9.73,9.73,9.73,0,,
2020-02-03,9.73,9.73,9.73,9.73,1000,,
2020-02-04,9.73,9.73,9.73,9.73,0,,
2020-02-05,9.73,9.73,9.73,9.73,0,11.4685,11.1012
2020-02-06,9.77,9.77,9.77,9.77,400,11.2725,10.9744
2020-02-07,10.42,10.42,9.15,9.15,40,11.0455,10.8007
2020-02-10,9.77,9.77,9.23,9.23,20,10.8225,10.6511
2020-02-11,9.31,9.31,9.23,9.23,4420,10.6455,10.5157
2020-02-12,8.65,9.85,8.65,9.85,1010,10.457,10.4523
2020-02-13,10.5,10.5,10.5,10.5,900,10.2935,10.4569
2020-02-14,9.77,11.23,9.77,11.23,110,10.2145,10.5305
2020-02-17,11.23,11.23,11.23,11.23,0,10.18,10.5971
2020-02-18,10.46,10.46,10.46,10.46,150,10.147,10.5841
2020-02-19,10.0,10.0,9.77,9.77,3920,10.0795,10.5065
2020-02-20,9.77,9.77,9.77,9.77,0,10.012,10.4364
2020-02-21,10.42,10.42,10.42,10.42,10,10.0155,10.4348
2020-02-24,10.69,10.69,10.69,10.69,10,10.0325,10.4591
2020-02-25,11.39,11.39,11.39,11.39,10,10.0845,10.5478
2020-02-26,11.39,11.39,11.39,11.39,10,10.1365,10.628
2020-02-27,10.62,10.62,10.62,10.62,1050,10.181,10.6272
2020-02-28,10.0,10.0,10.0,10.0,500,10.1945,10.5675
2020-03-02,9.39,9.39,9.39,9.39,10,10.1775,10.4554
2020-03-03,9.39,9.39,9.39,9.39,0,10.1605,10.3539
2020-03-04,9.46,9.46,9.46,9.46,4700,10.147,10.2688
2020-03-05,9.46,9.46,9.46,9.46,0,10.1315,10.1917
2020-03-06,9.46,9.46,9.46,9.46,0,10.147,10.122
2020-03-09,9.46,9.46,9.46,9.46,0,10.1585,10.059
2020-03-10,9.54,9.92,9.54,9.92,450,10.193,10.0458
2020-03-11,10.0,10.0,9.62,9.62,4470,10.1815,10.0052
2020-03-12,9.62,10.23,9.62,9.62,10990,10.1375,9.9685
2020-03-13,9.23,9.23,9.23,9.23,80,10.0375,9.8982
2020-03-16,8.62,8.62,8.62,8.62,50,9.907,9.7765
2020-03-17,9.19,9.19,9.19,9.19,10,9.8435,9.7206
2020-03-18,9.81,9.81,9.81,9.81,1000,9.8455,9.7291
2020-03-19,9.15,9.81,9.15,9.23,6050,9.8185,9.6816
2020-03-20,9.54,9.85,9.54,9.85,110,9.79,9.6976
2020-03-23,10.46,10.5,10.0,10.5,143170,9.7805,9.774
2020-03-24,9.92,10.5,9.92,10.5,510,9.736,9.8432
2020-03-25,10.77,10.77,10.0,10.77,910,9.705,9.9314
2020-03-26,10.15,10.15,10.15,10.15,600,9.6815,9.9523
2020-03-27,9.69,9.69,9.69,9.69,600,9.666,9.9273
2020-03-30,9.65,10.35,9.08,9.08,26340,9.6505,9.8466
2020-03-31,9.69,9.69,9.69,9.69,10,9.6655,9.8317
2020-04-01,10.35,10.35,10.35,10.35,3000,9.71,9.881
2020-04-03,10.39,10.39,10.39,10.39,2120,9.7565,9.9295
2020-04-06,10.39,11.04,9.92,11.04,6020,9.8355,10.0353
2020-04-07,10.39,11.81,10.39,11.81,510,9.953,10.2043
2020-04-08,11.54,11.81,11.54,11.81,70,10.0475,10.3572
2020-04-09,11.15,11.15,11.15,11.15,20,10.124,10.4327
2020-04-10,10.46,10.54,10.46,10.46,3390,10.166,10.4353
2020-04-13,10.46,10.46,9.92,9.92,3500,10.2005,10.3862
2020-04-14,9.92,9.92,9.92,9.92,30,10.2655,10.3418
2020-04-15,9.92,10.62,9.92,10.62,2660,10.337,10.3683
2020-04-16,11.35,11.35,10.77,11.15,6030,10.404,10.4428
2020-04-17,11.92,11.92,11.92,11.92,25790,10.5385,10.5835
2020-04-20,12.73,12.73,11.54,11.92,4890,10.642,10.7108
2020-04-21,11.54,11.54,11.31,11.54,5180,10.694,10.7897
2020-04-22,11.15,12.35,11.15,12.35,87290,10.7865,10.9383
2020-04-23,11.62,12.31,11.62,12.31,900,10.8635,11.069
2020-04-24,11.65,11.69,11.65,11.69,570,10.9405,11.1281
2020-04-27,12.31,12.5,11.77,11.77,35550,11.0445,11.1892
2020-04-28,11.62,12.58,11.62,11.96,39730,11.1885,11.2626
2020-04-29,11.42,11.65,11.42,11.65,1500,11.2865,11.2995
2020-05-04,11.54,12.46,11.54,12.46,51030,11.392,11.4101
2020-05-05,11.96,12.89,11.96,12.89,27050,11.517,11.551
2020-05-06,12.92,13.23,12.92,13.12,14170,11.621,11.7004
2020-05-07,12.31,14.0,12.31,14.0,133490,11.7305,11.9194
2020-05-08,13.92,13.92,13.08,13.08,3340,11.794,12.03
2020-05-11,12.85,13.92,12.77,12.77,2520,11.875,12.1004
2020-05-12,12.81,13.08,12.81,13.08,710,12.006,12.1937
2020-05-13,13.46,13.46,12.39,13.08,22170,12.164,12.2781
2020-05-14,12.85,13.15,12.85,13.0,4910,12.318,12.3469
2020-05-15,12.46,13.31,12.46,12.73,530,12.4235,12.3834
2020-05-18,12.73,13.19,12.39,12.89,13050,12.5105,12.4316
2020-05-19,12.42,13.77,12.42,13.15,39580,12.572,12.5
2020-05-20,13.27,14.04,13.27,13.46,85860,12.649,12.5915
2020-05-21,14.39,14.39,13.23,14.23,1480,12.7835,12.7475
2020-05-22,15.0,15.0,13.5,13.54,1170,12.843,12.823
2020-05-25,13.08,13.08,12.69,12.92,890,12.8735,12.8322
2020-05-26,12.92,13.81,12.92,13.81,32160,12.9795,12.9254
2020-05-27,14.62,14.77,13.89,14.77,41040,13.1295,13.101
2020-05-28,15.0,15.77,14.62,15.77,147530,13.32,13.3552
2020-05-29,15.77,15.92,14.73,15.46,2570,13.5105,13.5557
2020-06-01,14.39,15.85,14.39,14.73,2960,13.624,13.6675
2020-06-02,14.08,14.15,14.08,14.15,1560,13.687,13.7135
2020-06-03,14.15,15.0,13.85,13.92,2740,13.727,13.7331
2020-06-04,13.19,14.0,13.19,14.0,5590,13.727,13.7586
2020-06-05,14.92,14.96,14.92,14.96,3100,13.821,13.873
2020-06-08,14.96,16.0,14.96,16.0,67330,13.9825,14.0755
2020-06-09,16.0,16.0,16.0,16.0,3040,14.1285,14.2588
2020-06-10,16.54,17.12,14.92,17.12,26600,14.3305,14.5313
2020-06-11,18.31,18.31,15.92,15.92,4700,14.4765,14.6636
2020-06-12,15.92,16.92,15.39,16.92,2860,14.686,14.8785
2020-06-15,16.15,16.15,16.15,16.15,7400,14.849,14.9996
2020-06-16,15.04,16.08,15.04,15.08,4010,14.9455,15.0072
2020-06-17,14.54,14.92,14.15,14.92,110,15.0185,14.9989
2020-06-18,14.92,14.92,14.92,14.92,50,15.053,14.9914
2020-06-19,14.15,15.96,14.15,15.96,11880,15.174,15.0837
2020-06-22,16.92,16.92,14.92,16.92,40,15.374,15.2585
2020-06-23,16.92,16.92,16.92,16.92,0,15.5295,15.4168
2020-06-24,16.92,16.92,15.77,15.77,1250,15.5795,15.4504
2020-06-25,16.85,16.85,15.77,15.77,60,15.5795,15.4809
2020-06-26,16.85,16.85,16.15,16.15,8190,15.614,15.5446
2020-06-29,15.08,17.27,15.08,17.27,30,15.741,15.7089
2020-06-30,16.08,16.15,16.08,16.15,50,15.841,15.7509
