time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,7.29,7.34,7.24,7.29,166570,,
2020-01-03,7.29,7.39,7.29,7.34,235280,,
2020-01-06,7.34,7.58,7.29,7.44,737325,,
2020-01-07,7.53,7.87,7.49,7.83,1312062,,
2020-01-08,7.78,7.83,7.49,7.49,761870,,
2020-01-09,7.87,7.87,7.63,7.68,377388,,
2020-01-10,7.73,7.78,7.58,7.63,552445,,
2020-01-13,7.63,7.63,7.49,7.49,439510,,
2020-01-14,7.49,7.58,7.44,7.49,246448,,
2020-01-15,7.53,7.58,7.44,7.53,347018,,
2020-01-16,7.53,7.73,7.53,7.68,467220,,
2020-01-17,7.68,7.73,7.53,7.58,284450,,
2020-01-20,7.58,7.68,7.53,7.53,319215,,
2020-01-21,7.53,7.58,7.34,7.53,748098,,
2020-01-22,7.68,8.21,7.68,8.12,1409227,,
2020-01-30,8.07,8.36,7.73,7.92,1253573,,
2020-01-31,7.92,8.02,7.53,7.53,912270,,
2020-02-03,7.49,7.58,6.8,7.1,1345689,,
2020-02-04,7.1,7.29,6.85,6.9,1200179,,
2020-02-05,7.0,7.15,7.0,7.05,527182,7.5075,7.4316
2020-02-06,7.15,7.53,7.15,7.49,986451,7.5175,7.4372
2020-02-07,7.63,7.63,7.39,7.44,584629,7.5225,7.4374
2020-02-10,7.49,7.53,7.24,7.34,362249,7.5175,7.4281
2020-02-11,7.34,7.49,7.34,7.39,304860,7.4955,7.4245
2020-02-12,7.44,7.97,7.44,7.87,1457150,7.5145,7.4669
2020-02-13,8.12,8.36,7.92,7.97,1836202,7.529,7.5149
2020-02-14,8.07,8.07,7.83,7.87,726718,7.541,7.5487
2020-02-17,7.78,7.92,7.68,7.73,878498,7.553,7.5659
2020-02-18,7.73,8.02,7.58,7.92,1034857,7.5745,7.5997
2020-02-19,7.92,7.92,7.78,7.78,777820,7.587,7.6168
2020-02-20,8.08,8.19,7.78,7.88,496567,7.597,7.6419
2020-02-21,7.88,7.88,7.62,7.62,606203,7.599,7.6398
2020-02-24,7.47,7.57,7.01,7.01,1574278,7.573,7.5798
2020-02-25,6.86,7.27,6.75,7.21,618444,7.557,7.5446
2020-02-26,7.11,7.21,7.06,7.06,380355,7.504,7.4985
2020-02-27,7.06,7.21,7.06,7.21,178866,7.4685,7.471
2020-02-28,7.01,7.16,6.96,7.06,480580,7.445,7.4318
2020-03-02,7.11,7.11,7.01,7.06,274207,7.443,7.3964
2020-03-03,7.16,7.27,7.06,7.11,508119,7.4535,7.3692
2020-03-04,7.11,7.21,7.06,7.21,507188,7.4615,7.354
2020-03-05,7.21,7.32,7.21,7.27,524430,7.4505,7.346
2020-03-06,7.16,7.21,7.11,7.11,263173,7.434,7.3235
2020-03-09,7.01,7.01,6.45,6.45,1333000,7.3895,7.2403
2020-03-10,6.4,6.65,6.04,6.55,629130,7.3475,7.1746
2020-03-11,6.65,6.75,6.4,6.6,1055550,7.284,7.1199
2020-03-12,6.6,7.01,6.29,6.75,1076997,7.223,7.0846
2020-03-13,6.75,6.96,6.24,6.96,746177,7.1775,7.0728
2020-03-16,7.06,7.06,6.65,6.7,348390,7.126,7.0373
2020-03-17,6.65,6.75,6.45,6.75,431910,7.0675,7.0099
2020-03-18,6.75,6.75,6.5,6.5,649110,7.0035,6.9613
2020-03-19,6.4,6.45,6.14,6.14,817794,6.9165,6.8831
2020-03-20,6.14,6.34,5.68,5.73,813392,6.822,6.7733
2020-03-23,5.37,5.58,5.17,5.17,551085,6.73,6.6206
2020-03-24,4.66,4.91,4.66,4.66,2237060,6.6025,6.4339
2020-03-25,4.4,5.01,4.2,5.01,1976943,6.5,6.2983
2020-03-26,4.91,5.01,4.6,4.66,575263,6.3725,6.1422
2020-03-27,4.66,4.76,4.45,4.45,757562,6.242,5.9811
2020-03-30,4.45,4.45,4.04,4.09,1268341,6.0935,5.801
2020-03-31,3.68,4.3,3.68,3.94,537168,5.935,5.6237
2020-04-01,3.99,4.25,3.99,4.14,685816,5.7815,5.4824
2020-04-03,4.14,4.55,4.14,4.55,707249,5.6455,5.3936
2020-04-06,4.71,4.96,4.6,4.96,966363,5.538,5.3523
2020-04-07,5.42,5.42,5.01,5.42,2502497,5.4865,5.3588
2020-04-08,5.94,5.94,5.47,5.94,1981939,5.456,5.4141
2020-04-09,6.14,6.5,5.99,6.29,1527675,5.4405,5.4975
2020-04-10,6.55,6.65,5.88,5.99,1332347,5.4025,5.5444
2020-04-13,5.83,6.09,5.83,5.88,1229142,5.3485,5.5764
2020-04-14,5.88,6.45,5.88,6.45,2200554,5.336,5.6596
2020-04-15,6.65,7.06,6.65,6.91,2484612,5.344,5.7787
2020-04-16,7.27,7.27,6.7,6.75,1492798,5.3565,5.8712
2020-04-17,6.65,6.86,6.6,6.65,1828149,5.382,5.9454
2020-04-20,6.75,6.91,6.5,6.5,1927613,5.4205,5.9982
2020-04-21,6.45,6.5,5.88,5.94,2105713,5.459,5.9926
2020-04-22,5.88,6.5,5.73,6.5,1038564,5.551,6.041
2020-04-23,6.65,6.8,6.29,6.29,851145,5.615,6.0647
2020-04-24,6.29,6.4,6.14,6.29,527841,5.6965,6.0861
2020-04-27,6.29,6.65,6.19,6.19,984548,5.7835,6.096
2020-04-28,6.14,6.4,6.14,6.29,1015063,5.8935,6.1145
2020-04-29,6.29,6.5,6.24,6.24,1302022,6.0085,6.1265
2020-05-04,6.29,6.5,6.24,6.34,754660,6.1185,6.1468
2020-05-05,6.34,6.5,6.24,6.24,729340,6.203,6.1557
2020-05-06,6.29,6.4,6.24,6.34,654831,6.272,6.1732
2020-05-07,6.34,6.6,6.34,6.55,1449018,6.3285,6.2091
2020-05-08,6.55,6.75,6.4,6.4,1426463,6.3515,6.2273
2020-05-11,6.4,6.55,6.4,6.45,928154,6.3595,6.2485
2020-05-12,6.45,7.06,6.45,7.06,3962755,6.413,6.3258
2020-05-13,7.21,7.37,6.96,6.96,1868630,6.467,6.3862
2020-05-14,6.96,7.06,6.8,7.01,1195056,6.495,6.4456
2020-05-15,6.96,7.06,6.86,6.86,2129628,6.4925,6.4851
2020-05-18,6.91,7.27,6.91,6.96,1395140,6.503,6.5303
