time,open,high,low,close,volume,SMA_20,EMA_20
2021-01-06,10.43,10.46,9.59,10.46,2041600,,
2021-01-07,11.19,11.19,11.19,11.19,382300,,
2021-01-08,11.96,11.96,11.96,11.96,340500,,
2021-01-11,12.8,12.8,11.51,12.03,972000,,
2021-01-12,12.03,12.41,11.61,12.41,561800,,
2021-01-13,12.52,12.55,11.86,12.13,516800,,
2021-01-14,12.2,12.2,11.91,12.12,293600,,
2021-01-15,11.98,12.12,11.77,11.8,318400,,
2021-01-18,11.72,11.72,10.98,10.98,937000,,
2021-01-19,10.74,10.81,10.22,10.22,447800,,
2021-01-20,9.59,10.11,9.55,10.04,240200,,
2021-01-21,10.04,10.67,10.04,10.46,202300,,
2021-01-22,10.46,10.46,10.11,10.29,184300,,
2021-01-25,10.29,10.29,9.89,10.01,207500,,
2021-01-26,9.97,9.97,9.43,9.48,115100,,
2021-01-27,9.48,9.83,9.24,9.48,205400,,
2021-01-28,9.07,9.66,8.82,8.82,265800,,
2021-01-29,9.24,9.41,8.96,9.15,166000,,
2021-02-01,9.15,9.24,8.53,8.93,369900,,
2021-02-02,9.0,9.17,8.68,9.07,88900,10.5515,10.0488
2021-02-03,9.07,9.68,9.0,9.68,364700,10.5125,10.0137
2021-02-04,9.73,9.75,9.41,9.41,211200,10.4235,9.9562
2021-02-05,9.41,9.41,9.24,9.41,132300,10.296,9.9042
2021-02-08,9.41,9.57,9.07,9.29,125500,10.159,9.8457
2021-02-09,9.26,9.41,9.1,9.31,97000,10.004,9.7947
2021-02-17,9.41,9.41,9.27,9.4,101700,9.8675,9.7571
2021-02-18,9.41,9.41,9.24,9.41,148900,9.732,9.724
2021-02-19,9.41,9.41,9.27,9.41,75700,9.6125,9.6941
2021-02-22,9.41,9.62,9.31,9.59,288300,9.543,9.6842
2021-02-23,9.59,10.25,9.59,10.25,646600,9.5445,9.7381
2021-02-24,10.48,10.97,10.48,10.77,372800,9.581,9.8364
2021-02-25,10.77,10.77,10.43,10.46,401500,9.581,9.8958
2021-02-26,10.29,10.46,10.11,10.34,200300,9.5835,9.9381
2021-03-01,10.34,10.39,9.94,10.39,285100,9.6025,9.9811
2021-03-02,10.25,10.34,10.04,10.22,101100,9.6395,10.0039
