time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,3.6,3.6,3.6,3.6,3500,,
2020-01-03,3.6,3.6,3.6,3.6,0,,
2020-01-06,3.6,3.6,3.6,3.6,0,,
2020-01-07,3.6,3.6,3.6,3.6,0,,
2020-01-08,3.6,3.6,3.6,3.6,0,,
2020-01-09,3.6,3.6,3.6,3.6,0,,
2020-01-10,3.6,3.6,3.6,3.6,0,,
2020-01-13,3.6,3.6,3.6,3.6,0,,
2020-01-14,3.1,3.1,3.1,3.1,100,,
2020-01-15,3.5,3.5,2.7,2.7,14900,,
2020-01-16,3.3,3.3,3.1,3.1,7140,,
2020-01-17,3.3,3.1,3.1,3.1,0,,
2020-01-20,3.7,3.7,3.3,3.3,5200,,
2020-01-21,3.5,3.5,3.5,3.5,900,,
2020-01-22,3.6,3.6,3.6,3.6,3000,,
2020-01-30,4.0,4.0,4.0,4.0,4600,,
2020-01-31,4.0,4.0,4.0,4.0,0,,
2020-02-03,4.0,4.0,4.0,4.0,0,,
2020-02-04,4.0,4.0,4.0,4.0,1,,
2020-02-05,4.0,4.0,4.0,4.0,0,3.56,3.65
2020-02-06,4.0,4.0,4.0,4.0,0,3.58,3.6833
2020-02-07,3.4,3.9,3.4,3.9,1100,3.595,3.704
2020-02-10,3.5,3.5,3.5,3.5,200,3.59,3.6846
2020-02-11,3.0,3.9,3.0,3.8,2201,3.6,3.6955
2020-02-12,3.8,3.8,3.8,3.8,0,3.61,3.7055
2020-02-13,3.8,3.8,3.8,3.8,65,3.62,3.7145
2020-02-14,3.8,3.8,3.8,3.8,1,3.63,3.7226
2020-02-17,3.8,3.8,3.8,3.8,20,3.64,3.73
2020-02-18,3.8,3.8,3.8,3.8,1,3.675,3.7367
2020-02-19,3.8,3.8,3.8,3.8,21,3.73,3.7427
2020-02-20,3.8,3.8,3.8,3.8,4,3.765,3.7482
2020-02-21,3.8,3.8,3.8,3.8,1,3.8,3.7531
2020-02-24,3.8,3.8,3.8,3.8,0,3.825,3.7576
2020-02-25,3.8,3.8,3.8,3.8,0,3.84,3.7616
2020-02-26,3.7,3.7,3.3,3.3,300,3.825,3.7176
2020-02-27,3.6,3.6,3.6,3.6,5002,3.805,3.7064
2020-02-28,3.6,3.6,3.6,3.6,0,3.785,3.6963
2020-03-02,3.6,3.6,3.6,3.6,45,3.765,3.6871
2020-03-03,3.6,3.6,3.6,3.6,0,3.745,3.6788
2020-03-04,3.6,3.6,3.6,3.6,0,3.725,3.6713
2020-03-05,3.6,3.6,3.6,3.6,20,3.705,3.6645
2020-03-06,3.6,3.6,3.6,3.6,0,3.69,3.6584
2020-03-09,3.6,3.6,3.6,3.6,0,3.695,3.6528
2020-03-10,3.6,3.6,3.6,3.6,0,3.685,3.6478
2020-03-11,3.6,3.6,3.6,3.6,0,3.675,3.6432
2020-03-12,3.6,3.6,3.6,3.6,0,3.665,3.6391
2020-03-13,3.6,3.6,3.6,3.6,0,3.655,3.6354
2020-03-16,3.6,3.6,3.6,3.6,0,3.645,3.632
2020-03-17,3.6,3.6,3.6,3.6,0,3.635,3.629
2020-03-18,3.6,3.6,3.6,3.6,0,3.625,3.6262
2020-03-19,3.6,3.6,3.6,3.6,0,3.615,3.6237
2020-03-20,3.6,3.6,3.6,3.6,10,3.605,3.6215
2020-03-23,3.6,3.6,3.6,3.6,0,3.595,3.6194
2020-03-24,3.6,3.6,3.6,3.6,0,3.585,3.6176
2020-03-25,3.6,3.6,3.6,3.6,0,3.6,3.6159
2020-03-26,3.6,3.6,3.6,3.6,0,3.6,3.6144
2020-03-27,3.6,3.6,3.6,3.6,0,3.6,3.613
2020-03-30,3.6,3.6,3.6,3.6,0,3.6,3.6118
2020-03-31,3.6,3.6,3.6,3.6,0,3.6,3.6107
