time,open,high,low,close,volume,SMA_20,EMA_20
2025-02-06,12.4,12.4,12.4,12.4,100,,
2025-02-07,14.2,14.2,14.2,14.2,100,,
2025-02-10,16.3,16.3,16.3,16.3,400,,
2025-02-11,18.7,18.7,18.7,18.7,100,,
2025-02-12,21.5,21.5,21.5,21.5,100,,
2025-02-13,24.7,24.7,24.7,24.7,100,,
2025-02-14,28.4,28.4,28.4,28.4,2200,,
2025-02-17,32.6,32.6,32.6,32.6,100,,
2025-02-18,37.4,37.4,37.4,37.4,1000,,
2025-02-19,43.0,43.0,31.9,31.9,1600,,
2025-02-20,48.6,48.6,48.6,48.6,800,,
2025-02-21,48.6,48.6,48.6,48.6,100,,
2025-02-24,41.4,41.4,41.4,41.4,100,,
2025-02-25,35.2,35.3,35.2,35.2,2100,,
2025-02-26,30.0,40.1,30.0,40.1,1100,,
2025-02-27,26.3,26.3,26.3,26.3,1100,,
2025-02-28,22.4,22.4,22.4,22.4,5600,,
2025-03-03,19.1,19.1,19.1,19.1,3100,,
2025-03-04,16.3,16.3,16.3,16.3,4500,,
2025-03-05,14.2,17.9,14.2,14.2,8100,27.515,25.2991
2025-03-06,14.6,14.6,12.5,12.6,6100,27.525,24.0897
2025-03-07,14.5,14.5,11.5,12.1,10000,27.42,22.9478
2025-03-10,11.2,11.6,11.2,11.6,11500,27.185,21.867
2025-03-11,11.8,12.8,10.5,12.8,14500,26.89,21.0035
2025-03-12,11.3,12.4,10.5,10.9,22200,26.36,20.0413
2025-03-13,11.9,12.4,10.6,12.4,57000,25.745,19.3135
2025-03-14,13.3,13.3,10.7,12.0,32400,24.925,18.617
2025-03-17,12.8,12.8,11.4,11.4,10900,23.865,17.9297
2025-03-18,11.5,11.5,11.0,11.2,2300,22.555,17.2888
2025-03-19,11.2,11.2,11.0,11.1,3700,21.515,16.6993
2025-03-20,10.8,12.6,10.8,12.5,11400,19.71,16.2994
2025-03-21,12.6,12.6,11.9,11.9,600,17.875,15.8804
2025-03-24,12.3,12.5,12.2,12.5,11300,16.43,15.5585
2025-03-25,14.1,14.1,10.7,13.0,16300,15.32,15.3148
2025-03-26,12.8,12.8,11.2,12.2,700,13.925,15.0182
2025-03-27,11.9,11.9,11.3,11.3,700,13.175,14.6641
2025-03-28,11.3,11.8,10.8,11.8,4300,12.645,14.3913
2025-03-31,11.9,11.9,11.1,11.9,1300,12.285,14.154
2025-04-01,11.9,11.9,11.1,11.2,4900,12.03,13.8727
2025-04-02,11.4,12.2,11.1,12.1,1500,11.925,13.7039
2025-04-03,11.9,11.9,10.1,11.0,2900,11.845,13.4463
2025-04-04,11.0,11.0,9.8,10.4,8300,11.76,13.1562
2025-04-08,9.3,11.7,9.3,9.3,9400,11.645,12.789
2025-04-09,10.7,10.7,9.3,10.0,4800,11.505,12.5233
2025-04-10,11.0,11.0,10.9,11.0,2500,11.51,12.3783
2025-04-11,9.5,11.1,9.5,11.1,900,11.445,12.2565
2025-04-14,8.8,8.8,8.8,8.8,500,11.285,11.9273
2025-04-15,10.7,10.7,9.4,9.5,2800,11.19,11.6962
2025-04-16,10.5,10.5,10.4,10.4,200,11.15,11.5727
2025-04-17,10.9,10.9,9.4,10.4,11000,11.115,11.461
2025-04-18,9.6,10.2,9.6,10.2,600,11.0,11.3409
2025-04-21,11.0,11.0,9.6,10.6,600,10.935,11.2704
2025-04-22,9.5,10.1,8.7,8.7,8600,10.745,11.0256
2025-04-23,9.5,10.1,9.0,10.1,4700,10.6,10.9374
2025-04-24,9.1,10.4,9.0,9.8,700,10.48,10.8291
2025-04-25,10.5,10.5,9.7,9.7,800,10.4,10.7216
2025-04-28,9.1,9.6,9.1,9.3,6400,10.275,10.5862
2025-04-29,10.6,10.6,10.0,10.0,400,10.18,10.5303
2025-05-05,9.1,10.0,9.1,9.7,4400,10.105,10.4513
2025-05-06,9.3,9.3,9.3,9.3,100,9.965,10.3416
2025-05-07,9.8,9.8,9.8,9.8,100,9.905,10.29
2025-05-08,9.8,10.3,9.5,9.5,700,9.86,10.2148
2025-05-09,9.3,10.8,9.3,10.8,400,9.935,10.2705
2025-05-12,9.8,10.0,9.8,10.0,2100,9.935,10.2448
2025-05-13,9.7,9.7,9.7,9.7,200,9.87,10.1929
2025-05-14,9.6,9.6,9.6,9.6,200,9.795,10.1364
2025-05-15,9.6,9.7,9.6,9.7,2200,9.84,10.0949
2025-05-16,9.7,9.7,9.6,9.6,2000,9.845,10.0477
2025-05-19,9.6,9.6,9.3,9.4,4200,9.795,9.986
2025-05-20,9.4,9.9,9.4,9.9,2700,9.77,9.9778
