time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,7.25,7.25,7.25,7.25,0,,
2020-01-03,7.25,7.25,7.25,7.25,0,,
2020-01-06,7.25,7.25,7.25,7.25,0,,
2020-01-07,7.25,7.25,7.25,7.25,0,,
2020-01-08,6.54,6.54,6.54,6.54,2100,,
2020-01-09,6.54,6.54,6.54,6.54,0,,
2020-01-10,6.54,6.54,6.54,6.54,0,,
2020-01-13,7.49,7.49,7.49,7.49,100,,
2020-01-14,8.59,8.59,8.59,8.59,160,,
2020-01-15,9.86,9.86,9.86,9.86,130,,
2020-01-16,11.2,11.2,11.2,11.2,110,,
2020-01-17,12.85,12.85,12.85,12.85,100,,
2020-01-20,14.67,14.67,14.67,14.67,100,,
2020-01-21,14.67,14.67,14.67,14.67,0,,
2020-01-22,16.8,16.8,16.8,16.8,100,,
2020-01-30,16.8,16.8,16.8,16.8,0,,
2020-01-31,16.8,16.8,16.8,16.8,0,,
2020-02-03,16.8,16.8,16.8,16.8,0,,
2020-02-04,16.8,16.8,16.8,16.8,0,,
2020-02-05,16.8,16.8,16.8,16.8,0,11.4375,12.7827
2020-02-06,16.8,16.8,16.8,16.8,0,11.915,13.1653
2020-02-07,16.8,16.8,16.8,16.8,0,12.3925,13.5115
2020-02-10,19.08,19.08,19.08,19.08,100,12.984,14.0418
2020-02-11,19.08,19.08,19.08,19.08,0,13.5755,14.5216
2020-02-12,16.24,16.24,16.24,16.24,100,14.0605,14.6853
2020-02-13,13.88,13.88,13.88,13.88,200,14.4275,14.6086
2020-02-14,11.83,11.83,11.83,11.83,100,14.692,14.344
2020-02-17,10.09,10.09,10.09,10.09,100,14.822,13.9388
2020-02-18,8.59,8.59,8.59,8.59,500,14.822,13.4294
2020-02-19,7.33,7.89,7.33,7.89,200,14.7235,12.9018
2020-02-20,6.7,6.7,6.7,6.7,800,14.4985,12.3112
2020-02-21,6.7,6.7,6.7,6.7,0,14.191,11.7768
2020-02-24,5.76,6.39,5.76,6.39,244,13.777,11.2638
2020-02-25,6.94,6.94,6.94,6.94,800,13.3905,10.852
2020-02-26,6.94,6.94,6.94,6.94,400,12.8975,10.4794
2020-02-27,6.94,6.94,6.94,6.94,0,12.4045,10.1423
2020-02-28,7.96,7.96,7.96,7.96,700,11.9625,9.9345
2020-03-02,7.73,7.73,7.73,7.73,500,11.509,9.7245
2020-03-03,7.73,7.73,7.73,7.73,10,11.0555,9.5346
2020-03-04,7.73,7.73,7.73,7.73,0,10.602,9.3627
2020-03-05,6.62,7.89,6.62,7.89,200,10.1565,9.2225
2020-03-06,8.04,8.04,8.04,8.04,134,9.7185,9.1098
2020-03-09,8.04,8.04,8.04,8.04,500,9.1665,9.0079
2020-03-10,8.67,8.67,8.67,8.67,100,8.646,8.9758
2020-03-11,8.67,8.67,8.67,8.67,0,8.2675,8.9466
2020-03-12,8.67,8.67,8.67,8.67,0,8.007,8.9203
2020-03-13,8.67,8.67,8.67,8.67,0,7.849,8.8965
2020-03-16,8.67,8.67,8.67,8.67,0,7.778,8.8749
2020-03-17,8.67,8.67,8.67,8.67,0,7.782,8.8554
2020-03-18,8.67,8.67,8.67,8.67,0,7.821,8.8377
2020-03-19,8.67,8.67,8.67,8.67,0,7.9195,8.8217
2020-03-20,8.67,8.67,8.67,8.67,0,8.018,8.8073
2020-03-23,7.41,7.41,7.41,7.41,2000,8.069,8.6742
2020-03-24,7.41,7.41,7.41,7.41,0,8.0925,8.5538
2020-03-25,7.41,7.41,7.41,7.41,0,8.116,8.4449
2020-03-26,7.41,7.41,7.41,7.41,0,8.1395,8.3463
2020-03-27,7.41,7.41,7.41,7.41,0,8.112,8.2571
2020-03-30,7.41,7.41,7.41,7.41,0,8.096,8.1765
2020-03-31,7.41,7.41,7.41,7.41,0,8.08,8.1035
2020-04-01,7.41,7.41,7.41,7.41,0,8.064,8.0374
2020-04-03,7.41,7.41,7.41,7.41,0,8.04,7.9777
2020-04-06,8.52,8.52,8.52,8.52,100,8.064,8.0293
2020-04-07,8.67,8.67,8.67,8.67,400,8.0955,8.0903
2020-04-08,8.67,8.67,8.67,8.67,0,8.0955,8.1455
2020-04-09,8.67,8.67,8.67,8.67,0,8.0955,8.1955
2020-04-10,8.67,8.67,8.67,8.67,0,8.0955,8.2407
2020-04-13,8.67,8.67,8.67,8.67,0,8.0955,8.2816
2020-04-14,8.67,8.67,8.67,8.67,0,8.0955,8.3186
2020-04-15,8.67,8.67,8.67,8.67,0,8.0955,8.352
2020-04-16,8.67,8.67,8.67,8.67,0,8.0955,8.3823
2020-04-17,8.67,8.67,8.67,8.67,0,8.0955,8.4097
2020-04-20,9.23,9.46,9.23,9.46,400,8.135,8.5097
2020-04-21,9.38,9.38,9.38,9.38,100,8.2335,8.5926
2020-04-22,9.38,9.38,9.38,9.38,0,8.332,8.6676
2020-04-23,9.86,9.86,9.86,9.86,200,8.4545,8.7812
2020-04-24,10.09,10.09,8.44,9.46,1100,8.557,8.8458
2020-04-27,8.99,9.46,9.46,9.46,0,8.6595,8.9043
2020-04-28,7.65,7.65,7.65,7.65,500,8.6715,8.7849
2020-04-29,7.18,7.18,7.18,7.18,500,8.66,8.632
2020-05-04,7.18,7.18,7.18,7.18,0,8.6485,8.4937
2020-05-05,7.18,7.18,7.18,7.18,0,8.637,8.3686
2020-05-06,6.15,6.15,6.15,6.15,500,8.5185,8.1573
2020-05-07,6.15,6.15,6.15,6.15,0,8.3925,7.9661
2020-05-08,6.15,6.15,6.15,6.15,0,8.2665,7.7932
2020-05-11,6.15,6.15,6.15,6.15,0,8.1405,7.6367
2020-05-12,5.28,5.28,5.28,5.28,500,7.971,7.4122
2020-05-13,5.28,5.28,5.28,5.28,0,7.8015,7.2092
2020-05-14,4.49,4.49,4.49,4.49,500,7.5925,6.9502
2020-05-15,4.49,4.49,4.49,4.49,0,7.3835,6.7159
2020-05-18,4.49,4.49,4.49,4.49,0,7.1745,6.5039
2020-05-19,4.49,4.49,3.86,3.86,500,6.934,6.2521
2020-05-20,4.34,3.86,3.86,3.86,0,6.654,6.0243
2020-05-21,4.34,3.86,3.86,3.86,0,6.378,5.8182
