time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,0.7,0.8,0.7,0.8,103800,,
2020-01-03,0.8,0.8,0.7,0.7,33500,,
2020-01-06,0.7,0.8,0.7,0.8,23700,,
2020-01-07,0.8,0.8,0.7,0.8,23700,,
2020-01-08,0.7,0.8,0.7,0.8,34000,,
2020-01-09,0.7,0.8,0.7,0.7,74800,,
2020-01-10,0.7,0.8,0.7,0.7,19100,,
2020-01-13,0.7,0.7,0.7,0.7,134500,,
2020-01-14,0.8,0.8,0.7,0.7,52100,,
2020-01-15,0.7,0.8,0.7,0.7,132500,,
2020-01-16,0.7,0.7,0.7,0.7,38600,,
2020-01-17,0.7,0.7,0.7,0.7,402700,,
2020-01-20,0.7,0.8,0.7,0.7,349300,,
2020-01-21,0.7,0.8,0.7,0.8,900,,
2020-01-22,0.7,0.8,0.7,0.8,230100,,
2020-01-30,0.8,0.8,0.7,0.7,159200,,
2020-01-31,0.7,0.8,0.7,0.7,310400,,
2020-02-03,0.6,0.7,0.6,0.7,62700,,
2020-02-04,0.7,0.7,0.6,0.7,84200,,
2020-02-05,0.7,0.7,0.6,0.7,50000,0.73,0.7317
2020-02-06,0.6,0.7,0.6,0.7,20300,0.725,0.7287
2020-02-07,0.7,0.7,0.6,0.7,53600,0.725,0.726
2020-02-10,0.7,0.7,0.6,0.7,37800,0.72,0.7235
2020-02-11,0.7,0.7,0.7,0.7,41200,0.715,0.7212
2020-02-12,0.7,0.7,0.6,0.7,26400,0.71,0.7192
2020-02-13,0.7,0.7,0.6,0.7,14600,0.71,0.7174
2020-02-14,0.7,0.7,0.6,0.6,9900,0.705,0.7062
2020-02-17,0.6,0.7,0.6,0.7,13800,0.705,0.7056
2020-02-18,0.6,0.6,0.6,0.6,4800,0.7,0.6956
2020-02-19,0.7,0.7,0.7,0.7,266900,0.7,0.696
2020-02-20,0.8,0.8,0.7,0.8,270800,0.705,0.7059
2020-02-21,0.7,0.8,0.7,0.7,65500,0.705,0.7053
2020-02-24,0.7,0.7,0.6,0.6,55900,0.7,0.6953
2020-02-25,0.6,0.7,0.6,0.7,6800,0.695,0.6957
2020-02-26,0.7,0.7,0.7,0.7,600,0.69,0.6962
2020-02-27,0.7,0.7,0.6,0.7,1200,0.69,0.6965
2020-02-28,0.7,0.7,0.6,0.7,33900,0.69,0.6969
2020-03-02,0.7,0.7,0.6,0.7,1362700,0.69,0.6972
