time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,6.74,6.74,6.74,6.74,0,,
2020-01-03,6.74,6.74,6.74,6.74,100,,
2020-01-06,6.74,6.74,6.74,6.74,400,,
2020-01-07,6.74,6.74,6.74,6.74,0,,
2020-01-08,6.74,6.74,6.74,6.74,0,,
2020-01-09,6.74,6.74,6.74,6.74,100,,
2020-01-10,6.74,6.74,6.74,6.74,0,,
2020-01-13,6.74,6.74,6.74,6.74,0,,
2020-01-14,6.74,6.74,6.74,6.74,0,,
2020-01-15,6.74,6.74,6.74,6.74,0,,
2020-01-16,6.74,6.74,6.74,6.74,0,,
2020-01-17,6.74,6.74,6.74,6.74,0,,
2020-01-20,6.74,6.74,6.74,6.74,0,,
2020-01-21,6.74,6.74,6.74,6.74,0,,
2020-01-22,6.74,6.74,6.74,6.74,0,,
2020-01-30,6.74,6.74,6.74,6.74,0,,
2020-01-31,6.74,6.74,6.74,6.74,0,,
2020-02-03,6.74,6.74,6.74,6.74,0,,
2020-02-04,6.74,6.74,6.74,6.74,0,,
2020-02-05,6.74,6.74,6.74,6.74,0,6.74,6.74
2020-02-06,6.74,6.74,6.74,6.74,0,6.74,6.74
2020-02-07,6.74,6.74,6.74,6.74,0,6.74,6.74
2020-02-10,6.74,6.74,6.74,6.74,0,6.74,6.74
2020-02-11,6.74,6.74,6.74,6.74,0,6.74,6.74
2020-02-12,6.74,6.74,6.74,6.74,0,6.74,6.74
2020-02-13,6.74,6.74,6.74,6.74,0,6.74,6.74
2020-02-14,6.74,6.74,6.74,6.74,0,6.74,6.74
2020-02-17,6.74,6.74,6.74,6.74,0,6.74,6.74
2020-02-18,6.74,6.74,6.74,6.74,0,6.74,6.74
2020-02-19,6.74,6.74,6.74,6.74,0,6.74,6.74
2020-02-20,6.74,6.74,6.74,6.74,0,6.74,6.74
2020-02-21,6.74,6.74,6.74,6.74,0,6.74,6.74
2020-02-24,6.74,6.74,6.74,6.74,0,6.74,6.74
2020-02-25,6.74,6.74,6.74,6.74,0,6.74,6.74
2020-02-26,6.74,6.74,6.74,6.74,0,6.74,6.74
2020-02-27,6.74,6.74,6.74,6.74,0,6.74,6.74
2020-02-28,6.11,6.11,6.11,6.11,4200,6.7085,6.68
