time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,3.98,3.98,3.72,3.95,600,,
2020-01-03,4.09,4.09,4.09,4.09,10,,
2020-01-06,3.9,3.91,3.81,3.82,1920,,
2020-01-07,3.82,3.82,3.82,3.82,0,,
2020-01-08,3.97,3.99,3.73,3.73,750,,
2020-01-09,3.69,3.7,3.69,3.7,650,,
2020-01-10,3.63,3.87,3.63,3.65,710,,
2020-01-13,3.62,3.65,3.6,3.65,5290,,
2020-01-14,3.61,3.61,3.61,3.61,10,,
2020-01-15,3.7,3.7,3.7,3.7,20,,
2020-01-16,3.74,3.74,3.74,3.74,10,,
2020-01-17,3.54,3.65,3.54,3.65,12410,,
2020-01-20,3.5,3.5,3.5,3.5,520,,
2020-01-21,3.63,3.65,3.62,3.63,5400,,
2020-01-22,3.51,3.63,3.51,3.55,1690,,
2020-01-30,3.5,3.55,3.38,3.38,120,,
2020-01-31,3.39,3.39,3.2,3.2,8650,,
2020-02-03,3.2,3.2,3.0,3.01,3950,,
2020-02-04,3.15,3.15,3.14,3.15,400,,
2020-02-05,3.15,3.15,3.15,3.15,1000,3.584,3.5113
2020-02-06,3.02,3.23,3.01,3.23,3530,3.548,3.4845
2020-02-07,3.23,3.23,3.23,3.23,1540,3.505,3.4603
2020-02-10,3.01,3.23,3.01,3.23,5100,3.4755,3.4383
2020-02-11,3.1,3.23,3.1,3.23,1850,3.446,3.4185
2020-02-12,3.24,3.24,3.05,3.05,60,3.412,3.3834
2020-02-13,3.15,3.25,3.1,3.1,3010,3.382,3.3564
2020-02-14,3.25,3.25,3.1,3.11,840,3.355,3.3329
2020-02-17,3.25,3.25,3.11,3.21,60,3.333,3.3212
2020-02-18,3.25,3.28,3.25,3.28,1000,3.3165,3.3173
2020-02-19,3.25,3.25,3.25,3.25,3990,3.294,3.3109
2020-02-20,3.29,3.29,3.25,3.25,1730,3.2695,3.3051
2020-02-21,3.3,3.3,3.29,3.3,5400,3.252,3.3046
2020-02-24,3.28,3.3,3.28,3.3,500,3.242,3.3042
2020-02-25,3.11,3.11,3.11,3.11,30,3.216,3.2857
2020-02-26,3.12,3.12,3.1,3.11,1060,3.194,3.2689
2020-02-27,3.1,3.1,3.0,3.1,8090,3.18,3.2529
2020-02-28,3.1,3.1,3.1,3.1,3330,3.175,3.2383
2020-03-02,3.1,3.1,3.0,3.0,17080,3.1745,3.2156
2020-03-03,3.0,3.0,3.0,3.0,8000,3.167,3.1951
2020-03-04,2.85,3.05,2.85,3.05,1050,3.162,3.1813
2020-03-05,3.0,3.05,3.0,3.05,28040,3.153,3.1688
2020-03-06,3.05,3.05,3.0,3.0,910,3.1415,3.1527
2020-03-09,2.95,2.95,2.9,2.9,22450,3.125,3.1286
2020-03-10,2.7,2.94,2.7,2.78,8730,3.1025,3.0954
2020-03-11,2.96,2.96,2.71,2.89,610,3.0945,3.0759
2020-03-12,2.71,2.75,2.69,2.74,6820,3.0765,3.0439
2020-03-13,2.6,2.88,2.55,2.88,7720,3.065,3.0283
2020-03-16,2.88,3.06,2.88,3.06,20280,3.0575,3.0313
2020-03-17,2.87,3.0,2.87,3.0,3550,3.0435,3.0283
2020-03-18,3.0,3.0,3.0,3.0,3050,3.031,3.0256
2020-03-19,2.81,2.97,2.81,2.97,780,3.017,3.0203
2020-03-20,2.82,2.82,2.81,2.81,520,2.9925,3.0003
2020-03-23,2.75,2.8,2.75,2.8,130,2.9675,2.9812
2020-03-24,2.64,2.79,2.64,2.79,6200,2.9515,2.963
2020-03-25,2.79,2.79,2.79,2.79,0,2.9355,2.9465
2020-03-26,2.97,2.97,2.6,2.76,3630,2.9185,2.9288
2020-03-27,2.76,2.76,2.76,2.76,1010,2.9015,2.9127
2020-03-30,2.61,2.75,2.61,2.75,400,2.889,2.8972
2020-03-31,2.65,2.65,2.6,2.6,20,2.869,2.8689
2020-04-01,2.6,2.7,2.42,2.64,6800,2.8485,2.8471
2020-04-03,2.64,2.7,2.64,2.67,720,2.8295,2.8302
2020-04-06,2.55,2.67,2.55,2.6,1120,2.8095,2.8083
2020-04-07,2.6,2.65,2.5,2.6,6210,2.7945,2.7885
2020-04-08,2.65,2.65,2.65,2.65,1630,2.788,2.7753
2020-04-09,2.6,2.69,2.58,2.58,1800,2.7725,2.7567
2020-04-10,2.5,2.59,2.47,2.59,1100,2.765,2.7408
2020-04-13,2.68,2.68,2.59,2.6,4910,2.751,2.7274
2020-04-14,2.5,2.55,2.42,2.43,47870,2.7195,2.6991
2020-04-15,2.41,2.6,2.4,2.49,67420,2.694,2.6792
2020-04-16,2.49,2.59,2.42,2.59,20030,2.6735,2.6707
2020-04-17,2.65,2.65,2.41,2.41,122360,2.6455,2.6458
2020-04-20,2.41,2.55,2.4,2.5,56450,2.63,2.632
2020-04-21,2.52,2.53,2.47,2.5,18270,2.615,2.6194
2020-04-22,2.5,2.5,2.33,2.43,160950,2.597,2.6013
2020-04-23,2.28,2.46,2.28,2.43,5640,2.579,2.585
2020-04-24,2.42,2.42,2.35,2.35,2170,2.5585,2.5626
2020-04-27,2.35,2.4,2.3,2.38,20680,2.5395,2.5453
2020-04-28,2.34,2.39,2.34,2.39,8190,2.5215,2.5305
2020-04-29,2.35,2.45,2.35,2.41,34990,2.512,2.519
2020-05-04,2.42,2.42,2.36,2.36,7280,2.498,2.5038
2020-05-05,2.36,2.42,2.35,2.39,54670,2.484,2.493
2020-05-06,2.42,2.42,2.39,2.41,3410,2.4745,2.4851
2020-05-07,2.45,2.45,2.42,2.44,17350,2.4665,2.4808
2020-05-08,2.49,2.51,2.47,2.5,90660,2.459,2.4826
2020-05-11,2.5,2.67,2.5,2.67,48590,2.4635,2.5005
2020-05-12,2.7,2.85,2.7,2.85,13670,2.4765,2.5338
2020-05-13,3.04,3.04,3.0,3.04,43960,2.4985,2.582
2020-05-14,3.25,3.25,3.2,3.25,43930,2.5395,2.6456
2020-05-15,3.47,3.47,3.2,3.24,114230,2.577,2.7022
2020-05-18,3.02,3.3,3.02,3.02,68140,2.5985,2.7325
2020-05-19,3.02,3.1,2.96,3.02,44440,2.629,2.7599
2020-05-20,2.91,3.09,2.9,2.95,52220,2.6515,2.778
2020-05-21,2.89,3.0,2.86,2.9,35350,2.6715,2.7896
2020-05-22,2.91,3.02,2.91,3.0,17040,2.7,2.8096
2020-05-25,3.02,3.02,2.91,2.91,9990,2.724,2.8192
2020-05-26,2.93,2.93,2.75,2.92,40910,2.7525,2.8288
2020-05-27,3.0,3.12,2.86,3.12,41310,2.7895,2.8565
2020-05-28,3.3,3.3,3.12,3.2,20950,2.83,2.8892
2020-05-29,3.2,3.25,3.07,3.07,8050,2.863,2.9065
2020-06-01,3.02,3.24,3.01,3.2,37580,2.905,2.9344
2020-06-02,3.4,3.4,3.1,3.1,20270,2.9405,2.9502
2020-06-03,3.19,3.19,3.1,3.1,9990,2.975,2.9644
2020-06-04,3.1,3.1,3.01,3.1,22190,3.008,2.9774
2020-06-05,3.1,3.25,3.1,3.25,25980,3.0455,3.0033
2020-06-08,3.25,3.44,3.23,3.42,74650,3.083,3.043
2020-06-09,3.45,3.65,3.45,3.65,113300,3.123,3.1008
2020-06-10,3.9,3.9,3.65,3.9,45510,3.166,3.1769
2020-06-11,4.17,4.17,4.0,4.0,126060,3.2035,3.2553
2020-06-12,3.72,3.72,3.72,3.72,46540,3.2275,3.2996
2020-06-15,3.46,3.72,3.46,3.48,54770,3.2505,3.3168
2020-06-16,3.25,3.71,3.25,3.7,29620,3.2845,3.3533
2020-06-17,3.47,3.65,3.45,3.45,31800,3.3095,3.3625
2020-06-18,3.6,3.6,3.26,3.47,10840,3.338,3.3727
2020-06-19,3.61,3.61,3.5,3.51,9920,3.3635,3.3858
2020-06-22,3.55,3.55,3.32,3.55,10560,3.3955,3.4014
2020-06-23,3.55,3.55,3.41,3.52,25070,3.4255,3.4127
2020-06-24,3.52,3.52,3.44,3.45,18150,3.442,3.4163
2020-06-25,3.31,3.53,3.31,3.5,3090,3.457,3.4242
2020-06-26,3.38,3.5,3.38,3.41,21240,3.474,3.4229
2020-06-29,3.35,3.4,3.32,3.4,37810,3.484,3.4207
2020-06-30,3.28,3.34,3.28,3.32,25320,3.495,3.4111
2020-07-01,3.4,3.4,3.3,3.39,30050,3.5095,3.4091
2020-07-02,3.39,3.4,3.39,3.4,20680,3.5245,3.4082
2020-07-03,3.45,3.45,3.41,3.42,10970,3.533,3.4094
2020-07-06,3.32,3.4,3.32,3.4,6700,3.532,3.4085
2020-07-07,3.4,3.42,3.38,3.42,10670,3.5205,3.4096
2020-07-08,3.4,3.44,3.35,3.4,13010,3.4955,3.4087
2020-07-09,3.43,3.63,3.43,3.49,28370,3.47,3.4164
2020-07-10,3.49,3.55,3.45,3.5,6770,3.459,3.4244
2020-07-13,3.58,3.58,3.46,3.46,1760,3.458,3.4278
2020-07-14,3.59,3.59,3.4,3.56,4650,3.451,3.4404
2020-07-15,3.45,3.55,3.45,3.55,3400,3.456,3.4508
2020-07-16,3.45,3.48,3.35,3.35,8190,3.45,3.4412
2020-07-17,3.35,3.38,3.12,3.17,34900,3.433,3.4154
2020-07-20,3.17,3.17,3.12,3.12,2690,3.4115,3.3872
2020-07-21,3.12,3.3,3.12,3.3,9800,3.4005,3.3789
2020-07-22,3.3,3.33,3.21,3.29,14890,3.3925,3.3705
2020-07-23,3.29,3.29,3.13,3.13,13850,3.374,3.3476
2020-07-24,3.13,3.13,3.07,3.07,1610,3.357,3.3211
2020-07-27,2.86,3.08,2.86,2.86,2890,3.33,3.2772
2020-07-28,2.67,2.99,2.67,2.89,16140,3.3085,3.2403
2020-07-29,2.71,2.72,2.69,2.7,77470,3.274,3.1889
2020-07-30,2.53,2.73,2.53,2.6,190,3.234,3.1328
2020-07-31,2.55,2.66,2.55,2.58,9320,3.192,3.0801
2020-08-03,2.6,2.73,2.6,2.63,150,3.1535,3.0373
2020-08-04,2.74,2.81,2.74,2.8,11050,3.1225,3.0147
2020-08-05,2.8,2.92,2.8,2.92,33160,3.0985,3.0057
2020-08-06,3.1,3.1,3.05,3.05,2690,3.0765,3.0099
2020-08-07,3.14,3.14,3.09,3.09,480,3.056,3.0175
2020-08-10,3.2,3.2,2.97,3.19,630,3.0425,3.0339
2020-08-11,3.1,3.1,3.05,3.1,4220,3.0195,3.0402
2020-08-12,3.1,3.25,3.08,3.19,2820,3.0015,3.0545
2020-08-13,3.05,3.19,3.0,3.05,8240,2.9865,3.0541
2020-08-14,3.05,3.05,2.98,3.05,5430,2.9805,3.0537
2020-08-17,3.05,3.05,3.0,3.02,10430,2.9755,3.0505
2020-08-18,3.1,3.1,3.1,3.1,1850,2.9655,3.0552
2020-08-19,3.23,3.23,3.05,3.05,4210,2.9535,3.0547
2020-08-20,3.04,3.13,3.04,3.13,8150,2.9535,3.0619
2020-08-21,3.1,3.15,3.06,3.15,7300,2.9575,3.0703
2020-08-24,3.15,3.2,3.08,3.2,11510,2.9745,3.0826
2020-08-25,3.2,3.2,3.15,3.2,4110,2.99,3.0938
2020-08-26,3.2,3.3,3.2,3.3,47080,3.02,3.1134
2020-08-27,3.3,3.31,3.3,3.3,12970,3.055,3.1312
2020-08-28,3.32,3.35,3.3,3.35,9750,3.0935,3.152
2020-08-31,3.35,3.35,3.12,3.3,32830,3.127,3.1661
2020-09-01,3.28,3.28,3.25,3.28,2660,3.151,3.177
2020-09-03,3.2,3.2,3.2,3.2,2000,3.165,3.1792
2020-09-04,3.34,3.34,3.34,3.34,20,3.1795,3.1945
2020-09-07,3.34,3.34,3.34,3.34,0,3.192,3.2083
