time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,10.2,10.2,10.2,10.2,0,,
2020-01-03,10.2,10.2,10.2,10.2,0,,
2020-01-06,10.2,11.0,10.2,11.0,500,,
2020-01-07,10.7,11.0,11.0,11.0,0,,
2020-01-08,10.7,11.0,11.0,11.0,0,,
2020-01-09,9.1,9.1,9.1,9.1,100,,
2020-01-10,9.1,9.1,9.1,9.1,0,,
2020-01-13,9.1,9.1,9.1,9.1,0,,
2020-01-14,9.1,9.1,9.1,9.1,0,,
2020-01-15,7.8,7.8,7.8,7.8,100,,
2020-01-16,6.7,6.7,6.7,6.7,100,,
2020-01-17,6.7,6.7,6.7,6.7,0,,
2020-01-20,6.7,6.7,6.7,6.7,0,,
2020-01-21,6.7,6.7,6.7,6.7,0,,
2020-01-22,6.7,6.7,6.7,6.7,0,,
2020-01-30,6.7,6.7,6.7,6.7,0,,
2020-01-31,6.7,6.7,6.7,6.7,0,,
2020-02-03,6.7,6.7,6.7,6.7,0,,
2020-02-04,6.7,6.7,6.7,6.7,0,,
2020-02-05,6.7,6.7,6.7,6.7,0,8.23,7.828
2020-02-06,6.7,6.7,6.7,6.7,0,8.055,7.7206
2020-02-07,6.7,6.7,6.7,6.7,0,7.88,7.6234
2020-02-10,6.7,6.7,6.7,6.7,0,7.665,7.5355
2020-02-11,6.7,6.7,6.7,6.7,0,7.45,7.4559
2020-02-12,6.7,6.7,6.7,6.7,0,7.235,7.3839
2020-02-13,6.7,6.7,6.7,6.7,0,7.115,7.3188
2020-02-14,6.7,6.7,6.7,6.7,0,6.995,7.2598
2020-02-17,6.7,6.7,6.7,6.7,0,6.875,7.2065
2020-02-18,6.7,6.7,6.7,6.7,0,6.755,7.1583
2020-02-19,6.7,6.7,6.7,6.7,0,6.7,7.1146
2020-02-20,6.7,6.7,6.7,6.7,0,6.7,7.0751
2020-02-21,6.7,6.7,6.7,6.7,0,6.7,7.0394
2020-02-24,6.7,6.7,6.7,6.7,0,6.7,7.0071
2020-02-25,6.7,6.7,6.7,6.7,0,6.7,6.9778
2020-02-26,6.7,6.7,6.7,6.7,0,6.7,6.9514
2020-02-27,6.7,6.7,6.7,6.7,0,6.7,6.9274
2020-02-28,6.7,6.7,6.7,6.7,0,6.7,6.9058
2020-03-02,6.7,6.7,6.7,6.7,0,6.7,6.8862
2020-03-03,6.7,6.7,6.7,6.7,0,6.7,6.8685
2020-03-04,6.7,6.7,6.7,6.7,0,6.7,6.8524
2020-03-05,6.7,6.7,6.7,6.7,0,6.7,6.8379
2020-03-06,6.7,6.7,6.7,6.7,0,6.7,6.8248
2020-03-09,6.7,6.7,6.7,6.7,0,6.7,6.8129
2020-03-10,6.7,6.7,6.7,6.7,0,6.7,6.8021
2020-03-11,6.7,6.7,6.7,6.7,0,6.7,6.7924
2020-03-12,6.7,6.7,6.7,6.7,0,6.7,6.7836
2020-03-13,6.7,6.7,6.7,6.7,0,6.7,6.7756
2020-03-16,6.7,6.7,6.7,6.7,0,6.7,6.7684
2020-03-17,6.7,6.7,6.7,6.7,0,6.7,6.7619
2020-03-18,6.7,6.7,6.7,6.7,0,6.7,6.756
2020-03-19,6.7,6.7,6.7,6.7,0,6.7,6.7507
2020-03-20,6.7,6.7,6.7,6.7,0,6.7,6.7459
2020-03-23,6.7,6.7,6.7,6.7,0,6.7,6.7415
2020-03-24,6.7,6.7,6.7,6.7,0,6.7,6.7375
2020-03-25,6.7,6.7,6.7,6.7,0,6.7,6.734
2020-03-26,6.7,6.7,6.7,6.7,0,6.7,6.7307
2020-03-27,6.7,6.7,6.7,6.7,0,6.7,6.7278
2020-03-30,6.7,6.7,6.7,6.7,0,6.7,6.7252
2020-03-31,6.7,6.7,6.7,6.7,0,6.7,6.7228
2020-04-01,6.7,6.7,6.7,6.7,0,6.7,6.7206
2020-04-03,6.7,6.7,6.7,6.7,0,6.7,6.7186
2020-04-06,6.7,6.7,6.7,6.7,0,6.7,6.7169
2020-04-07,6.7,6.7,6.7,6.7,0,6.7,6.7153
2020-04-08,6.7,6.7,6.7,6.7,0,6.7,6.7138
2020-04-09,6.7,6.7,6.7,6.7,0,6.7,6.7125
2020-04-10,6.7,6.7,6.7,6.7,0,6.7,6.7113
2020-04-13,6.7,6.7,6.7,6.7,0,6.7,6.7102
2020-04-14,6.7,6.7,6.7,6.7,0,6.7,6.7092
2020-04-15,6.7,6.7,6.7,6.7,0,6.7,6.7084
2020-04-16,6.7,6.7,6.7,6.7,0,6.7,6.7076
2020-04-17,6.7,6.7,6.7,6.7,0,6.7,6.7068
2020-04-20,6.7,6.7,6.7,6.7,0,6.7,6.7062
2020-04-21,6.7,6.7,6.7,6.7,0,6.7,6.7056
2020-04-22,6.7,6.7,6.7,6.7,0,6.7,6.7051
2020-04-23,6.7,6.7,6.7,6.7,0,6.7,6.7046
2020-04-24,6.7,6.7,6.7,6.7,0,6.7,6.7042
2020-04-27,6.7,6.7,6.7,6.7,0,6.7,6.7038
2020-04-28,6.7,6.7,6.7,6.7,0,6.7,6.7034
2020-04-29,6.7,6.7,6.7,6.7,0,6.7,6.7031
2020-05-04,6.7,6.7,6.7,6.7,0,6.7,6.7028
2020-05-05,6.7,6.7,6.7,6.7,0,6.7,6.7025
2020-05-06,6.7,6.7,6.7,6.7,0,6.7,6.7023
2020-05-07,4.1,4.1,4.1,4.1,2300,6.57,6.4544
2020-05-08,4.6,4.6,3.8,3.8,200,6.425,6.2016
2020-05-11,4.2,3.8,3.8,3.8,0,6.28,5.9729
2020-05-12,4.8,4.8,4.8,4.8,100,6.185,5.8612
2020-05-13,4.8,4.8,4.8,4.8,0,6.09,5.7601
2020-05-14,4.8,4.8,4.8,4.8,0,5.995,5.6687
2020-05-15,4.8,4.8,4.8,4.8,0,5.9,5.586
2020-05-18,5.4,5.4,4.1,4.1,1200,5.77,5.4444
2020-05-19,4.2,4.1,4.1,4.1,0,5.64,5.3164
2020-05-20,4.2,4.1,4.1,4.1,0,5.51,5.2006
2020-05-21,4.2,4.1,4.1,4.1,0,5.38,5.0957
2020-05-22,4.7,4.7,4.7,4.7,100,5.28,5.058
2020-05-25,4.7,4.7,4.7,4.7,0,5.18,5.0239
2020-05-26,5.3,5.3,5.3,5.3,100,5.11,5.0502
2020-05-27,5.3,5.3,5.3,5.3,0,5.04,5.074
2020-05-28,5.3,5.3,5.3,5.3,0,4.97,5.0955
2020-05-29,5.3,5.3,5.3,5.3,0,4.9,5.115
2020-06-01,5.3,5.3,5.3,5.3,0,4.83,5.1326
2020-06-02,5.3,5.3,5.3,5.3,0,4.76,5.1486
2020-06-03,5.3,5.3,5.3,5.3,0,4.69,5.163
