time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,16.53,16.53,16.53,16.53,0,,
2020-01-03,16.53,16.53,16.53,16.53,0,,
2020-01-06,16.53,16.53,16.53,16.53,0,,
2020-01-07,16.53,16.53,16.53,16.53,0,,
2020-01-08,16.53,16.53,16.53,16.53,0,,
2020-01-09,16.53,16.53,16.53,16.53,0,,
2020-01-10,16.53,16.53,16.53,16.53,0,,
2020-01-13,16.53,16.53,16.53,16.53,300,,
2020-01-14,17.32,17.32,17.32,17.32,3900,,
2020-01-15,17.32,17.32,17.32,17.32,0,,
2020-01-16,17.32,17.32,17.32,17.32,0,,
2020-01-17,16.53,16.53,16.53,16.53,1000,,
2020-01-20,16.53,16.53,16.53,16.53,0,,
2020-01-21,16.53,16.53,16.53,16.53,0,,
2020-01-22,16.53,16.53,16.53,16.53,0,,
2020-01-30,16.53,16.53,16.53,16.53,0,,
2020-01-31,16.53,16.53,16.53,16.53,0,,
2020-02-03,16.53,16.53,16.53,16.53,0,,
2020-02-04,16.53,16.53,16.53,16.53,0,,
2020-02-05,16.53,16.53,16.53,16.53,0,16.6485,16.6132
2020-02-06,16.53,16.53,16.53,16.53,0,16.6485,16.6053
2020-02-07,16.53,16.53,16.53,16.53,0,16.6485,16.5981
2020-02-10,16.53,16.53,16.53,16.53,0,16.6485,16.5917
2020-02-11,16.53,16.53,16.53,16.53,0,16.6485,16.5858
2020-02-12,16.53,16.53,16.53,16.53,0,16.6485,16.5805
2020-02-13,16.53,16.53,16.53,16.53,0,16.6485,16.5757
2020-02-14,16.53,16.53,16.53,16.53,0,16.6485,16.5713
2020-02-17,16.53,16.53,16.53,16.53,0,16.6485,16.5674
2020-02-18,16.53,16.53,16.53,16.53,0,16.609,16.5638
2020-02-19,16.53,16.53,16.53,16.53,0,16.5695,16.5606
2020-02-20,16.53,16.53,16.53,16.53,0,16.53,16.5577
2020-02-21,16.53,16.53,16.53,16.53,0,16.53,16.555
2020-02-24,16.53,16.53,16.53,16.53,0,16.53,16.5527
2020-02-25,16.53,16.53,16.53,16.53,0,16.53,16.5505
2020-02-26,16.53,16.53,16.53,16.53,0,16.53,16.5486
2020-02-27,16.53,16.53,16.53,16.53,0,16.53,16.5468
2020-02-28,16.53,16.53,16.53,16.53,0,16.53,16.5452
2020-03-02,16.53,16.53,16.53,16.53,0,16.53,16.5437
2020-03-03,16.53,16.53,16.53,16.53,0,16.53,16.5424
2020-03-04,16.53,16.53,16.53,16.53,0,16.53,16.5412
2020-03-05,16.53,16.53,16.53,16.53,0,16.53,16.5402
2020-03-06,16.53,16.53,16.53,16.53,0,16.53,16.5392
2020-03-09,16.53,16.53,16.53,16.53,0,16.53,16.5383
2020-03-10,16.53,16.53,16.53,16.53,0,16.53,16.5375
2020-03-11,16.53,16.53,16.53,16.53,0,16.53,16.5368
2020-03-12,16.53,16.53,16.53,16.53,0,16.53,16.5362
2020-03-13,16.53,16.53,16.53,16.53,0,16.53,16.5356
2020-03-16,16.53,16.53,16.53,16.53,0,16.53,16.5351
2020-03-17,16.53,16.53,16.53,16.53,0,16.53,16.5346
2020-03-18,16.53,16.53,16.53,16.53,0,16.53,16.5341
2020-03-19,16.53,16.53,16.53,16.53,0,16.53,16.5337
2020-03-20,16.53,16.53,16.53,16.53,0,16.53,16.5334
2020-03-23,16.53,16.53,16.53,16.53,0,16.53,16.5331
2020-03-24,16.53,16.53,16.53,16.53,0,16.53,16.5328
2020-03-25,16.53,16.53,16.53,16.53,0,16.53,16.5325
2020-03-26,16.53,16.53,16.53,16.53,0,16.53,16.5323
2020-03-27,16.53,16.53,16.53,16.53,0,16.53,16.5321
2020-03-30,16.53,16.53,16.53,16.53,0,16.53,16.5319
2020-03-31,16.53,16.53,16.53,16.53,0,16.53,16.5317
2020-04-01,16.53,16.53,16.53,16.53,0,16.53,16.5315
2020-04-03,16.53,16.53,16.53,16.53,0,16.53,16.5314
2020-04-06,16.53,16.53,16.53,16.53,0,16.53,16.5312
2020-04-07,16.53,16.53,16.53,16.53,0,16.53,16.5311
2020-04-08,16.53,16.53,16.53,16.53,0,16.53,16.531
2020-04-09,16.53,16.53,16.53,16.53,0,16.53,16.5309
2020-04-10,16.53,16.53,16.53,16.53,0,16.53,16.5308
2020-04-13,16.53,16.53,16.53,16.53,0,16.53,16.5308
2020-04-14,16.53,16.53,16.53,16.53,0,16.53,16.5307
2020-04-15,16.53,16.53,16.53,16.53,0,16.53,16.5306
2020-04-16,16.53,16.53,16.53,16.53,0,16.53,16.5306
2020-04-17,16.53,16.53,16.53,16.53,0,16.53,16.5305
2020-04-20,16.53,16.53,16.53,16.53,0,16.53,16.5305
2020-04-21,16.53,16.53,16.53,16.53,0,16.53,16.5304
2020-04-22,16.53,16.53,16.53,16.53,0,16.53,16.5304
2020-04-23,16.53,16.53,16.53,16.53,0,16.53,16.5303
2020-04-24,16.53,16.53,16.53,16.53,0,16.53,16.5303
2020-04-27,16.53,16.53,16.53,16.53,0,16.53,16.5303
