time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,6.69,6.69,6.5,6.65,16510,,
2020-01-03,6.65,6.65,6.65,6.65,31910,,
2020-01-06,6.55,6.65,6.31,6.62,3250,,
2020-01-07,6.5,6.65,6.5,6.62,27000,,
2020-01-08,6.57,6.62,6.57,6.62,5030,,
2020-01-09,6.55,6.62,6.55,6.57,6600,,
2020-01-10,6.17,6.57,6.17,6.5,13070,,
2020-01-13,6.5,6.65,6.22,6.65,12100,,
2020-01-14,6.65,6.65,6.65,6.65,0,,
2020-01-15,6.22,6.55,6.22,6.55,180,,
2020-01-16,6.5,6.5,6.5,6.5,20000,,
2020-01-17,6.45,6.5,6.45,6.5,21210,,
2020-01-20,6.43,6.43,6.22,6.43,21020,,
2020-01-21,6.05,6.43,6.05,6.43,22110,,
2020-01-22,6.45,6.45,6.43,6.43,20500,,
2020-01-30,6.02,6.5,6.02,6.5,59350,,
2020-01-31,6.31,6.45,6.31,6.31,31770,,
2020-02-03,6.31,6.31,6.19,6.22,34050,,
2020-02-04,6.28,6.28,6.28,6.28,2080,,
2020-02-05,5.89,6.43,5.89,6.28,2180,6.498,6.458
2020-02-06,6.21,6.23,6.21,6.23,1550,6.477,6.4363
2020-02-07,5.84,6.21,5.84,6.21,2050,6.455,6.4147
2020-02-10,5.84,5.84,5.84,5.84,430,6.416,6.36
2020-02-11,6.21,6.21,6.21,6.21,20,6.3955,6.3457
2020-02-12,6.21,6.21,6.21,6.21,0,6.375,6.3328
2020-02-13,5.89,6.18,5.79,5.79,38910,6.336,6.2811
2020-02-14,5.94,6.13,5.89,6.13,520,6.3175,6.2667
2020-02-17,6.16,6.16,6.01,6.01,2530,6.2855,6.2423
2020-02-18,5.79,6.08,5.79,6.04,7920,6.255,6.223
2020-02-19,6.06,6.06,6.04,6.06,9020,6.2305,6.2075
2020-02-20,5.99,6.06,5.94,6.06,21260,6.2085,6.1934
2020-02-21,5.81,6.01,5.79,5.79,34720,6.173,6.155
2020-02-24,5.91,5.99,5.69,5.89,31730,6.146,6.1298
2020-02-25,5.5,5.99,5.5,5.99,25290,6.124,6.1165
2020-02-26,5.89,5.89,5.86,5.86,610,6.0955,6.092
2020-02-27,5.89,5.89,5.52,5.89,39560,6.065,6.0728
2020-02-28,5.84,5.84,5.5,5.59,35220,6.029,6.0268
2020-03-02,5.84,5.84,5.4,5.72,21020,6.004,5.9976
2020-03-03,5.79,5.79,5.62,5.62,15950,5.971,5.9616
2020-03-04,5.79,5.79,5.5,5.79,32440,5.9465,5.9453
2020-03-05,5.84,5.99,5.54,5.59,51430,5.9145,5.9114
2020-03-06,5.69,5.77,5.4,5.77,17130,5.8925,5.898
2020-03-09,5.54,5.77,5.54,5.77,5910,5.889,5.8858
2020-03-10,5.77,5.84,5.77,5.77,3120,5.867,5.8748
2020-03-11,5.74,5.74,5.54,5.74,4700,5.8435,5.8619
2020-03-12,5.77,5.77,5.5,5.74,4450,5.841,5.8503
2020-03-13,5.69,5.69,5.37,5.69,39500,5.819,5.835
2020-03-16,5.69,5.69,5.69,5.69,400,5.803,5.8212
2020-03-17,5.74,5.74,5.62,5.64,1370,5.783,5.804
2020-03-18,5.64,5.64,5.64,5.64,1000,5.762,5.7884
2020-03-19,5.27,5.59,5.25,5.59,19480,5.7385,5.7695
2020-03-20,5.64,5.69,5.59,5.59,2410,5.7285,5.7524
2020-03-23,5.59,5.59,5.59,5.59,0,5.7135,5.7369
2020-03-24,5.54,5.54,5.54,5.54,1710,5.691,5.7182
2020-03-25,5.4,5.4,5.4,5.4,3080,5.668,5.6879
2020-03-26,5.52,5.52,5.52,5.52,1510,5.6495,5.6719
2020-03-27,5.52,5.52,5.52,5.52,0,5.646,5.6574
2020-03-30,5.45,5.45,5.45,5.45,510,5.6325,5.6377
2020-03-31,5.18,5.52,5.15,5.52,33110,5.6275,5.6264
2020-04-01,5.4,5.4,5.4,5.4,700,5.608,5.6049
2020-04-03,5.4,5.4,5.3,5.3,1400,5.5935,5.5758
2020-04-06,5.42,5.42,5.37,5.37,820,5.5735,5.5562
2020-04-07,5.3,5.3,5.25,5.3,1330,5.55,5.5318
2020-04-08,5.47,5.47,5.25,5.27,3190,5.525,5.5069
2020-04-09,5.4,5.4,5.3,5.3,6110,5.503,5.4872
2020-04-10,5.3,5.3,5.15,5.3,2660,5.481,5.4694
2020-04-13,5.23,5.23,5.23,5.23,1270,5.458,5.4466
2020-04-14,5.25,5.25,5.2,5.23,1250,5.435,5.4259
2020-04-15,5.23,5.23,5.23,5.23,10,5.4145,5.4073
2020-04-16,5.2,5.2,5.2,5.2,340,5.3925,5.3875
2020-04-17,5.2,5.25,5.15,5.25,15970,5.3755,5.3744
2020-04-20,5.35,5.35,5.35,5.35,10,5.3635,5.3721
2020-04-21,5.32,5.35,5.32,5.35,20,5.3515,5.37
2020-04-22,5.35,5.35,5.35,5.35,0,5.342,5.3681
2020-04-23,5.15,5.18,5.0,5.18,4830,5.331,5.3502
2020-04-24,5.15,5.2,5.15,5.2,600,5.315,5.3359
2020-04-27,5.2,5.23,5.18,5.23,10080,5.3005,5.3258
2020-04-28,5.2,5.4,5.2,5.4,6520,5.298,5.3329
2020-04-29,5.4,5.45,5.4,5.4,10310,5.292,5.3393
2020-05-04,5.3,5.3,5.3,5.3,1400,5.287,5.3355
2020-05-05,5.3,5.3,5.3,5.3,22350,5.287,5.3321
2020-05-06,5.37,5.37,5.27,5.32,23010,5.2845,5.331
2020-05-07,5.4,5.4,5.25,5.37,38130,5.288,5.3347
2020-05-08,5.45,5.45,5.05,5.37,40580,5.293,5.3381
2020-05-11,5.25,5.32,5.15,5.32,83000,5.294,5.3363
2020-05-12,5.08,5.3,5.08,5.23,15020,5.2905,5.3262
2020-05-13,5.45,5.45,5.15,5.18,24270,5.288,5.3123
2020-05-14,5.27,5.27,5.2,5.23,17030,5.288,5.3045
2020-05-15,5.15,5.23,5.15,5.23,16380,5.288,5.2974
2020-05-18,4.96,5.23,4.96,5.15,2360,5.2855,5.2833
2020-05-19,5.27,5.27,5.2,5.25,16550,5.2855,5.2802
2020-05-20,5.0,5.25,4.96,5.25,36000,5.2805,5.2773
2020-05-21,5.23,5.25,4.98,5.25,12250,5.2755,5.2747
2020-05-22,5.15,5.27,5.15,5.25,8450,5.2705,5.2723
2020-05-25,5.25,5.25,5.23,5.23,3000,5.273,5.2683
2020-05-26,5.23,5.3,5.2,5.3,30390,5.278,5.2713
2020-05-27,5.35,5.35,5.25,5.25,23020,5.279,5.2693
2020-05-28,5.3,5.32,5.23,5.32,4710,5.275,5.2741
2020-05-29,5.32,5.37,5.25,5.35,4530,5.2725,5.2813
2020-06-01,5.3,5.37,5.25,5.37,13560,5.276,5.2898
2020-06-02,5.15,5.4,5.13,5.35,113660,5.2785,5.2955
2020-06-03,5.32,5.35,5.18,5.2,18340,5.2725,5.2864
2020-06-04,5.2,5.32,5.2,5.32,10500,5.27,5.2896
2020-06-05,5.15,5.32,5.15,5.3,17360,5.2665,5.2906
2020-06-08,5.27,5.35,5.27,5.35,33570,5.268,5.2963
2020-06-09,5.35,5.35,5.25,5.25,52300,5.269,5.2919
2020-06-10,5.25,5.25,5.25,5.25,36880,5.2725,5.2879
2020-06-11,5.25,5.27,5.13,5.27,18250,5.2745,5.2862
2020-06-12,5.18,5.27,5.05,5.23,52830,5.2745,5.2808
2020-06-15,5.27,5.27,5.1,5.2,13090,5.277,5.2731
2020-06-16,5.2,5.2,5.08,5.1,36560,5.2695,5.2566
2020-06-17,5.1,5.1,5.08,5.1,17530,5.262,5.2417
2020-06-18,5.1,5.1,5.03,5.05,11710,5.252,5.2235
2020-06-19,5.08,5.15,5.08,5.15,11140,5.247,5.2165
2020-06-22,5.15,5.15,5.15,5.15,2820,5.243,5.2101
2020-06-23,5.13,5.15,5.13,5.15,15500,5.2355,5.2044
2020-06-24,5.15,5.15,5.05,5.13,7890,5.2295,5.1973
2020-06-25,5.05,5.13,5.05,5.13,560,5.22,5.1909
2020-06-26,5.13,5.13,5.13,5.13,0,5.209,5.1851
2020-06-29,4.77,5.1,4.77,5.1,6550,5.1955,5.177
2020-06-30,4.81,5.15,4.81,5.15,7000,5.1855,5.1744
2020-07-01,5.0,5.13,5.0,5.13,9880,5.182,5.1702
2020-07-02,5.0,5.13,5.0,5.13,29040,5.1725,5.1664
2020-07-03,5.15,5.2,5.1,5.2,179680,5.1675,5.1696
2020-07-06,5.13,5.23,5.08,5.23,5750,5.1615,5.1753
2020-07-07,5.15,5.2,5.08,5.2,48190,5.159,5.1777
2020-07-08,5.15,5.2,5.15,5.2,3200,5.1565,5.1798
2020-07-09,5.2,5.2,5.2,5.2,500,5.153,5.1817
2020-07-10,5.2,5.2,5.2,5.2,1750,5.1515,5.1835
2020-07-13,5.13,5.2,5.13,5.2,2500,5.1515,5.185
2020-07-14,5.15,5.2,5.15,5.2,2100,5.1565,5.1865
2020-07-15,5.2,5.2,5.2,5.2,0,5.1615,5.1878
2020-07-16,5.15,5.2,5.13,5.2,7110,5.169,5.1889
2020-07-17,5.15,5.2,5.15,5.2,2500,5.1715,5.19
2020-07-20,5.18,5.2,5.13,5.2,10010,5.174,5.1909
2020-07-21,5.15,5.25,5.15,5.25,10980,5.179,5.1966
2020-07-22,5.27,5.3,5.2,5.3,189580,5.1875,5.2064
2020-07-23,5.4,5.4,5.37,5.37,6170,5.1995,5.222
2020-07-24,5.15,5.35,5.15,5.35,40,5.2105,5.2342
2020-07-27,5.35,5.35,4.98,5.3,4220,5.2205,5.2404
2020-07-28,5.3,5.3,5.0,5.3,1320,5.228,5.2461
2020-07-29,5.0,5.18,4.93,5.18,3680,5.2305,5.2398
2020-07-30,4.91,5.25,4.83,5.25,5270,5.2365,5.2408
2020-07-31,5.25,5.25,5.2,5.2,3010,5.2365,5.2369
2020-08-03,5.15,5.2,5.05,5.2,13670,5.235,5.2334
