time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,6.71,6.71,6.71,6.71,0,,
2020-01-03,6.71,6.71,6.71,6.71,0,,
2020-01-06,6.71,6.71,6.71,6.71,0,,
2020-01-07,6.71,6.71,6.71,6.71,0,,
2020-01-08,6.71,6.71,6.71,6.71,0,,
2020-01-09,6.71,6.71,6.71,6.71,0,,
2020-01-10,6.71,6.71,6.71,6.71,0,,
2020-01-13,6.71,6.71,6.71,6.71,0,,
2020-01-14,6.71,6.71,6.71,6.71,0,,
2020-01-15,6.71,6.71,6.71,6.71,0,,
2020-01-16,6.71,6.71,6.71,6.71,0,,
2020-01-17,6.71,6.71,6.71,6.71,0,,
2020-01-20,6.71,6.71,6.71,6.71,0,,
2020-01-21,6.71,6.71,6.71,6.71,0,,
2020-01-22,6.71,6.71,6.71,6.71,0,,
2020-01-30,6.71,6.71,6.71,6.71,0,,
2020-01-31,6.71,6.71,6.71,6.71,0,,
2020-02-03,6.71,6.71,6.71,6.71,0,,
2020-02-04,6.71,6.71,6.71,6.71,0,,
2020-02-05,6.71,6.71,6.71,6.71,0,6.71,6.71
2020-02-06,6.71,6.71,6.71,6.71,0,6.71,6.71
2020-02-07,6.71,6.71,6.71,6.71,0,6.71,6.71
2020-02-10,6.71,6.71,6.71,6.71,0,6.71,6.71
2020-02-11,6.71,6.71,6.71,6.71,0,6.71,6.71
2020-02-12,6.71,6.71,6.71,6.71,0,6.71,6.71
2020-02-13,6.71,6.71,6.71,6.71,0,6.71,6.71
2020-02-14,6.71,6.71,6.71,6.71,0,6.71,6.71
2020-02-17,6.71,6.71,6.71,6.71,0,6.71,6.71
2020-02-18,6.71,6.71,6.71,6.71,0,6.71,6.71
2020-02-19,6.71,6.71,6.71,6.71,0,6.71,6.71
2020-02-20,6.71,6.71,6.71,6.71,0,6.71,6.71
2020-02-21,6.71,6.71,6.71,6.71,0,6.71,6.71
2020-02-24,6.71,6.71,6.71,6.71,0,6.71,6.71
2020-02-25,6.07,6.07,6.07,6.07,200,6.678,6.649
2020-02-26,6.39,6.39,6.39,6.39,1100,6.662,6.6244
2020-02-27,6.39,6.39,6.39,6.39,0,6.646,6.6021
2020-02-28,6.39,6.39,6.39,6.39,0,6.63,6.5819
2020-03-02,6.71,6.71,6.71,6.71,400,6.63,6.5941
2020-03-03,6.71,6.71,6.71,6.71,0,6.63,6.6051
2020-03-04,6.71,6.71,6.71,6.71,0,6.63,6.6151
2020-03-05,6.71,6.71,6.71,6.71,0,6.63,6.6241
2020-03-06,6.71,6.71,6.71,6.71,0,6.63,6.6323
2020-03-09,6.71,6.71,6.71,6.71,0,6.63,6.6397
2020-03-10,6.71,6.71,6.71,6.71,100,6.63,6.6464
2020-03-11,6.71,6.71,6.71,6.71,0,6.63,6.6525
2020-03-12,6.71,6.71,6.71,6.71,0,6.63,6.6579
2020-03-13,6.64,6.64,6.64,6.64,300,6.6265,6.6562
2020-03-16,6.64,6.64,6.64,6.64,0,6.623,6.6547
2020-03-17,6.64,6.64,6.64,6.64,0,6.6195,6.6533
2020-03-18,6.64,6.64,6.64,6.64,0,6.616,6.652
2020-03-19,6.64,6.64,6.64,6.64,0,6.6125,6.6509
2020-03-20,6.64,6.64,6.64,6.64,0,6.609,6.6498
2020-03-23,6.64,6.64,6.64,6.64,0,6.6055,6.6489
2020-03-24,6.64,6.64,6.64,6.64,0,6.634,6.6481
2020-03-25,6.64,6.64,6.64,6.64,0,6.6465,6.6473
2020-03-26,6.64,6.64,6.64,6.64,0,6.659,6.6466
2020-03-27,6.64,6.64,6.64,6.64,0,6.6715,6.646
2020-03-30,6.64,6.64,6.64,6.64,0,6.668,6.6454
2020-03-31,6.64,6.64,6.64,6.64,0,6.6645,6.6449
2020-04-01,6.64,6.64,6.64,6.64,0,6.661,6.6444
2020-04-03,6.64,6.64,6.64,6.64,0,6.6575,6.644
2020-04-06,6.64,6.64,6.64,6.64,0,6.654,6.6436
2020-04-07,6.64,6.64,6.64,6.64,0,6.6505,6.6433
2020-04-08,6.64,6.64,6.64,6.64,0,6.647,6.643
2020-04-09,6.64,6.64,6.64,6.64,0,6.6435,6.6427
2020-04-10,6.64,6.64,6.64,6.64,0,6.64,6.6424
2020-04-13,6.64,6.64,6.64,6.64,0,6.64,6.6422
2020-04-14,6.64,6.64,6.64,6.64,0,6.64,6.642
2020-04-15,6.64,6.64,6.64,6.64,0,6.64,6.6418
2020-04-16,6.64,6.64,6.64,6.64,0,6.64,6.6416
2020-04-17,6.64,6.64,6.64,6.64,0,6.64,6.6415
2020-04-20,6.64,6.64,6.64,6.64,0,6.64,6.6413
2020-04-21,6.64,6.64,6.64,6.64,0,6.64,6.6412
2020-04-22,6.64,6.64,6.64,6.64,0,6.64,6.6411
2020-04-23,6.64,6.64,6.64,6.64,0,6.64,6.641
2020-04-24,6.64,6.64,6.64,6.64,0,6.64,6.6409
2020-04-27,6.64,6.64,6.64,6.64,0,6.64,6.6408
2020-04-28,6.64,6.64,6.64,6.64,0,6.64,6.6407
2020-04-29,6.64,6.64,6.64,6.64,0,6.64,6.6407
2020-05-04,6.64,6.64,6.64,6.64,0,6.64,6.6406
2020-05-05,6.64,6.64,6.64,6.64,0,6.64,6.6405
2020-05-06,6.64,6.64,6.64,6.64,0,6.64,6.6405
2020-05-07,6.64,6.64,6.64,6.64,0,6.64,6.6404
2020-05-08,6.64,6.64,6.64,6.64,0,6.64,6.6404
2020-05-11,6.64,6.64,6.64,6.64,0,6.64,6.6404
2020-05-12,6.64,6.64,6.64,6.64,0,6.64,6.6403
2020-05-13,6.64,6.64,6.64,6.64,0,6.64,6.6403
2020-05-14,6.64,6.64,6.64,6.64,0,6.64,6.6403
2020-05-15,6.64,6.64,6.64,6.64,0,6.64,6.6402
