time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,11.16,11.16,11.16,11.16,0,,
2020-01-03,10.77,10.77,10.77,10.77,100,,
2020-01-06,11.16,12.38,11.16,12.38,8800,,
2020-01-07,10.53,11.68,10.53,11.68,1100,,
2020-01-08,11.68,11.68,11.16,11.16,5000,,
2020-01-09,11.18,11.18,11.18,11.18,100,,
2020-01-10,11.18,11.18,11.18,11.18,0,,
2020-01-13,11.29,11.29,11.29,11.29,1000,,
2020-01-14,11.29,11.29,11.29,11.29,100,,
2020-01-15,10.82,10.82,10.82,10.82,100,,
2020-01-16,10.82,10.82,10.82,10.82,0,,
2020-01-17,11.68,11.68,11.68,11.68,100,,
2020-01-20,11.68,11.68,11.68,11.68,0,,
2020-01-21,10.17,10.17,10.17,10.17,100,,
2020-01-22,10.17,10.17,10.17,10.17,0,,
2020-01-30,10.17,10.17,10.17,10.17,0,,
2020-01-31,10.17,10.17,10.17,10.17,0,,
2020-02-03,10.17,10.17,10.17,10.17,0,,
2020-02-04,10.17,10.17,10.17,10.17,0,,
2020-02-05,11.65,11.65,11.65,11.65,100,10.988,10.8579
2020-02-06,11.65,11.65,11.65,11.65,0,11.0125,10.9334
2020-02-07,11.65,11.65,11.65,11.65,0,11.0565,11.0016
2020-02-10,11.65,11.65,11.65,11.65,0,11.02,11.0634
2020-02-11,11.68,11.68,11.68,11.68,1900,11.02,11.1221
2020-02-12,11.68,11.68,11.68,11.68,2100,11.046,11.1752
2020-02-13,11.68,11.68,11.68,11.68,900,11.071,11.2233
2020-02-14,11.68,11.68,11.68,11.68,800,11.096,11.2668
2020-02-17,11.68,11.68,11.68,11.68,1100,11.1155,11.3061
2020-02-18,9.94,9.94,9.94,9.94,100,11.048,11.176
2020-02-19,9.94,9.94,9.94,9.94,0,11.004,11.0583
2020-02-20,9.94,9.94,9.94,9.94,10,10.96,10.9518
2020-02-21,11.42,11.42,11.42,11.42,100,10.947,10.9964
2020-02-24,11.42,11.42,11.42,11.42,0,10.934,11.0367
2020-02-25,12.97,12.97,12.97,12.97,100,11.074,11.2209
2020-02-26,12.97,12.97,12.97,12.97,0,11.214,11.3874
2020-02-27,12.97,12.97,12.97,12.97,0,11.354,11.5382
2020-02-28,11.18,11.18,11.18,11.18,100,11.4045,11.5041
2020-03-02,11.18,11.18,11.18,11.18,0,11.455,11.4732
2020-03-03,11.21,11.21,11.21,11.21,200,11.507,11.4481
2020-03-04,11.21,11.21,11.21,11.21,0,11.485,11.4254
2020-03-05,11.21,11.21,11.21,11.21,0,11.463,11.4049
2020-03-06,11.68,12.69,11.68,12.69,8200,11.515,11.5273
2020-03-09,11.78,11.78,11.78,11.78,1010,11.5215,11.5514
2020-03-10,11.78,11.78,11.78,11.78,0,11.5265,11.5732
2020-03-11,11.94,11.94,11.94,11.94,200,11.5395,11.6081
2020-03-12,11.94,12.14,11.29,12.06,4400,11.5585,11.6511
2020-03-13,11.94,11.94,11.94,11.94,10200,11.5715,11.6786
2020-03-16,11.94,11.94,11.94,11.94,4000,11.5845,11.7035
2020-03-17,10.14,12.43,10.14,12.43,500,11.709,11.7727
2020-03-18,11.03,11.03,11.03,11.03,100,11.7635,11.702
2020-03-19,11.73,11.73,11.73,11.73,1000,11.853,11.7047
2020-03-20,11.75,11.94,11.73,11.94,3700,11.879,11.7271
2020-03-23,11.75,11.75,11.75,11.75,2500,11.8955,11.7293
2020-03-24,10.02,12.97,10.02,12.97,1100,11.8955,11.8474
2020-03-25,12.71,12.71,12.71,12.71,1000,11.8825,11.9296
2020-03-26,11.44,11.44,11.44,11.44,100,11.806,11.8829
2020-03-27,11.94,11.94,11.94,11.94,100,11.844,11.8884
2020-03-30,11.42,11.42,11.42,11.42,100,11.856,11.8438
2020-03-31,11.44,11.44,11.44,11.44,100,11.8675,11.8053
2020-04-01,11.49,11.49,11.47,11.47,500,11.8805,11.7734
2020-04-03,9.89,12.45,9.89,10.9,700,11.865,11.6902
2020-04-06,12.45,12.45,12.45,12.45,100,11.853,11.7626
2020-04-07,10.61,11.23,10.61,11.16,600,11.822,11.7052
2020-04-08,11.18,11.18,11.16,11.18,400,11.792,11.6552
2020-04-09,11.18,11.18,11.18,11.18,0,11.754,11.6099
2020-04-10,10.66,10.66,10.66,10.66,100,11.684,11.5194
2020-04-13,10.66,10.66,10.66,10.66,0,11.62,11.4376
2020-04-14,10.66,10.66,10.66,10.66,0,11.556,11.3635
2020-04-15,10.66,10.66,10.66,10.66,0,11.4675,11.2965
2020-04-16,10.66,10.66,10.66,10.66,0,11.449,11.2359
