time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,3.72,3.72,3.72,3.72,100,,
2020-01-03,3.77,3.97,3.77,3.97,400,,
2020-01-06,3.82,3.82,3.82,3.82,200,,
2020-01-07,3.82,3.82,3.82,3.82,0,,
2020-01-08,3.87,3.87,3.87,3.87,100,,
2020-01-09,3.87,3.87,3.87,3.87,3155,,
2020-01-10,3.87,3.87,3.87,3.87,0,,
2020-01-13,3.87,3.87,3.87,3.87,100,,
2020-01-14,3.87,3.87,3.87,3.87,0,,
2020-01-15,3.87,3.87,3.87,3.87,0,,
2020-01-16,3.92,3.92,3.92,3.92,2000,,
2020-01-17,3.92,3.92,3.92,3.92,0,,
2020-01-20,3.92,3.92,3.92,3.92,1500,,
2020-01-21,3.92,3.92,3.92,3.92,1000,,
2020-01-22,3.92,3.92,3.92,3.92,0,,
2020-01-30,3.92,3.92,3.92,3.92,0,,
2020-01-31,3.92,3.92,3.92,3.92,0,,
2020-02-03,3.92,3.92,3.92,3.92,0,,
2020-02-04,3.92,3.92,3.92,3.92,100,,
2020-02-05,3.92,3.92,3.92,3.92,0,3.8875,3.879
2020-02-06,3.92,3.92,3.92,3.92,0,3.8975,3.8829
2020-02-07,3.92,3.92,3.92,3.92,0,3.895,3.8864
2020-02-10,3.92,3.92,3.92,3.92,100,3.9,3.8896
2020-02-11,3.92,3.92,3.92,3.92,0,3.905,3.8925
2020-02-12,3.92,3.92,3.92,3.92,0,3.9075,3.8951
2020-02-13,3.92,3.92,3.92,3.92,100,3.91,3.8975
2020-02-14,3.92,3.92,3.92,3.92,0,3.9125,3.8996
2020-02-17,3.92,3.92,3.92,3.92,0,3.915,3.9016
2020-02-18,3.92,3.92,3.92,3.92,0,3.9175,3.9033
2020-02-19,4.07,4.07,4.07,4.07,145,3.9275,3.9192
2020-02-20,4.07,4.07,4.07,4.07,154,3.935,3.9336
2020-02-21,4.07,4.07,4.07,4.07,1000,3.9425,3.9466
2020-02-24,4.07,4.07,4.07,4.07,6100,3.95,3.9583
2020-02-25,4.07,4.07,4.07,4.07,0,3.9575,3.969
2020-02-26,4.07,4.07,4.07,4.07,0,3.965,3.9786
2020-02-27,4.07,4.07,4.07,4.07,0,3.9725,3.9873
2020-02-28,4.23,4.23,4.23,4.23,750,3.988,4.0104
2020-03-02,4.23,4.23,4.23,4.23,0,4.0035,4.0313
2020-03-03,4.23,4.23,4.23,4.23,0,4.019,4.0502
2020-03-04,4.48,4.48,4.48,4.48,1300,4.047,4.0912
2020-03-05,4.48,4.48,4.48,4.48,0,4.075,4.1282
2020-03-06,4.48,4.48,4.48,4.48,0,4.103,4.1617
2020-03-09,4.48,4.48,4.48,4.48,0,4.131,4.192
2020-03-10,4.48,4.48,4.48,4.48,0,4.159,4.2194
2020-03-11,4.48,4.48,4.48,4.48,0,4.187,4.2443
2020-03-12,4.48,4.48,4.48,4.48,500,4.215,4.2667
2020-03-13,4.58,4.58,4.58,4.58,100,4.248,4.2965
2020-03-16,4.58,4.58,4.58,4.58,400,4.281,4.3235
2020-03-17,4.58,4.58,4.58,4.58,0,4.314,4.348
2020-03-18,4.58,4.58,4.58,4.58,0,4.3395,4.3701
2020-03-19,4.58,4.58,4.58,4.58,0,4.365,4.3901
2020-03-20,4.58,4.58,4.58,4.58,100,4.3905,4.4081
2020-03-23,4.58,4.58,4.58,4.58,0,4.416,4.4245
2020-03-24,4.53,4.53,4.53,4.53,7000,4.439,4.4346
2020-03-25,4.41,4.41,4.41,4.41,2500,4.456,4.4322
2020-03-26,4.41,4.41,4.41,4.41,0,4.473,4.4301
2020-03-27,4.41,4.41,4.41,4.41,0,4.482,4.4282
2020-03-30,4.3,4.3,4.3,4.3,400,4.4855,4.416
2020-03-31,4.3,4.3,4.3,4.3,346,4.489,4.4049
2020-04-01,4.3,4.3,4.3,4.3,0,4.48,4.3949
2020-04-03,3.9,3.9,3.9,3.9,300,4.451,4.3478
2020-04-06,3.9,3.9,3.9,3.9,600,4.422,4.3052
2020-04-07,3.9,3.9,3.9,3.9,43,4.393,4.2666
2020-04-08,3.9,3.9,3.9,3.9,7,4.364,4.2317
2020-04-09,3.9,3.9,3.9,3.9,200,4.335,4.2001
2020-04-10,3.9,3.9,3.9,3.9,0,4.306,4.1715
2020-04-13,3.9,3.9,3.9,3.9,0,4.272,4.1456
2020-04-14,3.9,3.9,3.9,3.9,0,4.238,4.1222
2020-04-15,3.9,3.9,3.9,3.9,0,4.204,4.1011
2020-04-16,3.9,3.9,3.9,3.9,0,4.17,4.0819
2020-04-17,3.96,4.24,3.96,4.24,1100,4.153,4.097
2020-04-20,4.24,4.24,4.24,4.24,0,4.136,4.1106
2020-04-21,4.24,4.24,4.24,4.24,0,4.119,4.1229
2020-04-22,4.24,4.24,4.24,4.24,0,4.1045,4.1341
2020-04-23,4.24,4.24,4.24,4.24,0,4.096,4.1442
2020-04-24,4.24,4.24,4.24,4.24,10,4.0875,4.1533
2020-04-27,4.24,4.24,4.24,4.24,0,4.079,4.1615
2020-04-28,4.24,4.24,4.24,4.24,0,4.076,4.169
2020-04-29,4.24,4.24,4.24,4.24,0,4.073,4.1758
2020-05-04,4.24,4.24,4.24,4.24,0,4.07,4.1819
2020-05-05,4.24,4.24,4.24,4.24,0,4.087,4.1874
2020-05-06,4.24,4.24,4.24,4.24,0,4.104,4.1924
2020-05-07,4.24,4.24,4.24,4.24,0,4.121,4.197
2020-05-08,4.24,4.24,4.24,4.24,2017,4.138,4.2011
2020-05-11,4.24,4.24,4.24,4.24,0,4.155,4.2048
2020-05-12,4.24,4.24,4.24,4.24,50,4.172,4.2081
