time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,3.68,3.68,3.68,3.68,60,,
2020-01-03,3.68,3.68,3.68,3.68,60,,
2020-01-06,3.68,3.68,3.68,3.68,60,,
2020-01-07,3.68,3.68,3.68,3.68,0,,
2020-01-08,3.68,3.68,3.68,3.68,0,,
2020-01-09,3.68,3.68,3.68,3.68,0,,
2020-01-10,3.68,3.68,3.68,3.68,0,,
2020-01-13,3.68,3.68,3.68,3.68,0,,
2020-01-14,3.68,3.68,3.68,3.68,0,,
2020-01-15,3.68,3.68,3.68,3.68,0,,
2020-01-16,3.68,3.68,3.68,3.68,0,,
2020-01-17,3.68,3.68,3.68,3.68,0,,
2020-01-20,3.68,3.68,3.68,3.68,0,,
2020-01-21,3.48,3.48,3.48,3.48,20,,
2020-01-22,3.42,3.72,3.42,3.72,3090,,
2020-01-30,3.73,3.73,3.72,3.72,4730,,
2020-01-31,3.72,3.72,3.72,3.72,0,,
2020-02-03,3.72,3.72,3.72,3.72,0,,
2020-02-04,3.47,3.72,3.47,3.72,5010,,
2020-02-05,3.72,3.72,3.72,3.72,0,3.682,3.6876
2020-02-06,3.68,3.71,3.68,3.71,50,3.6835,3.6897
2020-02-07,3.73,3.73,3.73,3.73,10,3.686,3.6936
2020-02-10,3.47,3.58,3.47,3.58,190,3.681,3.6828
2020-02-11,3.33,3.58,3.33,3.58,950,3.676,3.673
2020-02-12,3.68,3.68,3.68,3.68,10,3.676,3.6736
2020-02-13,3.68,3.68,3.68,3.68,0,3.676,3.6742
2020-02-14,3.58,3.58,3.58,3.58,2100,3.671,3.6653
2020-02-17,3.58,3.58,3.58,3.58,0,3.666,3.6572
2020-02-18,3.33,3.58,3.33,3.58,3010,3.661,3.6498
2020-02-19,3.58,3.58,3.58,3.58,0,3.656,3.6432
2020-02-20,3.33,3.57,3.33,3.48,20110,3.646,3.6276
2020-02-21,3.48,3.48,3.48,3.48,0,3.636,3.6136
2020-02-24,3.65,3.65,3.65,3.65,10,3.6345,3.617
2020-02-25,3.4,3.58,3.4,3.4,230,3.6305,3.5964
2020-02-26,3.58,3.58,3.58,3.58,10,3.6235,3.5948
2020-02-27,3.58,3.58,3.58,3.58,0,3.6165,3.5934
2020-02-28,3.58,3.58,3.58,3.58,0,3.6095,3.5921
2020-03-02,3.58,3.58,3.58,3.58,0,3.6025,3.591
2020-03-03,3.43,3.43,3.33,3.33,1090,3.583,3.5661
2020-03-04,3.55,3.55,3.53,3.53,20,3.5735,3.5627
2020-03-05,3.29,3.5,3.29,3.5,220,3.563,3.5567
2020-03-06,3.44,3.44,3.44,3.44,10,3.5485,3.5456
2020-03-09,3.44,3.44,3.44,3.44,0,3.5415,3.5355
2020-03-10,3.2,3.48,3.2,3.48,170,3.5365,3.5302
2020-03-11,3.72,3.72,3.28,3.28,5010,3.5165,3.5064
2020-03-12,3.05,3.18,3.05,3.18,4250,3.4915,3.4753
2020-03-13,2.96,3.23,2.96,3.23,12270,3.474,3.452
2020-03-16,3.23,3.23,3.23,3.23,10,3.4565,3.4308
2020-03-17,3.45,3.45,3.01,3.23,40850,3.439,3.4117
2020-03-18,3.23,3.23,3.23,3.23,0,3.4215,3.3944
2020-03-19,3.01,3.01,3.01,3.01,20610,3.398,3.3578
2020-03-20,3.13,3.18,2.98,3.18,2470,3.383,3.3408
2020-03-23,3.13,3.13,2.96,3.13,39650,3.357,3.3208
2020-03-24,2.92,3.13,2.91,3.13,400,3.3435,3.3026
2020-03-25,3.13,3.34,3.13,3.34,50,3.3315,3.3062
2020-03-26,3.13,3.13,3.13,3.13,180,3.309,3.2894
2020-03-27,3.13,3.13,3.13,3.13,1000,3.2865,3.2742
2020-03-30,3.08,3.11,2.92,3.11,3200,3.263,3.2586
2020-03-31,2.98,3.11,2.98,3.11,130,3.252,3.2444
2020-04-01,3.22,3.22,3.22,3.22,40,3.2365,3.2421
2020-04-03,3.0,3.13,3.0,3.13,3560,3.218,3.2314
2020-04-06,3.18,3.18,3.13,3.13,80,3.2025,3.2218
2020-04-07,3.13,3.13,3.13,3.13,0,3.187,3.213
2020-04-08,3.13,3.13,3.13,3.13,0,3.1695,3.2051
2020-04-09,3.16,3.18,3.16,3.18,110,3.1645,3.2027
2020-04-10,3.13,3.13,3.13,3.13,1020,3.162,3.1958
2020-04-13,3.15,3.15,3.15,3.15,230,3.158,3.1914
2020-04-14,3.01,3.13,3.01,3.13,6600,3.153,3.1856
2020-04-15,3.13,3.13,2.91,3.13,2060,3.148,3.1803
2020-04-16,3.13,3.13,3.13,3.13,0,3.143,3.1755
2020-04-17,3.08,3.13,2.98,3.13,2000,3.149,3.1712
2020-04-20,2.98,3.13,2.98,3.13,16390,3.1465,3.1672
2020-04-21,2.93,3.23,2.93,3.23,20000,3.1515,3.1732
2020-04-22,3.13,3.13,3.13,3.13,2000,3.1515,3.1691
2020-04-23,3.13,3.13,3.13,3.13,0,3.141,3.1654
2020-04-24,3.13,3.13,3.13,3.13,0,3.141,3.162
2020-04-27,3.13,3.13,3.13,3.13,30,3.141,3.159
2020-04-28,3.13,3.13,3.13,3.13,0,3.142,3.1562
2020-04-29,3.13,3.13,3.13,3.13,1000,3.143,3.1537
2020-05-04,2.92,2.96,2.92,2.92,3340,3.128,3.1315
2020-05-05,2.92,2.92,2.92,2.92,0,3.1175,3.1113
2020-05-06,2.92,2.92,2.92,2.92,0,3.107,3.0931
2020-05-07,3.11,3.11,3.08,3.08,60,3.1045,3.0918
2020-05-08,3.08,3.08,3.08,3.08,510,3.102,3.0907
2020-05-11,3.08,3.08,3.08,3.08,0,3.097,3.0897
2020-05-12,3.08,3.08,3.08,3.08,0,3.0945,3.0888
2020-05-13,3.08,3.08,2.94,2.94,2810,3.084,3.0746
2020-05-14,3.14,3.14,2.94,2.94,1660,3.0745,3.0618
2020-05-15,3.13,3.14,3.13,3.14,80,3.075,3.0692
2020-05-18,2.98,2.98,2.97,2.98,1580,3.0675,3.0607
2020-05-19,2.98,2.98,2.98,2.98,3690,3.06,3.053
2020-05-20,2.98,2.98,2.98,2.98,1730,3.0525,3.0461
2020-05-21,3.14,3.19,3.13,3.13,90,3.0475,3.0541
2020-05-22,3.13,3.13,2.93,2.93,1710,3.0375,3.0423
2020-05-25,3.07,3.08,2.84,3.07,15040,3.0345,3.0449
2020-05-26,2.93,2.98,2.93,2.94,3750,3.025,3.0349
2020-05-27,3.08,3.08,3.08,3.08,10,3.0225,3.0392
2020-05-28,3.08,3.08,3.08,3.08,0,3.02,3.0431
2020-05-29,2.9,2.98,2.9,2.98,1700,3.0125,3.0371
2020-06-01,2.98,3.08,2.98,3.08,2680,3.0205,3.0412
2020-06-02,2.99,3.06,2.93,3.06,7870,3.0275,3.043
2020-06-03,3.06,3.06,2.98,2.98,1420,3.0305,3.037
2020-06-04,2.98,3.09,2.98,3.08,35550,3.0305,3.0411
2020-06-05,3.08,3.13,2.98,2.98,10320,3.0255,3.0353
2020-06-08,3.13,3.13,2.99,3.08,16940,3.0255,3.0395
2020-06-09,3.0,3.08,2.99,3.08,13660,3.0255,3.0434
2020-06-10,3.08,3.11,3.08,3.11,11660,3.034,3.0497
2020-06-11,3.03,3.08,3.03,3.08,520,3.041,3.0526
2020-06-12,3.0,3.06,2.97,2.97,1340,3.0325,3.0447
2020-06-15,2.96,3.0,2.93,3.0,2050,3.0335,3.0405
2020-06-16,2.91,2.91,2.91,2.91,160,3.03,3.028
2020-06-17,2.98,2.98,2.76,2.98,8120,3.03,3.0235
2020-06-18,2.78,3.0,2.77,2.98,3960,3.0225,3.0193
2020-06-19,2.83,2.93,2.83,2.93,7430,3.0225,3.0108
2020-06-22,2.78,2.93,2.76,2.78,23720,3.008,2.9888
2020-06-23,2.88,2.98,2.88,2.98,22460,3.01,2.988
2020-06-24,3.16,3.16,3.01,3.08,8750,3.01,2.9968
2020-06-25,2.88,2.98,2.88,2.98,11200,3.005,2.9952
2020-06-26,2.98,3.03,2.98,2.98,4880,3.005,2.9937
2020-06-29,2.83,2.98,2.83,2.98,3050,3.0,2.9924
2020-06-30,2.98,2.98,2.97,2.98,2010,2.996,2.9912
2020-07-01,2.98,2.98,2.98,2.98,0,2.996,2.9902
2020-07-02,2.98,2.98,2.98,2.98,2110,2.991,2.9892
2020-07-03,2.82,2.98,2.82,2.86,4330,2.985,2.9769
2020-07-06,2.98,3.06,2.98,3.03,32330,2.9825,2.9819
2020-07-07,3.03,3.03,3.03,3.03,140,2.98,2.9865
2020-07-08,2.98,3.06,2.85,3.03,4140,2.976,2.9907
2020-07-09,3.03,3.05,2.9,3.05,7090,2.9745,2.9963
2020-07-10,3.06,3.09,3.06,3.06,8510,2.979,3.0024
2020-07-13,2.94,3.03,2.94,3.03,20,2.9805,3.005
2020-07-14,2.89,3.17,2.89,3.17,1770,2.9935,3.0207
2020-07-15,3.03,3.03,3.03,3.03,1370,2.996,3.0216
2020-07-16,2.9,3.13,2.9,3.13,20,3.0035,3.0319
2020-07-17,3.13,3.13,3.13,3.13,0,3.0135,3.0413
2020-07-20,2.94,3.11,2.94,3.11,4010,3.03,3.0478
2020-07-21,3.2,3.2,3.13,3.13,5510,3.0375,3.0556
2020-07-22,2.98,3.13,2.98,3.13,150,3.04,3.0627
2020-07-23,3.08,3.08,3.08,3.08,20,3.045,3.0644
2020-07-24,2.9,2.9,2.9,2.9,4000,3.041,3.0487
2020-07-27,2.88,3.1,2.7,3.08,18770,3.046,3.0517
2020-07-28,3.06,3.06,2.98,2.98,7430,3.046,3.0449
2020-07-29,2.98,2.98,2.98,2.98,0,3.046,3.0387
2020-07-30,2.96,2.96,2.96,2.96,100,3.045,3.0312
2020-07-31,2.95,2.95,2.79,2.79,2110,3.0415,3.0082
2020-08-03,2.98,2.98,2.98,2.98,10,3.039,3.0055
2020-08-04,3.08,3.08,3.08,3.08,30,3.0415,3.0126
2020-08-05,2.88,2.89,2.88,2.89,3540,3.0345,3.0009
2020-08-06,2.89,2.89,2.89,2.89,0,3.0265,2.9904
2020-08-07,2.88,3.03,2.88,3.03,110,3.025,2.9942
2020-08-10,3.03,3.03,3.03,3.03,0,3.025,2.9976
2020-08-11,3.03,3.03,3.03,3.03,10,3.018,3.0007
2020-08-12,2.88,3.03,2.88,3.03,1050,3.018,3.0035
2020-08-13,2.98,3.03,2.98,2.98,150,3.0105,3.0012
2020-08-14,2.98,2.98,2.98,2.98,0,3.003,2.9992
2020-08-17,2.83,3.01,2.83,3.01,730,2.998,3.0002
2020-08-18,2.93,2.93,2.89,2.89,1270,2.986,2.9897
2020-08-19,2.89,2.89,2.89,2.89,5950,2.974,2.9802
2020-08-20,2.83,2.89,2.83,2.89,1680,2.9645,2.9716
2020-08-21,2.97,2.97,2.86,2.86,50,2.9625,2.961
2020-08-24,2.86,2.98,2.86,2.98,12990,2.9575,2.9628
2020-08-25,3.06,3.06,2.89,3.03,2070,2.96,2.9692
2020-08-26,2.93,2.98,2.86,2.86,1100,2.954,2.9588
2020-08-27,3.06,3.06,3.05,3.06,14780,2.959,2.9684
2020-08-28,3.27,3.27,3.27,3.27,37660,2.983,2.9972
2020-08-31,3.5,3.5,3.5,3.5,13130,3.009,3.0451
2020-09-01,3.72,3.73,3.52,3.72,8170,3.041,3.1093
2020-09-03,3.46,3.68,3.46,3.48,23940,3.0705,3.1446
2020-09-04,3.72,3.72,3.23,3.48,4280,3.1,3.1766
2020-09-07,3.48,3.63,3.48,3.48,7030,3.1225,3.2055
2020-09-08,3.58,3.58,3.23,3.48,19630,3.145,3.2316
2020-09-09,3.25,3.25,3.25,3.25,20,3.156,3.2334
2020-09-10,3.47,3.48,3.28,3.28,5230,3.1685,3.2378
2020-09-11,3.48,3.48,3.29,3.48,1220,3.1935,3.2609
