time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,55.26,55.26,55.26,55.26,0,,
2020-01-03,55.26,55.26,55.26,55.26,0,,
2020-01-06,55.26,55.26,55.26,55.26,0,,
2020-01-07,55.26,55.26,55.26,55.26,0,,
2020-01-08,55.26,55.26,55.26,55.26,0,,
2020-01-09,55.26,55.26,55.26,55.26,0,,
2020-01-10,50.15,50.15,50.15,50.15,100,,
2020-01-13,50.15,50.15,50.15,50.15,0,,
2020-01-14,51.07,51.07,51.07,51.07,200,,
2020-01-15,51.07,51.07,51.07,51.07,0,,
2020-01-16,51.07,51.07,51.07,51.07,0,,
2020-01-17,50.24,50.24,50.24,50.24,401,,
2020-01-20,50.24,50.24,50.24,50.24,200,,
2020-01-21,50.24,50.24,50.24,50.24,0,,
2020-01-22,50.24,50.24,50.24,50.24,200,,
2020-01-30,56.93,56.93,56.93,56.93,100,,
2020-01-31,56.93,56.93,56.93,56.93,0,,
2020-02-03,56.93,56.93,56.93,56.93,0,,
2020-02-04,48.39,48.39,48.39,48.39,100,,
2020-02-05,48.39,48.39,48.39,48.39,0,52.68,52.6438
2020-02-06,48.39,48.39,48.39,48.39,26,52.3365,52.2387
2020-02-07,48.39,48.39,48.39,48.39,0,51.993,51.8721
2020-02-10,48.39,48.39,48.39,48.39,0,51.6495,51.5405
2020-02-11,48.39,48.39,48.39,48.39,0,51.306,51.2405
2020-02-12,48.39,48.39,48.39,48.39,0,50.9625,50.969
2020-02-13,41.28,41.28,41.28,41.28,100,50.2635,50.0462
2020-02-14,41.28,41.28,41.28,41.28,1,49.82,49.2114
2020-02-17,41.28,41.28,41.28,41.28,0,49.3765,48.456
2020-02-18,41.28,41.28,41.28,41.28,0,48.887,47.7726
2020-02-19,47.39,47.39,47.39,47.39,100,48.703,47.7361
2020-02-20,47.39,47.39,47.39,47.39,1,48.519,47.7032
2020-02-21,47.39,47.39,47.39,47.39,0,48.3765,47.6733
2020-02-24,48.23,48.23,48.23,48.23,100,48.276,47.7264
2020-02-25,48.23,48.23,48.23,48.23,0,48.1755,47.7743
2020-02-26,48.23,48.23,48.23,48.23,0,48.075,47.8177
2020-02-27,48.23,48.23,48.23,48.23,0,47.64,47.857
2020-02-28,48.23,48.23,48.23,48.23,0,47.205,47.8925
2020-03-02,48.23,48.23,48.23,48.23,0,46.77,47.9246
2020-03-03,48.23,48.23,48.23,48.23,0,46.762,47.9537
2020-03-04,48.23,48.23,48.23,48.23,0,46.754,47.98
2020-03-05,48.23,48.23,48.23,48.23,0,46.746,48.0038
2020-03-06,51.91,51.91,51.91,51.91,100,46.922,48.3759
2020-03-09,51.91,51.91,51.91,51.91,0,47.098,48.7124
2020-03-10,53.58,53.58,53.58,53.58,100,47.3575,49.176
2020-03-11,53.58,53.58,53.58,53.58,0,47.617,49.5954
2020-03-12,53.58,53.58,53.58,53.58,0,48.232,49.9749
2020-03-13,53.58,53.58,53.58,53.58,0,48.847,50.3183
2020-03-16,53.58,53.58,53.58,53.58,0,49.462,50.6289
2020-03-17,53.58,53.58,53.58,53.58,0,50.077,50.91
2020-03-18,53.58,53.58,53.58,53.58,0,50.3865,51.1643
2020-03-19,53.58,53.58,53.58,53.58,0,50.696,51.3943
2020-03-20,53.58,53.58,53.58,53.58,0,51.0055,51.6025
2020-03-23,53.58,53.58,53.58,53.58,0,51.273,51.7908
2020-03-24,53.58,53.58,53.58,53.58,0,51.5405,51.9612
2020-03-25,53.58,53.58,53.58,53.58,0,51.808,52.1154
2020-03-26,53.58,53.58,53.58,53.58,0,52.0755,52.2549
2020-03-27,53.58,53.58,53.58,53.58,0,52.343,52.3811
2020-03-30,50.24,50.24,50.24,50.24,800,52.4435,52.1772
2020-03-31,50.24,50.24,50.24,50.24,0,52.544,51.9927
2020-04-01,50.24,50.24,50.24,50.24,0,52.6445,51.8258
2020-04-03,50.24,50.24,50.24,50.24,0,52.745,51.6747
2020-04-06,50.24,50.24,50.24,50.24,1000,52.6615,51.5381
2020-04-07,50.24,50.24,50.24,50.24,0,52.578,51.4145
2020-04-08,50.24,50.24,50.24,50.24,0,52.411,51.3026
2020-04-09,51.07,51.07,51.07,51.07,100,52.2855,51.2805
2020-04-10,51.07,51.07,51.07,51.07,0,52.16,51.2604
2020-04-13,51.07,51.07,51.07,51.07,0,52.0345,51.2423
2020-04-14,51.07,51.07,51.07,51.07,0,51.909,51.2259
2020-04-15,51.07,51.07,51.07,51.07,0,51.7835,51.211
2020-04-16,51.07,51.07,51.07,51.07,0,51.658,51.1976
2020-04-17,51.07,51.07,51.07,51.07,0,51.5325,51.1854
2020-04-20,51.07,51.07,51.07,51.07,0,51.407,51.1744
2020-04-21,51.07,51.07,51.07,51.07,0,51.2815,51.1645
2020-04-22,51.07,51.07,51.07,51.07,0,51.156,51.1555
2020-04-23,43.54,43.54,43.54,43.54,100,50.654,50.4302
2020-04-24,43.54,43.54,43.54,43.54,0,50.152,49.774
2020-04-27,43.54,43.54,43.54,43.54,0,49.65,49.1803
2020-04-28,50.07,50.07,50.07,50.07,100,49.6415,49.265
2020-04-29,48.56,48.56,48.56,48.56,100,49.5575,49.1979
2020-05-04,48.56,48.56,48.56,48.56,0,49.4735,49.1371
2020-05-05,47.31,47.31,47.31,47.31,400,49.327,48.9631
2020-05-06,47.39,47.72,47.22,47.22,1000,49.176,48.7971
2020-05-07,46.55,46.55,45.21,45.21,1200,48.9245,48.4555
2020-05-08,43.96,43.96,43.96,43.96,300,48.6105,48.0273
2020-05-11,46.05,46.05,46.05,46.05,300,48.3595,47.839
2020-05-12,46.05,46.05,46.05,46.05,0,48.1085,47.6686
2020-05-13,46.05,46.05,46.05,46.05,0,47.8575,47.5145
2020-05-14,48.14,48.14,46.47,46.47,400,47.6275,47.415
2020-05-15,47.22,46.47,46.47,46.47,0,47.3975,47.325
2020-05-18,48.56,48.56,47.64,47.64,200,47.226,47.355
2020-05-19,48.14,47.64,47.64,47.64,0,47.0545,47.3821
2020-05-20,48.14,47.64,47.64,47.64,0,46.883,47.4067
2020-05-21,48.14,47.64,47.64,47.64,0,46.7115,47.4289
2020-05-22,48.14,47.64,47.64,47.64,0,46.54,47.449
2020-05-25,46.89,46.89,46.47,46.47,700,46.6865,47.3558
2020-05-26,45.21,45.21,45.21,45.21,110,46.77,47.1514
2020-05-27,45.21,45.21,45.21,45.21,0,46.8535,46.9665
2020-05-28,45.21,45.21,45.21,45.21,0,46.6105,46.7992
2020-05-29,45.21,45.21,45.21,45.21,0,46.443,46.6479
2020-06-01,46.47,46.47,46.47,46.47,100,46.3385,46.6309
2020-06-02,47.72,48.48,47.72,48.48,200,46.397,46.807
2020-06-03,48.14,48.14,48.14,48.48,5,46.46,46.9664
