time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,21.02,22.25,21.02,22.25,4850,,
2020-01-03,21.02,22.25,21.02,22.25,4850,,
2020-01-06,21.02,22.25,21.02,22.25,4850,,
2020-01-07,22.25,22.25,22.25,22.25,0,,
2020-01-08,22.83,22.83,22.83,22.83,10,,
2020-01-09,21.26,22.86,21.26,22.86,6850,,
2020-01-10,22.86,22.86,22.86,22.86,0,,
2020-01-13,21.8,22.3,21.8,22.3,70,,
2020-01-14,21.8,22.27,21.8,22.27,1010,,
2020-01-15,22.81,22.81,21.26,22.75,6520,,
2020-01-16,22.75,22.75,22.75,22.75,0,,
2020-01-17,21.26,22.75,21.26,22.75,1010,,
2020-01-20,22.75,22.75,22.75,22.75,0,,
2020-01-21,22.03,22.06,21.29,21.64,15380,,
2020-01-22,21.8,22.27,21.8,22.27,3880,,
2020-01-30,22.19,22.33,21.56,22.27,17270,,
2020-01-31,21.8,21.8,21.8,21.8,10,,
2020-02-03,22.06,22.06,21.53,21.8,17020,,
2020-02-04,21.29,22.11,21.26,22.11,5040,,
2020-02-05,22.11,22.11,22.11,22.11,0,22.356,22.2547
2020-02-06,22.33,22.33,22.33,22.33,13540,22.36,22.2619
2020-02-07,20.79,22.06,20.79,21.85,30,22.34,22.2227
2020-02-10,20.52,22.25,20.52,22.06,3030,22.3305,22.2072
2020-02-11,21.8,22.49,21.8,22.49,34140,22.3425,22.2341
2020-02-12,21.9,23.34,21.9,22.06,4630,22.304,22.2175
2020-02-13,22.06,22.06,22.06,22.06,0,22.264,22.2025
2020-02-14,22.66,22.88,22.66,22.88,2500,22.265,22.267
2020-02-17,21.41,22.88,21.41,22.44,3650,22.272,22.2835
2020-02-18,21.9,22.88,21.9,22.88,9030,22.3025,22.3403
2020-02-19,21.84,21.84,21.84,22.66,300,22.298,22.3708
2020-02-20,22.66,22.66,22.66,22.66,5000,22.2935,22.3983
2020-02-21,22.33,22.33,22.06,22.06,10000,22.259,22.3661
2020-02-24,22.06,22.06,22.06,22.06,0,22.2245,22.3369
2020-02-25,22.85,22.88,22.61,22.88,11300,22.2865,22.3887
2020-02-26,21.6,23.1,21.6,21.84,4610,22.265,22.3364
2020-02-27,23.15,23.15,20.48,23.15,32480,22.309,22.4139
2020-02-28,23.31,23.31,23.31,23.31,5000,22.3845,22.4992
2020-03-02,22.93,23.42,21.93,22.88,50800,22.4385,22.5355
2020-03-03,23.26,23.31,22.66,22.66,14120,22.466,22.5474
2020-03-04,22.82,23.91,22.82,22.88,17350,22.5045,22.579
2020-03-05,23.91,23.91,22.33,22.88,4710,22.532,22.6077
2020-03-06,22.88,22.88,22.88,22.88,110,22.5835,22.6336
2020-03-09,21.57,22.93,21.57,22.93,23910,22.627,22.6619
2020-03-10,22.93,23.04,22.82,22.88,15150,22.6465,22.6826
2020-03-11,22.88,23.15,22.88,23.15,10130,22.701,22.7271
2020-03-12,23.1,23.1,22.77,22.77,210,22.7365,22.7312
2020-03-13,22.58,22.58,21.98,21.98,30,22.6915,22.6597
2020-03-16,21.98,21.98,21.98,21.98,2460,22.6685,22.5949
2020-03-17,21.98,22.33,21.98,22.33,290,22.641,22.5697
2020-03-18,22.33,22.72,22.33,22.72,50,22.644,22.584
2020-03-19,21.95,22.55,21.24,22.55,190,22.6385,22.5808
2020-03-20,22.55,22.55,21.79,22.5,5050,22.6605,22.5731
2020-03-23,22.5,22.5,21.3,21.79,5550,22.647,22.4985
2020-03-24,21.79,22.33,21.52,21.79,5840,22.5925,22.431
2020-03-25,21.24,22.06,21.24,21.33,4030,22.567,22.3262
2020-03-26,21.38,22.06,20.7,20.7,3640,22.4445,22.1713
2020-03-27,20.7,21.76,20.7,20.73,2190,22.3155,22.034
2020-03-30,21.71,21.71,20.7,20.92,16370,22.2175,21.9279
2020-03-31,20.21,21.73,20.18,21.08,6310,22.1385,21.8472
2020-04-01,21.08,21.24,21.08,21.24,15020,22.0565,21.7894
2020-04-03,21.79,21.79,20.18,21.24,8320,21.9745,21.737
2020-04-06,21.24,21.46,21.24,21.24,1290,21.8925,21.6897
2020-04-07,20.97,21.35,20.97,20.97,40,21.7945,21.6212
2020-04-08,21.76,21.76,20.18,21.08,1140,21.7045,21.5696
2020-04-09,21.79,21.79,20.43,20.43,50,21.5685,21.4611
2020-04-10,20.43,21.14,20.43,21.14,30,21.487,21.4305
2020-04-13,21.22,21.22,20.26,20.26,4020,21.401,21.319
2020-04-14,20.97,21.52,20.97,21.52,19360,21.378,21.3382
2020-04-15,21.52,21.52,20.7,20.7,610,21.2965,21.2774
2020-04-16,21.79,21.79,21.35,21.35,1040,21.228,21.2843
2020-04-17,21.79,21.79,20.73,21.46,6170,21.1735,21.301
2020-04-20,21.41,21.41,21.3,21.41,2170,21.119,21.3114
2020-04-21,21.35,21.35,20.78,20.97,1050,21.078,21.2789
2020-04-22,21.33,21.33,21.33,21.33,900,21.055,21.2838
2020-04-23,21.33,21.33,20.21,20.21,20,20.999,21.1815
2020-04-24,21.49,21.49,21.19,21.19,560,21.0235,21.1823
2020-04-27,20.7,21.22,20.7,20.81,3860,21.0275,21.1469
2020-04-28,21.65,21.65,20.7,20.7,10220,21.0165,21.1043
2020-04-29,21.46,21.46,21.46,21.46,10,21.0355,21.1382
2020-05-04,20.7,20.7,20.7,20.7,20,21.0085,21.0964
2020-05-05,21.73,21.73,19.28,19.28,50,20.9105,20.9234
2020-05-06,20.62,20.62,20.62,20.62,30,20.8795,20.8945
2020-05-07,21.46,21.46,20.45,20.45,20,20.8535,20.8522
2020-05-08,20.45,20.45,20.45,20.45,0,20.822,20.8139
