time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,6.5,7.4,6.5,7.4,48100,,
2020-01-03,8.3,8.3,7.8,8.3,46100,,
2020-01-06,8.0,9.3,7.5,7.5,58700,,
2020-01-07,7.6,8.2,7.5,7.5,11200,,
2020-01-08,7.0,7.0,6.4,6.4,29400,,
2020-01-09,6.4,7.0,6.4,7.0,5400,,
2020-01-10,7.0,7.0,6.4,6.4,1600,,
2020-01-13,5.7,7.3,5.7,5.7,16000,,
2020-01-14,6.7,6.7,6.0,6.0,1400,,
2020-01-15,6.1,6.1,6.0,6.0,500,,
2020-01-16,6.0,6.4,6.0,6.4,1800,,
2020-01-17,6.2,6.4,6.2,6.2,17700,,
2020-01-20,6.2,6.2,6.0,6.0,1400,,
2020-01-21,6.6,6.6,6.6,6.6,3200,,
2020-01-22,6.5,6.5,6.4,6.4,300,,
2020-01-30,6.4,6.4,6.4,6.4,4800,,
2020-01-31,6.3,6.3,5.9,5.9,3800,,
2020-02-03,5.8,6.0,5.6,6.0,8600,,
2020-02-04,5.8,5.8,5.6,5.8,2000,,
2020-02-05,5.8,6.2,5.7,6.2,2200,6.505,6.4326
2020-02-06,5.8,5.9,5.8,5.9,3100,6.43,6.3818
2020-02-07,5.8,6.0,5.8,6.0,1600,6.315,6.3455
2020-02-10,6.0,6.0,6.0,6.0,100,6.24,6.3126
2020-02-11,6.0,6.0,6.0,6.0,0,6.165,6.2828
2020-02-12,5.8,6.0,5.8,6.0,6900,6.145,6.2559
2020-02-13,6.0,6.0,6.0,6.0,1800,6.095,6.2315
2020-02-14,6.0,6.0,6.0,6.0,0,6.075,6.2095
2020-02-17,5.9,5.9,5.9,5.9,2800,6.085,6.18
2020-02-18,5.9,5.9,5.9,5.9,0,6.08,6.1533
2020-02-19,5.8,5.8,5.8,5.8,5000,6.07,6.1197
2020-02-20,5.8,6.0,5.8,6.0,600,6.05,6.1083
2020-02-21,5.9,6.0,5.9,5.9,800,6.035,6.0884
2020-02-24,5.9,5.9,5.9,5.9,1500,6.03,6.0705
2020-02-25,5.7,5.7,5.7,5.7,1500,5.985,6.0352
2020-02-26,6.0,6.0,6.0,6.0,100,5.965,6.0319
2020-02-27,6.0,6.2,6.0,6.2,5000,5.955,6.0479
2020-02-28,6.0,6.2,6.2,6.2,0,5.97,6.0624
2020-03-02,6.5,6.5,6.5,6.5,2000,5.995,6.104
2020-03-03,6.0,6.0,5.7,6.0,13000,6.005,6.0941
2020-03-04,5.9,5.9,5.9,5.9,1000,5.99,6.0756
2020-03-05,5.9,5.9,5.9,5.9,0,5.99,6.0589
2020-03-06,5.9,6.0,5.6,5.6,3700,5.97,6.0152
2020-03-09,5.8,5.8,5.2,5.2,2500,5.93,5.9376
2020-03-10,4.7,5.2,4.7,5.2,13000,5.89,5.8673
2020-03-11,5.6,5.6,4.8,4.9,9700,5.835,5.7752
2020-03-12,5.0,5.0,4.5,4.5,21600,5.76,5.6537
2020-03-13,4.5,4.6,4.1,4.6,4000,5.69,5.5534
2020-03-16,4.8,4.8,4.6,4.6,3500,5.625,5.4626
2020-03-17,4.5,5.5,4.5,5.2,5200,5.59,5.4376
2020-03-18,4.5,5.0,4.3,5.0,48200,5.55,5.3959
2020-03-19,4.9,5.0,4.8,5.0,19700,5.5,5.3582
2020-03-20,5.0,5.0,4.9,4.9,15500,5.45,5.3146
2020-03-23,4.5,4.5,4.5,4.5,2000,5.38,5.237
