time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,62.26,63.0,62.26,62.56,238600,,
2020-01-03,62.56,62.93,62.34,62.78,394470,,
2020-01-06,62.34,62.63,61.01,61.45,1025270,,
2020-01-07,61.16,62.49,61.16,61.75,590360,,
2020-01-08,61.16,61.53,59.69,60.79,553690,,
2020-01-09,61.45,61.68,61.09,61.38,421250,,
2020-01-10,61.38,62.56,60.94,62.26,699780,,
2020-01-13,62.49,63.96,62.26,63.59,882160,,
2020-01-14,63.52,63.96,63.44,63.59,361600,,
2020-01-15,63.74,63.74,63.22,63.59,420650,,
2020-01-16,63.66,63.66,63.3,63.44,441860,,
2020-01-17,63.52,64.77,63.37,63.37,552190,,
2020-01-20,63.37,63.66,63.15,63.37,711830,,
2020-01-21,63.37,64.48,63.37,64.48,653680,,
2020-01-22,64.4,65.95,64.33,65.88,673070,,
2020-01-30,64.25,64.7,63.22,64.4,1414000,,
2020-01-31,64.48,65.21,64.18,64.48,1284370,,
2020-02-03,61.31,63.3,60.42,62.78,755310,,
2020-02-04,62.78,63.74,62.63,63.15,829790,,
2020-02-05,63.96,63.96,62.93,63.37,2410370,63.123,63.3508
2020-02-06,63.59,64.11,63.37,63.96,484420,63.193,63.4088
2020-02-07,64.03,64.7,63.96,64.11,587610,63.2595,63.4756
2020-02-10,63.44,63.89,63.22,63.52,373600,63.363,63.4798
2020-02-11,63.37,63.66,63.0,63.52,602090,63.4515,63.4836
2020-02-12,63.89,63.89,63.52,63.74,395320,63.599,63.508
2020-02-13,63.52,63.66,63.0,63.37,421050,63.6985,63.4949
2020-02-14,63.0,65.29,63.0,64.55,481520,63.813,63.5954
2020-02-17,64.84,64.84,63.74,63.89,164600,63.828,63.6234
2020-02-18,63.81,64.11,63.08,63.37,323870,63.817,63.5993
2020-02-19,63.08,63.74,62.78,63.37,484850,63.806,63.5775
2020-02-20,63.74,64.33,63.3,64.03,271380,63.8355,63.6206
2020-02-21,63.74,64.03,63.37,63.44,184170,63.839,63.6034
2020-02-24,61.38,62.71,61.38,61.9,619380,63.7655,63.4411
2020-02-25,60.64,61.75,59.69,61.23,410300,63.603,63.2306
2020-02-26,61.16,61.16,59.17,59.61,651880,63.2895,62.8857
2020-02-27,58.88,59.69,58.21,59.54,1280250,63.0465,62.5671
2020-02-28,57.84,59.24,57.84,59.24,860760,62.7845,62.2502
2020-03-02,58.29,59.39,58.21,59.32,447980,62.6115,61.9712
2020-03-03,59.32,59.76,59.1,59.32,742520,62.42,61.7187
2020-03-04,58.29,59.32,58.14,59.32,901070,62.2175,61.4902
2020-03-05,59.02,60.05,59.02,59.69,361110,62.004,61.3188
2020-03-06,58.95,59.61,58.21,59.61,339740,61.779,61.156
2020-03-09,57.92,57.92,55.49,55.49,973190,61.3775,60.6164
2020-03-10,52.32,56.37,52.32,56.37,1050110,61.02,60.212
