time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,16.01,16.15,16.15,16.15,0,,
2020-01-03,16.01,16.15,16.15,16.15,0,,
2020-01-06,16.01,16.15,16.15,16.15,0,,
2020-01-07,16.01,16.15,16.15,16.15,0,,
2020-01-08,16.22,16.22,14.11,14.11,3000,,
2020-01-09,15.38,15.38,15.38,15.38,1000,,
2020-01-10,15.38,15.38,15.38,15.38,0,,
2020-01-13,15.38,15.38,15.38,15.38,0,,
2020-01-14,15.38,15.38,15.38,15.38,0,,
2020-01-15,14.11,14.11,14.11,14.11,1000,,
2020-01-16,15.17,15.24,15.17,15.24,1100,,
2020-02-03,15.31,15.38,13.75,14.46,54700,,
2020-02-04,13.4,13.4,13.05,13.05,6000,,
2020-02-05,13.05,13.05,11.78,12.34,6000,,
2020-02-06,13.19,13.19,13.19,13.19,100,,
2020-02-07,14.04,14.04,11.99,13.83,4500,,
2020-02-10,12.49,13.61,12.49,13.61,2400,,
2020-02-11,14.04,14.04,14.04,14.04,100,,
2020-02-12,12.7,12.7,12.7,12.7,1000,,
2020-02-13,13.61,13.61,13.61,13.61,100,14.5205,14.2959
2020-02-14,13.61,13.61,13.61,13.61,0,14.3935,14.2306
2020-02-17,12.34,12.98,12.34,12.98,300,14.235,14.1115
2020-02-18,13.33,13.33,12.34,12.7,5800,14.0625,13.9771
2020-02-19,13.33,13.33,12.34,13.26,1400,13.918,13.9088
2020-02-20,14.39,14.39,14.39,14.39,200,13.932,13.9546
2020-02-21,12.98,12.98,12.98,12.98,500,13.812,13.8618
2020-02-24,12.7,12.7,12.7,12.7,3400,13.678,13.7511
2020-02-25,12.13,12.13,12.13,12.13,810,13.5155,13.5968
2020-02-26,12.56,12.63,12.56,12.63,408,13.378,13.5047
2020-02-27,13.19,13.19,13.19,13.19,100,13.332,13.4747
2020-02-28,13.19,13.19,13.19,13.19,10,13.2295,13.4476
2020-03-02,13.05,13.05,13.05,13.05,2500,13.159,13.4097
2020-03-03,13.05,13.05,12.06,12.98,1300,13.1555,13.3688
2020-03-04,12.98,12.98,12.98,12.98,0,13.1875,13.3318
2020-03-05,12.06,13.97,12.06,13.05,500,13.1805,13.3049
2020-03-06,13.05,13.05,13.05,13.05,0,13.1415,13.2807
2020-03-09,12.06,12.06,11.78,11.78,1500,13.05,13.1377
2020-03-10,10.72,12.27,10.65,11.78,4218,12.937,13.0084
2020-03-11,11.78,11.78,11.78,11.78,300,12.891,12.8914
2020-03-12,12.77,12.77,10.79,11.78,6700,12.7995,12.7856
2020-03-13,12.27,12.27,11.78,12.06,1101,12.722,12.7165
2020-03-16,12.06,12.2,12.06,12.2,500,12.683,12.6673
2020-03-17,12.2,12.2,12.2,12.2,0,12.658,12.6228
2020-03-18,12.13,12.2,12.13,12.2,1300,12.605,12.5825
2020-03-19,13.33,13.33,13.33,13.33,100,12.552,12.6537
2020-03-20,12.06,13.33,12.06,13.26,1200,12.566,12.7115
2020-03-23,11.99,12.84,11.99,12.84,200,12.573,12.7237
2020-03-24,12.84,12.84,12.84,12.84,0,12.6085,12.7348
2020-03-25,11.64,12.49,11.64,12.49,1100,12.6015,12.7115
2020-03-26,12.77,12.77,11.29,11.64,1600,12.524,12.6094
2020-03-27,12.27,12.27,11.29,11.99,1400,12.464,12.5504
2020-03-30,10.79,11.57,10.79,10.79,1300,12.351,12.3828
2020-03-31,11.15,11.71,9.8,11.71,4500,12.2875,12.3187
2020-04-01,10.58,10.58,10.58,10.58,2100,12.1675,12.1531
2020-04-03,11.5,11.5,11.5,11.5,200,12.09,12.0909
2020-04-06,11.5,11.5,11.5,11.5,0,12.0125,12.0346
2020-04-07,12.13,12.13,11.43,11.64,1500,12.0055,11.997
2020-04-08,10.51,10.51,10.51,10.51,3800,11.942,11.8554
2020-04-09,11.36,11.36,10.51,10.51,2100,11.8785,11.7273
2020-04-10,10.51,10.51,10.23,10.23,2300,11.801,11.5847
2020-04-13,11.07,11.07,10.58,10.58,2400,11.727,11.489
2020-04-14,11.36,11.36,10.3,10.37,1110,11.6355,11.3824
2020-04-15,9.88,11.15,9.88,11.15,200,11.583,11.3603
2020-04-16,11.22,11.22,10.23,10.23,600,11.4845,11.2526
2020-04-17,10.3,11.15,10.3,10.44,400,11.34,11.1753
2020-04-20,10.51,10.51,10.51,10.51,1100,11.2025,11.1119
2020-04-21,10.44,10.44,10.23,10.23,1100,11.072,11.0279
2020-04-22,11.15,11.22,10.51,11.22,4000,10.991,11.0462
2020-04-23,10.86,11.99,10.86,11.99,200,10.966,11.1361
2020-04-24,11.85,12.2,11.85,12.2,1200,10.994,11.2374
2020-04-27,11.64,12.56,11.64,12.56,200,11.0225,11.3634
2020-04-28,12.56,12.56,12.56,12.56,0,11.111,11.4773
2020-04-29,13.33,13.33,13.33,13.33,100,11.192,11.6538
2020-05-04,12.13,12.13,12.13,12.13,1010,11.2695,11.6991
2020-05-05,12.77,12.77,12.77,12.77,100,11.333,11.8011
2020-05-06,12.77,12.77,12.77,12.77,0,11.3965,11.8934
2020-05-07,11.99,11.99,11.99,11.99,110,11.414,11.9026
2020-05-08,11.29,12.27,11.29,12.2,2800,11.4985,11.9309
2020-05-11,12.91,12.91,12.91,12.91,100,11.6185,12.0242
2020-05-12,11.99,12.13,11.99,11.99,1300,11.7065,12.0209
2020-05-13,12.41,12.41,11.64,12.34,400,11.7945,12.0513
2020-05-14,12.34,12.34,12.34,12.34,0,11.893,12.0788
2020-05-15,11.99,11.99,11.64,11.64,400,11.9175,12.037
2020-05-18,11.64,11.64,11.64,11.64,0,11.988,11.9992
2020-05-19,12.77,12.77,12.77,12.77,110,12.1045,12.0726
2020-05-20,11.71,11.71,11.64,11.64,3000,12.161,12.0314
2020-05-21,12.27,12.27,11.29,11.29,1000,12.214,11.9608
2020-05-22,11.71,11.71,11.71,11.71,920,12.2385,11.9369
2020-05-25,11.71,12.2,11.71,12.2,600,12.249,11.962
2020-05-26,12.2,12.2,12.2,12.2,0,12.249,11.9846
2020-05-27,11.36,12.2,11.36,12.2,1410,12.231,12.0051
2020-05-28,11.64,12.13,11.64,12.13,300,12.2095,12.017
2020-05-29,12.13,12.13,12.13,12.13,0,12.1495,12.0278
2020-06-01,11.0,12.27,11.0,12.27,1139,12.1565,12.0509
2020-06-02,12.2,12.27,12.2,12.27,700,12.1315,12.0717
2020-06-03,11.64,11.64,11.5,11.5,3000,12.068,12.0173
2020-06-04,11.5,11.5,11.5,11.5,0,12.0435,11.968
2020-06-05,11.5,11.5,11.5,11.5,1600,12.0085,11.9234
2020-06-08,11.5,11.5,11.5,11.5,10,11.938,11.8831
2020-06-09,11.92,11.92,11.92,11.92,2000,11.9345,11.8866
2020-06-10,11.92,11.92,11.92,11.92,0,11.9135,11.8898
2020-06-11,11.92,11.92,11.92,11.92,40,11.8925,11.8927
2020-06-12,11.29,11.29,11.29,11.29,100,11.875,11.8353
2020-06-15,11.29,11.29,11.29,11.29,0,11.8575,11.7834
2020-06-16,11.29,11.29,11.29,11.29,100,11.7835,11.7364
2020-06-17,11.99,11.99,11.99,11.99,200,11.801,11.7605
2020-06-18,11.57,11.71,11.57,11.71,300,11.822,11.7557
2020-06-19,11.92,11.92,11.92,11.92,300,11.8325,11.7714
2020-06-22,11.57,11.57,11.57,11.57,100,11.801,11.7522
2020-06-23,11.99,11.99,11.92,11.92,500,11.787,11.7682
2020-06-24,11.92,11.92,11.92,11.92,0,11.773,11.7826
2020-06-25,11.92,11.92,11.92,11.92,0,11.7625,11.7957
2020-06-26,11.99,11.99,11.99,11.99,100,11.7555,11.8142
2020-06-29,11.99,11.99,11.99,11.99,0,11.7415,11.831
2020-06-30,11.99,11.99,11.99,11.99,0,11.7275,11.8461
2020-07-01,12.63,12.63,11.99,11.99,300,11.752,11.8598
2020-07-02,11.99,11.99,11.99,11.99,910,11.7765,11.8722
2020-07-03,11.99,11.99,11.99,11.99,0,11.801,11.8834
2020-07-06,11.99,11.99,11.99,11.99,2000,11.8255,11.8936
2020-07-07,11.99,11.99,11.99,11.99,0,11.829,11.9028
2020-07-08,11.99,11.99,11.99,11.99,0,11.8325,11.9111
2020-07-09,11.99,11.99,11.99,11.99,0,11.836,11.9186
2020-07-10,11.99,11.99,11.99,11.99,0,11.871,11.9254
2020-07-13,11.99,12.63,11.99,12.63,2689,11.938,11.9925
2020-07-14,13.68,13.68,11.71,12.13,3400,11.98,12.0056
2020-07-15,12.49,12.56,11.92,12.27,2600,11.994,12.0308
2020-07-16,12.49,13.26,11.71,11.71,3200,11.994,12.0002
2020-07-17,12.56,12.56,11.99,12.56,1600,12.026,12.0535
2020-07-20,12.56,12.7,12.49,12.56,5289,12.0755,12.1018
2020-07-21,12.06,12.49,12.06,12.49,200,12.104,12.1387
2020-07-22,12.56,12.63,12.06,12.41,1200,12.1285,12.1646
2020-07-23,12.49,12.56,12.34,12.34,2300,12.1495,12.1813
2020-07-24,12.34,12.41,11.99,11.99,6170,12.1495,12.1631
2020-07-27,12.47,12.47,12.47,12.47,110,12.1735,12.1923
2020-07-28,12.39,12.54,12.39,12.47,1700,12.1975,12.2187
2020-07-29,12.54,12.54,12.31,12.31,209,12.2135,12.2274
