time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,3.04,3.09,3.04,3.09,1510,,
2020-01-03,3.05,3.11,3.05,3.1,4930,,
2020-01-06,3.11,3.11,3.08,3.11,21010,,
2020-01-07,3.11,3.11,3.11,3.11,10400,,
2020-01-08,3.11,3.11,3.03,3.11,27860,,
2020-01-09,3.11,3.11,3.11,3.11,5210,,
2020-01-10,3.11,3.11,3.08,3.11,15610,,
2020-01-13,3.11,3.11,3.06,3.11,7320,,
2020-01-14,3.04,3.11,3.04,3.1,3220,,
2020-01-15,3.05,3.1,3.05,3.1,67990,,
2020-01-16,3.05,3.11,3.05,3.08,43710,,
2020-01-17,3.11,3.11,3.08,3.1,7100,,
2020-01-20,3.1,3.1,3.09,3.1,17210,,
2020-01-21,3.1,3.15,3.1,3.14,23990,,
2020-01-22,3.14,3.18,3.14,3.14,13360,,
2020-01-30,3.18,3.18,3.14,3.18,54440,,
2020-01-31,3.18,3.2,3.18,3.19,52880,,
2020-02-03,3.05,3.05,2.97,3.05,102770,,
2020-02-04,3.05,3.08,3.05,3.05,18280,,
2020-02-05,3.11,3.11,3.05,3.06,23820,3.107,3.1029
2020-02-06,3.14,3.14,3.08,3.08,4720,3.1065,3.1007
2020-02-07,3.14,3.18,3.14,3.16,14210,3.1095,3.1064
2020-02-10,3.18,3.18,3.14,3.16,7240,3.112,3.1115
2020-02-11,3.16,3.18,3.11,3.18,53710,3.1155,3.118
2020-02-12,3.14,3.2,3.14,3.19,38170,3.1195,3.1249
2020-02-13,3.16,3.24,3.16,3.23,166830,3.1255,3.1349
2020-02-14,3.23,3.45,3.23,3.45,212610,3.1425,3.1649
2020-02-17,3.55,3.59,3.44,3.44,44700,3.159,3.1911
2020-02-18,3.44,3.44,3.27,3.27,115640,3.1675,3.1986
2020-02-19,3.19,3.33,3.19,3.23,76760,3.174,3.2016
2020-02-20,3.19,3.3,3.19,3.29,7830,3.1845,3.21
2020-02-21,3.24,3.28,3.18,3.21,52280,3.19,3.21
2020-02-24,3.16,3.18,3.02,3.13,88260,3.1915,3.2024
2020-02-25,3.1,3.27,3.08,3.18,36960,3.1935,3.2003
2020-02-26,3.14,3.23,3.13,3.2,21700,3.1965,3.2002
2020-02-27,3.18,3.24,3.18,3.23,3960,3.199,3.2031
2020-02-28,3.18,3.29,3.18,3.18,10170,3.1985,3.2009
2020-03-02,3.18,3.18,3.12,3.18,21180,3.205,3.1989
2020-03-03,3.12,3.18,3.12,3.14,29600,3.2095,3.1933
2020-03-04,3.21,3.21,3.18,3.21,4570,3.217,3.1949
2020-03-05,3.21,3.21,3.13,3.2,6420,3.223,3.1954
2020-03-06,3.2,3.2,3.13,3.14,2540,3.222,3.1901
2020-03-09,3.06,3.14,2.96,2.96,105990,3.212,3.1682
2020-03-10,2.97,2.99,2.82,2.96,102020,3.201,3.1483
2020-03-11,2.99,3.05,2.91,2.91,38330,3.187,3.1256
2020-03-12,2.73,2.91,2.72,2.72,211640,3.1615,3.087
2020-03-13,2.6,2.72,2.6,2.72,20820,3.125,3.0521
2020-03-16,2.72,2.72,2.68,2.7,34650,3.088,3.0185
2020-03-17,2.7,2.7,2.56,2.7,74290,3.0595,2.9882
2020-03-18,2.57,2.79,2.57,2.74,84550,3.035,2.9646
2020-03-19,2.62,2.71,2.57,2.68,87660,3.0045,2.9375
2020-03-20,2.63,2.72,2.63,2.7,13470,2.979,2.9148
2020-03-23,2.7,2.7,2.51,2.51,228830,2.948,2.8763
2020-03-24,2.51,2.58,2.47,2.55,17810,2.9165,2.8452
2020-03-25,2.55,2.55,2.52,2.53,30640,2.883,2.8152
2020-03-26,2.53,2.53,2.5,2.5,3950,2.8465,2.7852
2020-03-27,2.49,2.58,2.49,2.52,239150,2.8135,2.7599
2020-03-30,2.49,2.49,2.47,2.48,50900,2.7785,2.7333
2020-03-31,2.49,2.49,2.45,2.45,77850,2.744,2.7063
2020-04-01,2.48,2.49,2.45,2.48,23060,2.7075,2.6847
2020-04-03,2.48,2.49,2.48,2.48,33220,2.6715,2.6652
2020-04-06,2.55,2.58,2.48,2.54,62730,2.6415,2.6533
2020-04-07,2.55,2.57,2.52,2.52,46490,2.6195,2.6406
2020-04-08,2.52,2.55,2.48,2.52,177980,2.5975,2.6291
2020-04-09,2.55,2.55,2.51,2.53,115660,2.5785,2.6197
2020-04-10,2.52,2.55,2.48,2.52,139820,2.5685,2.6102
2020-04-13,2.49,2.57,2.49,2.55,113150,2.56,2.6045
2020-04-14,2.55,2.64,2.55,2.58,121390,2.554,2.6021
2020-04-15,2.6,2.7,2.6,2.7,126320,2.554,2.6114
2020-04-16,2.65,2.73,2.65,2.68,131090,2.551,2.618
2020-04-17,2.68,2.86,2.68,2.8,139780,2.557,2.6353
2020-04-20,2.8,2.93,2.62,2.78,206830,2.561,2.6491
2020-04-21,2.71,2.78,2.65,2.65,173640,2.568,2.6492
2020-04-22,2.58,2.7,2.58,2.68,71740,2.5745,2.6521
2020-04-23,2.68,2.73,2.67,2.68,132940,2.582,2.6548
2020-04-24,2.64,2.71,2.64,2.67,137640,2.5905,2.6562
2020-04-27,2.69,2.8,2.69,2.8,115250,2.6045,2.6699
2020-04-28,2.8,2.86,2.74,2.74,185580,2.6175,2.6766
2020-04-29,2.8,2.8,2.71,2.74,40700,2.632,2.6826
2020-05-04,2.74,2.75,2.68,2.68,125820,2.642,2.6824
2020-05-05,2.69,2.76,2.68,2.74,122120,2.655,2.6879
2020-05-06,2.74,2.77,2.73,2.74,78530,2.665,2.6928
2020-05-07,2.74,2.83,2.74,2.78,201120,2.678,2.7011
2020-05-08,2.81,2.97,2.81,2.97,333950,2.7005,2.7267
2020-05-11,3.04,3.11,2.97,3.1,103090,2.729,2.7623
2020-05-12,2.99,3.1,2.95,3.05,152720,2.7555,2.7897
2020-05-13,3.05,3.05,2.98,3.02,63150,2.779,2.8116
2020-05-14,3.02,3.23,3.01,3.18,292530,2.809,2.8467
2020-05-15,3.24,3.25,3.05,3.17,261470,2.8325,2.8775
2020-05-18,3.17,3.17,3.07,3.16,149400,2.8565,2.9044
2020-05-19,3.11,3.19,3.11,3.14,171230,2.8735,2.9268
2020-05-20,3.11,3.11,3.05,3.1,121790,2.8895,2.9433
2020-05-21,3.1,3.11,3.05,3.06,85900,2.91,2.9544
2020-05-22,3.06,3.11,3.05,3.08,123860,2.93,2.9664
2020-05-25,3.08,3.08,3.07,3.08,38850,2.95,2.9772
2020-05-26,3.1,3.11,3.08,3.08,84590,2.9705,2.987
2020-05-27,3.11,3.21,3.08,3.1,206170,2.9855,2.9978
2020-05-28,3.11,3.14,3.1,3.14,54930,3.0055,3.0113
2020-05-29,3.14,3.18,3.11,3.14,53570,3.0255,3.0236
2020-06-01,3.18,3.2,3.15,3.18,68970,3.0505,3.0385
2020-06-02,3.18,3.18,3.09,3.1,104570,3.0685,3.0443
2020-06-03,3.1,3.16,3.1,3.12,116630,3.0875,3.0515
2020-06-04,3.12,3.27,3.12,3.23,164150,3.11,3.0685
2020-06-05,3.21,3.22,3.18,3.22,27450,3.1225,3.083
2020-06-08,3.22,3.33,3.22,3.24,169310,3.1295,3.0979
2020-06-09,3.19,3.27,3.19,3.25,56010,3.1395,3.1124
2020-06-10,3.25,3.25,3.21,3.21,38390,3.149,3.1217
2020-06-11,3.21,3.29,3.13,3.13,176500,3.1465,3.1225
2020-06-12,3.13,3.21,3.11,3.21,88260,3.1485,3.1308
2020-06-15,3.21,3.26,3.18,3.21,45610,3.151,3.1384
2020-06-16,3.31,3.31,3.13,3.24,95480,3.156,3.148
2020-06-17,3.24,3.45,3.24,3.42,654360,3.172,3.1739
2020-06-18,3.43,3.62,3.43,3.49,256790,3.1935,3.204
2020-06-19,3.49,3.59,3.49,3.59,323040,3.219,3.2408
2020-06-22,3.49,3.59,3.43,3.49,378270,3.2395,3.2645
2020-06-23,3.44,3.49,3.39,3.46,295540,3.2585,3.2831
2020-06-24,3.43,3.44,3.31,3.31,97830,3.269,3.2857
2020-06-25,3.24,3.48,3.24,3.41,103800,3.2825,3.2975
2020-06-26,3.41,3.44,3.34,3.34,35610,3.2925,3.3016
2020-06-29,3.34,3.34,3.11,3.29,118730,3.298,3.3005
2020-06-30,3.29,3.38,3.19,3.29,68900,3.3075,3.2995
2020-07-01,3.36,3.36,3.19,3.33,14810,3.318,3.3024
2020-07-02,3.33,3.33,3.3,3.33,49160,3.323,3.305
2020-07-03,3.36,3.47,3.36,3.39,212460,3.3315,3.3131
2020-07-06,3.41,3.49,3.41,3.41,99480,3.34,3.3223
2020-07-07,3.43,3.5,3.43,3.44,110600,3.3495,3.3335
2020-07-08,3.46,3.49,3.46,3.47,121950,3.3625,3.3465
2020-07-09,3.47,3.49,3.43,3.43,130150,3.3775,3.3545
2020-07-10,3.43,3.46,3.36,3.4,56900,3.387,3.3588
2020-07-13,3.4,3.48,3.4,3.41,74470,3.397,3.3637
2020-07-14,3.43,3.46,3.41,3.43,134600,3.4065,3.37
2020-07-15,3.52,3.61,3.43,3.61,313300,3.416,3.3929
2020-07-16,3.62,3.73,3.62,3.63,145650,3.423,3.4155
2020-07-17,3.63,3.72,3.62,3.67,167810,3.427,3.4397
2020-07-20,3.67,3.67,3.52,3.62,193430,3.4335,3.4569
2020-07-21,3.68,3.74,3.61,3.66,85460,3.4435,3.4762
2020-07-22,3.62,3.74,3.54,3.54,37560,3.455,3.4823
2020-07-23,3.61,3.61,3.41,3.54,104270,3.4615,3.4878
2020-07-24,3.54,3.6,3.34,3.47,109600,3.468,3.4861
2020-07-27,3.29,3.46,3.29,3.3,94030,3.4685,3.4684
2020-07-28,3.3,3.53,3.3,3.53,235280,3.4805,3.4742
2020-07-29,3.77,3.77,3.61,3.77,740760,3.5025,3.5024
2020-07-30,3.95,3.95,3.78,3.88,267380,3.53,3.5384
2020-07-31,3.88,3.88,3.68,3.82,156570,3.5515,3.5652
2020-08-03,3.64,3.75,3.64,3.75,259840,3.5685,3.5828
2020-08-04,3.75,3.84,3.68,3.71,303020,3.582,3.5949
2020-08-05,3.71,3.88,3.68,3.87,488320,3.602,3.6211
2020-08-06,3.73,3.87,3.73,3.82,135700,3.6215,3.64
2020-08-07,3.77,3.78,3.75,3.76,177080,3.6395,3.6515
2020-08-10,3.87,3.87,3.72,3.75,139300,3.6565,3.6609
2020-08-11,3.75,3.78,3.71,3.78,81170,3.674,3.6722
2020-08-12,3.78,3.78,3.71,3.75,55960,3.681,3.6796
2020-08-13,3.91,3.92,3.75,3.91,736590,3.695,3.7016
2020-08-14,3.91,4.05,3.86,3.88,397360,3.7055,3.7185
2020-08-17,3.87,3.99,3.86,3.9,301850,3.7195,3.7358
2020-08-18,3.91,4.01,3.88,3.96,289830,3.7345,3.7572
2020-08-19,3.99,3.99,3.89,3.93,165040,3.754,3.7736
2020-08-20,3.89,3.94,3.88,3.88,262240,3.771,3.7838
2020-08-21,3.92,3.98,3.88,3.94,225520,3.7945,3.7986
2020-08-24,4.05,4.05,3.98,4.0,223570,3.8295,3.8178
2020-08-25,4.06,4.06,3.95,3.97,220120,3.8515,3.8323
2020-08-26,3.91,4.01,3.91,3.95,182240,3.8605,3.8435
2020-08-27,3.99,3.99,3.93,3.96,139470,3.8645,3.8546
2020-08-28,3.96,3.98,3.95,3.96,133530,3.8715,3.8647
2020-08-31,3.99,3.99,3.95,3.96,432570,3.882,3.8737
2020-09-01,3.97,4.07,3.96,4.02,228420,3.8975,3.8877
2020-09-03,4.02,4.12,3.99,4.02,263080,3.905,3.9003
2020-09-04,4.02,4.02,3.96,4.01,93880,3.9145,3.9107
2020-09-07,4.01,4.02,3.96,3.97,133540,3.925,3.9164
2020-09-08,3.96,4.02,3.96,3.97,93540,3.936,3.9215
2020-09-09,3.97,3.99,3.95,3.99,113760,3.9465,3.928
2020-09-10,4.02,4.02,3.96,3.98,128960,3.958,3.933
2020-09-11,4.02,4.16,3.99,4.15,365550,3.97,3.9536
2020-09-14,4.12,4.29,4.12,4.25,293540,3.9885,3.9818
2020-09-15,4.23,4.33,4.21,4.21,279280,4.004,4.0036
2020-09-16,4.22,4.27,4.18,4.19,204680,4.0155,4.0213
2020-09-17,4.19,4.25,4.19,4.19,782850,4.0285,4.0374
2020-09-18,4.25,4.29,4.21,4.24,117220,4.0465,4.0567
2020-09-21,4.29,4.46,4.29,4.41,250980,4.07,4.0903
2020-09-22,4.29,4.39,4.27,4.29,423630,4.0845,4.1094
2020-09-23,4.28,4.39,4.26,4.35,190200,4.1035,4.1323
2020-09-24,4.38,4.38,4.28,4.33,213200,4.1225,4.1511
2020-09-25,4.3,4.52,4.3,4.52,471200,4.1505,4.1862
2020-09-28,4.52,4.67,4.52,4.63,399480,4.184,4.2285
2020-09-29,4.63,4.76,4.62,4.63,470020,4.2175,4.2667
2020-09-30,4.7,4.7,4.56,4.58,187130,4.2455,4.2966
2020-10-01,4.57,4.7,4.57,4.58,153770,4.2735,4.3236
2020-10-02,4.58,4.6,4.43,4.52,624290,4.299,4.3423
2020-10-05,4.63,4.63,4.53,4.58,251680,4.3295,4.3649
2020-10-06,4.67,4.69,4.58,4.67,341020,4.3645,4.394
2020-10-07,4.7,4.76,4.65,4.68,328110,4.399,4.4212
2020-10-08,4.75,4.75,4.64,4.71,184260,4.4355,4.4487
2020-10-09,4.7,4.73,4.69,4.71,75400,4.4635,4.4736
2020-10-12,4.71,4.73,4.54,4.56,615130,4.479,4.4818
2020-10-13,4.56,4.68,4.56,4.66,266300,4.5015,4.4988
2020-10-14,4.63,4.66,4.61,4.66,91590,4.525,4.5141
2020-10-15,4.61,4.65,4.56,4.61,233610,4.546,4.5233
2020-10-16,4.58,4.67,4.58,4.61,108980,4.5645,4.5315
2020-10-19,4.61,4.71,4.56,4.65,270620,4.5765,4.5428
2020-10-20,4.65,4.69,4.58,4.63,118070,4.5935,4.5511
