time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,4.15,4.15,4.15,4.15,0,,
2020-01-03,4.15,4.15,4.15,4.15,0,,
2020-01-06,4.15,4.15,4.15,4.15,0,,
2020-01-07,4.15,4.15,4.15,4.15,0,,
2020-01-08,4.15,4.15,4.15,4.15,0,,
2020-01-09,3.89,3.89,3.89,3.89,5300,,
2020-01-10,3.89,3.89,3.89,3.89,100,,
2020-01-13,3.89,3.89,3.89,3.89,0,,
2020-01-14,3.89,3.89,3.89,3.89,0,,
2020-01-15,3.89,3.89,3.89,3.89,0,,
2020-01-16,3.89,3.89,3.89,3.89,0,,
2020-01-17,4.06,4.23,4.06,4.23,500,,
2020-01-20,4.23,4.23,4.23,4.23,0,,
2020-01-21,4.23,4.23,4.23,4.23,0,,
2020-01-22,4.23,4.23,4.23,4.23,0,,
2020-01-30,4.23,4.23,4.23,4.23,0,,
2020-01-31,4.23,4.23,4.23,4.23,0,,
2020-02-03,4.23,4.23,4.23,4.23,0,,
2020-02-04,4.32,4.32,4.32,4.32,100,,
2020-02-05,4.32,4.32,4.32,4.32,0,4.117,4.1661
2020-02-06,4.32,4.32,4.32,4.32,0,4.1255,4.1808
2020-02-07,4.15,4.23,4.06,4.23,2600,4.1295,4.1855
2020-02-10,4.15,4.15,4.15,4.15,2000,4.1295,4.1821
2020-02-11,4.15,4.15,4.15,4.15,0,4.1295,4.179
2020-02-12,4.15,4.15,4.15,4.15,0,4.1295,4.1763
2020-02-13,4.15,4.15,4.15,4.15,0,4.1425,4.1738
2020-02-14,4.23,4.23,4.23,4.23,100,4.1595,4.1791
2020-02-17,4.23,4.23,4.23,4.23,0,4.1765,4.184
2020-02-18,4.23,4.23,4.23,4.23,0,4.1935,4.1884
2020-02-19,4.23,4.23,4.23,4.23,0,4.2105,4.1923
2020-02-20,4.23,4.23,4.23,4.23,0,4.2275,4.1959
2020-02-21,4.23,4.23,4.23,4.23,0,4.2275,4.1992
2020-02-24,4.23,4.23,4.23,4.23,0,4.2275,4.2021
2020-02-25,4.23,4.23,4.23,4.23,0,4.2275,4.2048
2020-02-26,4.82,4.82,4.82,4.82,100,4.257,4.2633
2020-02-27,4.82,4.82,4.82,4.82,0,4.2865,4.3164
2020-02-28,4.82,4.82,4.82,4.82,0,4.316,4.3643
2020-03-02,4.82,4.82,4.82,4.82,0,4.3455,4.4077
2020-03-03,4.82,4.82,4.82,4.82,0,4.3705,4.447
2020-03-04,5.5,5.5,4.57,4.57,200,4.383,4.4587
2020-03-05,5.08,4.57,4.57,4.57,0,4.3955,4.4693
2020-03-06,5.08,4.57,4.57,4.57,0,4.4125,4.4789
2020-03-09,5.08,4.57,4.57,4.57,0,4.4335,4.4876
2020-03-10,5.08,4.57,4.57,4.57,0,4.4545,4.4954
2020-03-11,4.32,4.32,4.32,4.32,1500,4.463,4.4787
2020-03-12,4.32,4.32,4.32,4.32,0,4.4715,4.4636
2020-03-13,4.32,4.32,4.32,4.32,0,4.476,4.4499
2020-03-16,4.32,4.32,4.32,4.32,0,4.4805,4.4375
2020-03-17,4.32,4.32,4.32,4.32,600,4.485,4.4264
2020-03-18,4.4,4.4,4.23,4.23,3100,4.485,4.4077
2020-03-19,4.32,4.23,4.23,4.23,0,4.485,4.3907
2020-03-20,4.23,4.23,4.23,4.23,200,4.485,4.3754
2020-03-23,4.23,4.23,4.23,4.23,0,4.485,4.3616
2020-03-24,4.23,4.23,4.23,4.23,0,4.485,4.349
2020-03-25,4.23,4.23,4.23,4.23,0,4.4555,4.3377
2020-03-26,3.81,3.81,3.81,3.81,4000,4.405,4.2874
2020-03-27,4.32,4.32,4.32,4.32,100,4.38,4.2905
2020-03-30,3.81,3.81,3.81,3.81,300,4.3295,4.2448
2020-03-31,3.81,3.81,3.81,3.81,100,4.279,4.2034
2020-04-01,4.32,4.32,4.32,4.32,100,4.2665,4.2145
2020-04-03,3.81,3.81,3.81,3.81,200,4.2285,4.176
2020-04-06,3.81,3.81,3.81,3.81,1500,4.1905,4.1411
