time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,6.21,6.21,6.21,6.21,0,,
2020-01-03,6.21,6.21,6.21,6.21,0,,
2020-01-06,6.21,6.21,6.21,6.21,0,,
2020-01-07,6.21,6.21,6.21,6.21,0,,
2020-01-08,6.21,6.21,6.21,6.21,0,,
2020-01-09,6.21,6.21,6.21,6.21,0,,
2020-01-10,6.21,6.21,6.21,6.21,0,,
2020-01-13,6.21,6.21,6.21,6.21,0,,
2020-01-14,6.21,6.21,6.21,6.21,0,,
2020-01-15,6.21,6.21,6.21,6.21,0,,
2020-01-16,6.21,6.21,6.21,6.21,0,,
2020-01-17,6.21,6.21,6.21,6.21,0,,
2020-01-20,6.21,6.21,6.21,6.21,0,,
2020-01-21,6.21,6.21,6.21,6.21,0,,
2020-01-22,6.21,6.21,6.21,6.21,0,,
2020-01-30,6.21,6.21,6.21,6.21,0,,
2020-01-31,6.21,6.21,6.21,6.21,0,,
2020-02-03,6.21,6.21,6.21,6.21,0,,
2020-02-04,6.21,6.21,6.21,6.21,0,,
2020-02-05,6.21,6.21,6.21,6.21,0,6.21,6.21
2020-02-06,6.21,6.21,6.21,6.21,0,6.21,6.21
2020-02-07,6.75,8.63,6.75,8.63,3900,6.331,6.4405
2020-02-10,6.81,8.63,8.63,8.63,0,6.452,6.649
2020-02-11,6.81,8.63,8.63,8.63,0,6.573,6.8377
2020-02-12,6.81,8.63,8.63,8.63,0,6.694,7.0084
2020-02-13,6.81,8.63,8.63,8.63,0,6.815,7.1628
2020-02-14,6.81,8.63,8.63,8.63,0,6.936,7.3025
2020-02-17,6.81,8.63,8.63,8.63,0,7.057,7.429
2020-02-18,6.81,8.63,8.63,8.63,0,7.178,7.5433
2020-02-19,6.81,8.63,8.63,8.63,0,7.299,7.6468
2020-02-20,6.81,8.63,8.63,8.63,0,7.42,7.7405
2020-02-21,6.81,8.63,8.63,8.63,0,7.541,7.8252
2020-02-24,6.81,8.63,8.63,8.63,0,7.662,7.9018
2020-02-25,6.81,8.63,8.63,8.63,0,7.783,7.9712
2020-02-26,6.81,8.63,8.63,8.63,0,7.904,8.0339
2020-02-27,6.81,8.63,8.63,8.63,0,8.025,8.0907
2020-02-28,6.81,8.63,8.63,8.63,0,8.146,8.1421
2020-03-02,6.81,8.63,8.63,8.63,0,8.267,8.1885
2020-03-03,6.81,8.63,8.63,8.63,0,8.388,8.2306
2020-03-04,6.81,8.63,8.63,8.63,0,8.509,8.2686
2020-03-05,6.81,8.63,8.63,8.63,0,8.63,8.303
2020-03-06,6.81,8.63,8.63,8.63,0,8.63,8.3342
2020-03-09,6.81,8.63,8.63,8.63,0,8.63,8.3623
2020-03-10,6.81,8.63,8.63,8.63,0,8.63,8.3878
2020-03-11,6.81,8.63,8.63,8.63,0,8.63,8.4109
2020-03-12,6.81,8.63,8.63,8.63,0,8.63,8.4318
2020-03-13,6.81,8.63,8.63,8.63,0,8.63,8.4506
2020-03-16,6.81,8.63,8.63,8.63,0,8.63,8.4677
2020-03-17,6.81,8.63,8.63,8.63,0,8.63,8.4832
2020-03-18,6.81,8.63,8.63,8.63,0,8.63,8.4972
2020-03-19,6.81,8.63,8.63,8.63,0,8.63,8.5098
2020-03-20,6.81,8.63,8.63,8.63,0,8.63,8.5213
2020-03-23,6.81,8.63,8.63,8.63,0,8.63,8.5316
2020-03-24,6.81,8.63,8.63,8.63,0,8.63,8.541
2020-03-25,6.81,8.63,8.63,8.63,0,8.63,8.5495
2020-03-26,6.81,8.63,8.63,8.63,0,8.63,8.5571
2020-03-27,6.81,8.63,8.63,8.63,0,8.63,8.5641
