time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,16.49,16.49,16.49,16.49,0,,
2020-01-03,16.35,16.35,16.35,16.35,100,,
2020-01-06,16.35,16.35,16.35,16.35,200,,
2020-01-07,16.35,16.35,16.35,16.35,0,,
2020-01-08,15.29,15.29,15.29,15.29,1000,,
2020-01-09,15.29,15.29,15.29,15.29,10,,
2020-01-10,15.29,15.29,15.29,15.29,0,,
2020-01-13,15.29,15.29,15.29,15.29,0,,
2020-01-14,15.29,15.29,15.29,15.29,0,,
2020-01-15,15.29,15.29,15.29,15.29,0,,
2020-01-16,15.29,15.29,14.53,15.29,120,,
2020-01-17,15.29,15.29,15.29,15.29,0,,
2020-01-20,15.29,15.29,15.29,15.29,0,,
2020-01-21,15.29,15.29,15.29,15.29,0,,
2020-01-22,15.29,15.29,15.29,15.29,0,,
2020-01-30,15.62,15.62,15.62,15.62,100,,
2020-01-31,15.89,15.89,15.89,15.89,60,,
2020-02-03,15.89,15.89,15.89,15.89,200,,
2020-02-04,14.79,15.89,14.79,14.82,510,,
2020-02-05,15.82,15.82,15.82,15.82,10,15.5885,15.6448
2020-02-06,15.85,15.85,15.85,15.85,250,15.5565,15.6643
2020-02-07,15.85,15.85,15.85,15.85,300,15.5315,15.682
2020-02-10,15.85,15.85,15.85,15.85,0,15.5065,15.698
2020-02-11,16.15,16.15,16.15,16.15,10,15.4965,15.741
2020-02-12,16.15,16.15,16.15,16.15,0,15.5395,15.78
2020-02-13,15.62,15.62,15.62,15.62,50,15.556,15.7648
2020-02-14,15.62,15.75,14.59,15.75,900,15.579,15.7634
2020-02-17,14.66,14.82,14.66,14.82,20,15.5555,15.6735
2020-02-18,14.69,14.69,14.69,14.69,330,15.5255,15.5798
2020-02-19,14.62,14.62,14.59,14.59,30,15.4905,15.4856
2020-02-20,15.19,15.19,15.19,15.19,10,15.4855,15.4574
2020-02-21,15.19,15.19,15.19,15.19,0,15.4805,15.432
2020-02-24,15.19,15.22,14.96,15.19,400,15.4755,15.4089
2020-02-25,15.19,15.19,15.19,15.19,0,15.4705,15.3881
2020-02-26,14.16,15.16,14.16,15.16,20,15.464,15.3663
2020-02-27,14.62,15.06,14.62,15.06,1010,15.436,15.3372
2020-02-28,15.06,15.06,15.06,15.06,0,15.3945,15.3108
2020-03-02,15.06,15.06,15.06,15.06,0,15.353,15.2869
2020-03-03,14.29,14.29,14.29,14.29,2000,15.3265,15.1919
2020-03-04,13.96,13.96,13.3,13.3,3410,15.2005,15.0118
2020-03-05,13.3,13.96,13.3,13.96,170,15.106,14.9116
2020-03-06,14.16,14.16,14.16,14.16,10,15.0215,14.84
2020-03-09,14.03,14.03,13.36,13.89,40,14.9235,14.7495
2020-03-10,14.36,14.36,14.36,14.36,10,14.834,14.7124
2020-03-11,14.23,14.23,14.23,14.23,10,14.738,14.6665
2020-03-12,13.76,14.56,13.26,13.79,620,14.6465,14.583
2020-03-13,12.86,13.89,12.83,13.89,410,14.5535,14.517
2020-03-16,14.03,14.03,14.03,14.03,10,14.514,14.4706
2020-03-17,13.06,14.59,13.06,14.59,310,14.509,14.482
2020-03-18,13.59,13.59,13.59,13.59,110,14.459,14.397
2020-03-19,13.59,13.73,12.66,12.7,780,14.3345,14.2354
2020-03-20,11.87,13.56,11.87,13.46,40,14.248,14.1616
2020-03-23,13.46,13.56,13.3,13.56,2040,14.1665,14.1043
2020-03-24,12.7,13.53,12.7,13.53,20,14.0835,14.0496
2020-03-25,13.49,13.49,13.49,13.49,40,14.0,13.9963
2020-03-26,12.7,13.46,12.7,13.46,1450,13.92,13.9452
2020-03-27,13.63,13.63,13.63,13.63,60,13.8485,13.9152
2020-03-30,12.73,12.73,12.73,12.73,20,13.732,13.8023
2020-03-31,12.73,13.49,12.73,13.49,20,13.692,13.7726
2020-04-01,12.83,13.49,12.83,13.49,600,13.7015,13.7457
2020-04-03,13.49,13.49,13.49,13.49,1200,13.678,13.7213
2020-04-06,13.53,13.63,13.49,13.63,260,13.6515,13.7126
2020-04-07,13.63,13.63,13.63,13.63,500,13.6385,13.7048
2020-04-08,12.7,13.76,12.7,13.76,1510,13.6085,13.71
2020-04-09,13.76,13.76,13.76,13.76,1000,13.585,13.7148
2020-04-10,13.76,13.76,13.76,13.76,0,13.5835,13.7191
2020-04-13,13.96,13.96,13.96,13.96,10,13.587,13.742
2020-04-14,13.63,13.96,13.63,13.96,50,13.5835,13.7628
2020-04-15,13.96,13.96,13.96,13.96,20,13.552,13.7816
2020-04-16,13.89,13.89,13.56,13.56,7550,13.5505,13.7605
2020-04-17,13.73,13.96,13.63,13.63,1470,13.597,13.748
2020-04-20,13.63,13.96,13.63,13.96,1590,13.622,13.7682
2020-04-21,13.63,13.86,13.3,13.86,130,13.637,13.777
2020-04-22,13.86,13.86,13.86,13.86,0,13.6535,13.7849
2020-04-23,13.63,13.63,13.36,13.36,800,13.647,13.7444
2020-04-24,13.3,13.3,13.3,13.3,1360,13.639,13.7021
2020-04-27,13.3,13.3,13.26,13.26,1150,13.6205,13.66
2020-04-28,13.16,13.16,12.7,13.13,4580,13.6405,13.6095
2020-04-29,13.13,13.23,13.13,13.23,5010,13.6275,13.5734
2020-05-04,13.43,14.09,13.43,14.09,2590,13.6575,13.6226
2020-05-05,13.3,13.3,13.3,13.3,10,13.648,13.5918
