time,open,high,low,close,volume,SMA_20,EMA_20
2023-01-06,11.69,11.69,11.69,11.69,0,,
2023-01-09,11.69,11.69,11.69,11.69,0,,
2023-01-10,11.69,11.69,11.69,11.69,0,,
2023-01-11,16.34,16.34,16.34,16.34,100,,
2023-01-12,18.73,18.73,18.73,18.73,100,,
2023-01-13,18.73,18.73,18.73,18.73,0,,
2023-01-16,18.73,18.73,18.73,18.73,0,,
2023-01-17,18.73,18.73,18.73,18.73,0,,
2023-01-18,18.73,18.73,18.73,18.73,0,,
2023-01-19,18.73,18.73,18.73,18.73,0,,
2023-01-27,18.73,18.73,18.73,18.73,0,,
2023-01-30,18.73,18.73,18.73,18.73,0,,
2023-01-31,18.73,18.73,18.73,18.73,0,,
2023-02-01,18.73,18.73,18.73,18.73,0,,
2023-02-02,18.73,18.73,18.73,18.73,0,,
2023-02-03,18.73,18.73,18.73,18.73,0,,
2023-02-06,18.73,18.73,18.73,18.73,0,,
2023-02-07,18.73,18.73,18.73,18.73,0,,
2023-02-08,18.73,18.73,18.73,18.73,0,,
2023-02-09,18.73,18.73,18.73,18.73,0,17.5545,17.3998
2023-02-10,18.73,18.73,18.73,18.73,0,17.9065,17.5265
2023-02-13,21.48,21.48,21.48,21.48,1100,18.396,17.903
2023-02-14,24.64,24.64,24.64,24.64,2000,19.0435,18.5447
2023-02-15,28.3,28.3,28.3,28.3,1000,19.6415,19.4737
2023-02-16,32.53,32.53,32.53,32.53,2100,20.3315,20.7172
2023-02-17,27.67,27.67,27.67,27.67,300,20.7785,21.3794
2023-02-20,27.67,31.75,27.67,31.75,600,21.4295,22.367
2023-02-21,30.91,30.91,30.91,30.91,0,22.0385,23.1807
2023-02-22,30.91,30.91,30.91,30.91,0,22.6475,23.9168
2023-02-23,30.91,30.91,30.91,30.91,0,23.2565,24.5828
2023-02-24,30.91,30.91,30.91,30.91,100,23.8655,25.1854
2023-02-27,30.91,30.91,30.91,30.91,0,24.4745,25.7306
2023-02-28,30.91,30.91,30.91,30.91,0,25.0835,26.2239
2023-03-01,30.91,30.91,30.91,30.91,0,25.6925,26.6702
2023-03-02,30.91,30.91,30.91,30.91,0,26.3015,27.074
