time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,1.77,1.77,1.71,1.77,30200,,
2020-01-03,1.71,1.77,1.71,1.77,41600,,
2020-01-06,1.71,1.77,1.6,1.71,16500,,
2020-01-07,1.65,1.71,1.6,1.65,41000,,
2020-01-08,1.65,1.83,1.65,1.65,64700,,
2020-01-09,1.65,1.65,1.6,1.65,16100,,
2020-01-10,1.65,1.77,1.6,1.65,9800,,
2020-01-13,1.77,1.77,1.54,1.54,21900,,
2020-01-14,1.6,1.6,1.54,1.6,10900,,
2020-01-15,1.54,1.6,1.43,1.6,37734,,
2020-01-16,1.54,1.6,1.54,1.6,21700,,
2020-01-17,1.54,1.71,1.54,1.71,29810,,
2020-01-20,1.65,1.71,1.65,1.71,18734,,
2020-01-21,1.65,1.71,1.65,1.71,22700,,
2020-01-22,1.65,1.71,1.65,1.65,5300,,
2020-01-30,1.54,1.71,1.54,1.65,17200,,
2020-01-31,1.65,1.71,1.54,1.65,52600,,
2020-02-03,1.48,1.54,1.48,1.54,57510,,
2020-02-04,1.6,1.6,1.54,1.6,32000,,
2020-02-05,1.54,1.6,1.48,1.48,33100,1.6445,1.6419
2020-02-06,1.6,1.65,1.54,1.6,44300,1.636,1.6379
2020-02-07,1.6,1.6,1.54,1.6,35300,1.6275,1.6343
2020-02-10,1.54,1.6,1.48,1.54,10900,1.619,1.6253
2020-02-11,1.6,1.65,1.54,1.54,21700,1.6135,1.6172
2020-02-12,1.54,1.6,1.48,1.48,166200,1.605,1.6041
2020-02-13,1.6,1.6,1.48,1.54,94200,1.5995,1.598
2020-02-14,1.48,1.54,1.48,1.54,55910,1.594,1.5925
2020-02-17,1.54,1.6,1.43,1.6,76600,1.597,1.5932
2020-02-18,1.54,1.6,1.54,1.6,24500,1.597,1.5939
2020-02-19,1.54,1.77,1.54,1.77,196350,1.6055,1.6106
2020-02-20,1.77,1.88,1.71,1.83,166100,1.617,1.6315
2020-02-21,1.83,1.88,1.71,1.71,31700,1.617,1.639
2020-02-24,1.71,1.71,1.54,1.6,132840,1.6115,1.6353
2020-02-25,1.54,1.65,1.48,1.65,64240,1.6085,1.6367
2020-02-26,1.6,1.6,1.48,1.6,38840,1.606,1.6332
2020-02-27,1.6,1.71,1.6,1.71,72960,1.609,1.6405
2020-02-28,1.71,1.71,1.6,1.6,42900,1.6065,1.6366
2020-03-02,1.65,1.71,1.6,1.71,17000,1.615,1.6436
2020-03-03,1.65,1.65,1.6,1.65,53150,1.6175,1.6442
2020-03-04,1.6,1.65,1.6,1.65,56120,1.626,1.6448
2020-03-05,1.6,1.6,1.48,1.54,194400,1.623,1.6348
2020-03-06,1.6,1.6,1.48,1.6,55550,1.623,1.6315
2020-03-09,1.48,1.54,1.37,1.37,73640,1.6145,1.6066
2020-03-10,1.37,1.48,1.37,1.48,50205,1.6115,1.5945
2020-03-11,1.43,1.43,1.37,1.43,45900,1.609,1.5789
2020-03-12,1.37,1.37,1.25,1.31,142231,1.5975,1.5533
2020-03-13,1.14,1.25,1.08,1.25,87000,1.583,1.5244
2020-03-16,1.14,1.31,1.08,1.31,45300,1.5685,1.504
2020-03-17,1.25,1.37,1.2,1.37,72000,1.557,1.4912
2020-03-18,1.31,1.37,1.31,1.31,25580,1.534,1.4739
2020-03-19,1.2,1.37,1.2,1.31,52600,1.508,1.4583
2020-03-20,1.25,1.31,1.25,1.31,26010,1.488,1.4442
2020-03-23,1.2,1.2,1.14,1.14,74135,1.465,1.4152
2020-03-24,1.14,1.2,1.14,1.2,19000,1.4425,1.3947
2020-03-25,1.2,1.25,1.2,1.2,15000,1.4225,1.3762
2020-03-26,1.2,1.25,1.14,1.14,83400,1.394,1.3537
2020-03-27,1.08,1.2,1.08,1.2,3600,1.374,1.3391
2020-03-30,1.08,1.14,0.97,1.03,50410,1.34,1.3096
2020-03-31,1.14,1.14,0.97,1.08,11225,1.3115,1.2878
2020-04-01,0.97,1.08,0.86,1.03,112200,1.2805,1.2632
2020-04-03,1.03,1.03,1.03,1.03,22400,1.255,1.241
2020-04-06,1.08,1.14,1.08,1.14,86915,1.232,1.2314
2020-04-07,1.2,1.2,1.14,1.2,34500,1.2235,1.2284
2020-04-08,1.2,1.2,1.14,1.2,18200,1.2095,1.2257
2020-04-09,1.08,1.25,1.08,1.2,22630,1.198,1.2232
2020-04-10,1.14,1.2,1.08,1.08,54801,1.1865,1.2096
2020-04-13,1.08,1.2,1.08,1.2,33200,1.184,1.2087
2020-04-14,1.25,1.25,1.14,1.2,30040,1.1785,1.2079
2020-04-15,1.14,1.2,1.14,1.2,28800,1.17,1.2071
2020-04-16,1.14,1.2,1.08,1.14,37910,1.1615,1.2007
2020-04-17,1.14,1.31,1.14,1.31,191600,1.1615,1.2111
2020-04-20,1.37,1.43,1.37,1.43,250930,1.1675,1.232
2020-04-21,1.48,1.6,1.31,1.31,189411,1.176,1.2394
2020-04-22,1.31,1.48,1.31,1.48,42330,1.19,1.2623
2020-04-23,1.37,1.48,1.31,1.48,62400,1.204,1.283
2020-04-24,1.43,1.43,1.31,1.31,84600,1.2125,1.2856
2020-04-27,1.37,1.37,1.25,1.25,71702,1.215,1.2822
2020-04-28,1.25,1.31,1.25,1.31,54228,1.229,1.2849
2020-04-29,1.31,1.43,1.31,1.37,32200,1.2435,1.293
2020-05-04,1.31,1.37,1.25,1.31,36400,1.2575,1.2946
2020-05-05,1.31,1.37,1.25,1.31,49640,1.2715,1.2961
2020-05-06,1.37,1.37,1.31,1.37,11360,1.283,1.3031
