time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,9.8,9.8,9.8,9.8,0,,
2020-01-03,9.8,9.8,9.8,9.8,0,,
2020-01-06,9.8,9.8,9.8,9.8,0,,
2020-01-07,9.8,9.8,9.8,9.8,0,,
2020-01-08,9.8,9.8,9.8,9.8,0,,
2020-01-09,10.0,10.0,10.0,10.0,500,,
2020-01-10,10.0,10.0,10.0,10.0,0,,
2020-01-13,10.0,10.0,10.0,10.0,0,,
2020-01-14,10.0,10.0,10.0,10.0,0,,
2020-01-15,10.0,10.0,10.0,10.0,0,,
2020-01-16,10.0,10.0,10.0,10.0,0,,
2020-01-17,10.0,10.0,10.0,10.0,0,,
2020-01-20,10.0,10.0,10.0,10.0,80,,
2020-01-21,10.0,10.0,10.0,10.0,0,,
2020-01-22,10.0,10.0,10.0,10.0,0,,
2020-01-30,10.0,10.0,10.0,10.0,0,,
2020-01-31,10.0,10.0,10.0,10.0,0,,
2020-02-03,10.0,10.0,10.0,10.0,0,,
2020-02-04,10.0,10.0,10.0,10.0,0,,
2020-02-05,10.0,10.0,10.0,10.0,0,9.95,9.9554
2020-02-06,10.0,10.0,10.0,10.0,0,9.96,9.9597
2020-02-07,10.0,10.0,10.0,10.0,0,9.97,9.9635
2020-02-10,10.0,10.0,10.0,10.0,0,9.98,9.967
2020-02-11,10.0,10.0,10.0,10.0,0,9.99,9.9701
2020-02-12,10.0,10.0,10.0,10.0,0,10.0,9.973
2020-02-13,10.0,10.0,10.0,10.0,500,10.0,9.9756
2020-02-14,10.0,10.0,10.0,10.0,0,10.0,9.9779
2020-02-17,10.0,10.0,10.0,10.0,0,10.0,9.98
2020-02-18,10.0,10.0,10.0,10.0,0,10.0,9.9819
2020-02-19,10.0,10.0,10.0,10.0,0,10.0,9.9836
2020-02-20,10.0,10.0,10.0,10.0,0,10.0,9.9852
2020-02-21,10.0,10.0,10.0,10.0,0,10.0,9.9866
2020-02-24,10.0,10.0,10.0,10.0,0,10.0,9.9879
2020-02-25,10.0,10.0,10.0,10.0,0,10.0,9.989
2020-02-26,10.0,10.0,10.0,10.0,0,10.0,9.9901
2020-02-27,10.0,10.0,10.0,10.0,0,10.0,9.991
2020-02-28,10.0,10.0,10.0,10.0,0,10.0,9.9919
2020-03-02,10.0,10.0,10.0,10.0,0,10.0,9.9926
2020-03-03,10.0,10.0,10.0,10.0,0,10.0,9.9933
2020-03-04,10.0,10.0,10.0,10.0,0,10.0,9.994
2020-03-05,11.5,11.5,11.5,11.5,400,10.075,10.1374
2020-03-06,11.5,11.5,11.5,11.5,0,10.15,10.2672
2020-03-09,11.5,11.5,11.5,11.5,0,10.225,10.3846
2020-03-10,11.5,11.5,11.5,11.5,0,10.3,10.4908
2020-03-11,11.5,11.5,11.5,11.5,0,10.375,10.5869
2020-03-12,11.5,11.5,11.5,11.5,0,10.45,10.6739
2020-03-13,11.5,11.5,11.5,11.5,0,10.525,10.7526
2020-03-16,11.5,11.5,11.5,11.5,0,10.6,10.8238
2020-03-17,11.5,11.5,11.5,11.5,0,10.675,10.8882
2020-03-18,11.5,11.5,11.5,11.5,0,10.75,10.9464
2020-03-19,11.5,11.5,11.5,11.5,0,10.825,10.9991
2020-03-20,11.5,11.5,11.5,11.5,0,10.9,11.0468
2020-03-23,11.5,11.5,11.5,11.5,0,10.975,11.09
2020-03-24,11.5,11.5,11.5,11.5,0,11.05,11.1291
2020-03-25,11.5,11.5,11.5,11.5,0,11.125,11.1644
2020-03-26,11.5,11.5,11.5,11.5,0,11.2,11.1963
2020-03-27,11.5,11.5,11.5,11.5,0,11.275,11.2253
2020-03-30,11.5,11.5,11.5,11.5,0,11.35,11.2514
2020-03-31,11.5,11.5,11.5,11.5,0,11.425,11.2751
2020-04-01,11.5,11.5,11.5,11.5,0,11.5,11.2965
2020-04-03,10.0,10.0,10.0,10.0,102,11.425,11.173
2020-04-06,10.0,10.0,10.0,10.0,200,11.35,11.0613
2020-04-07,10.0,10.0,10.0,10.0,0,11.275,10.9602
2020-04-08,10.0,10.0,10.0,10.0,0,11.2,10.8688
2020-04-09,10.0,10.0,10.0,10.0,0,11.125,10.7861
2020-04-10,10.0,10.0,10.0,10.0,0,11.05,10.7112
2020-04-13,10.0,10.0,10.0,10.0,0,10.975,10.6435
2020-04-14,10.0,10.0,10.0,10.0,100,10.9,10.5822
2020-04-15,10.0,10.0,10.0,10.0,0,10.825,10.5267
2020-04-16,10.0,10.0,10.0,10.0,4729,10.75,10.4766
2020-04-17,10.0,10.0,10.0,10.0,0,10.675,10.4312
2020-04-20,10.0,10.0,10.0,10.0,0,10.6,10.3901
2020-04-21,11.0,11.0,11.0,11.0,200,10.575,10.4482
2020-04-22,11.0,11.0,11.0,11.0,0,10.55,10.5008
2020-04-23,11.0,11.0,11.0,11.0,0,10.525,10.5483
2020-04-24,11.0,11.0,11.0,11.0,0,10.5,10.5913
2020-04-27,12.0,12.0,12.0,12.0,100,10.525,10.7255
2020-04-28,12.0,12.0,12.0,12.0,0,10.55,10.8469
2020-04-29,11.0,11.0,11.0,11.0,400,10.525,10.8614
2020-05-04,11.0,11.0,11.0,11.0,0,10.5,10.8746
2020-05-05,10.0,10.0,10.0,10.0,1500,10.5,10.7913
2020-05-06,10.0,10.0,10.0,10.0,800,10.5,10.716
2020-05-07,10.0,10.0,10.0,10.0,0,10.5,10.6478
2020-05-08,11.5,11.5,11.5,11.5,200,10.575,10.729
2020-05-11,11.5,11.5,11.5,11.5,49,10.65,10.8024
2020-05-12,11.5,11.5,11.5,11.5,0,10.725,10.8688
2020-05-13,11.5,11.5,11.5,11.5,0,10.8,10.9289
2020-05-14,11.5,11.5,11.5,11.5,10,10.875,10.9833
2020-05-15,11.5,11.5,11.5,11.5,0,10.95,11.0325
2020-05-18,11.5,11.5,11.5,11.5,0,11.025,11.0771
2020-05-19,11.5,11.5,11.5,11.5,0,11.1,11.1173
2020-05-20,11.0,11.0,11.0,11.0,200,11.15,11.1062
2020-05-21,11.0,11.0,11.0,11.0,0,11.15,11.096
2020-05-22,11.0,11.0,11.0,11.0,0,11.15,11.0869
2020-05-25,11.0,11.0,11.0,11.0,0,11.15,11.0786
2020-05-26,11.0,11.0,11.0,11.0,0,11.15,11.0711
2020-05-27,11.0,11.0,11.0,11.0,0,11.1,11.0644
2020-05-28,11.0,11.0,11.0,11.0,0,11.05,11.0582
2020-05-29,11.0,11.0,11.0,11.0,0,11.05,11.0527
2020-06-01,11.0,11.0,11.0,11.0,0,11.05,11.0477
2020-06-02,11.0,11.0,11.0,11.0,0,11.1,11.0431
2020-06-03,11.0,11.0,11.0,11.0,0,11.15,11.039
2020-06-04,11.0,11.0,11.0,11.0,0,11.2,11.0353
2020-06-05,11.0,11.0,11.0,11.0,10,11.175,11.0319
2020-06-08,11.0,11.0,11.0,11.0,0,11.15,11.0289
2020-06-09,11.0,11.0,11.0,11.0,0,11.125,11.0261
2020-06-10,11.0,11.0,11.0,11.0,0,11.1,11.0237
2020-06-11,11.0,11.0,11.0,11.0,0,11.075,11.0214
2020-06-12,9.4,9.4,9.4,9.4,1040,10.97,10.867
2020-06-15,9.4,9.4,9.4,9.4,0,10.865,10.7273
2020-06-16,9.4,9.4,9.4,9.4,0,10.76,10.6009
2020-06-17,9.4,9.4,9.4,9.4,0,10.68,10.4865
2020-06-18,9.4,9.4,9.4,9.4,0,10.6,10.383
2020-06-19,9.4,10.0,9.4,10.0,3448,10.55,10.3465
2020-06-22,9.8,10.0,10.0,10.0,0,10.5,10.3135
2020-06-23,9.8,10.0,10.0,10.0,0,10.45,10.2837
2020-06-24,9.8,10.0,10.0,10.0,0,10.4,10.2567
2020-06-25,9.8,10.0,10.0,10.0,0,10.35,10.2322
2020-06-26,11.0,11.0,11.0,11.0,300,10.35,10.3053
2020-06-29,11.0,11.0,11.0,11.0,0,10.35,10.3715
