time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,74.76,75.52,74.44,75.33,352700,,
2020-01-03,75.52,76.03,75.52,75.59,625390,,
2020-01-06,75.52,75.52,74.63,75.01,495910,,
2020-01-07,75.08,75.91,75.08,75.71,459520,,
2020-01-08,75.71,75.91,75.08,75.91,837710,,
2020-01-09,76.03,76.35,75.65,75.78,624130,,
2020-01-10,75.78,76.16,75.65,75.97,596280,,
2020-01-13,76.03,76.03,75.01,75.01,412880,,
2020-01-14,75.01,75.46,74.82,75.27,335180,,
2020-01-15,75.27,75.33,74.88,75.27,681740,,
2020-01-16,75.27,75.71,74.88,75.52,545090,,
2020-01-17,75.52,75.78,75.27,75.78,375030,,
2020-01-20,76.03,76.16,75.65,76.03,493600,,
2020-01-21,76.03,77.89,75.78,77.31,853940,,
2020-01-22,77.89,77.89,77.31,77.5,794440,,
2020-01-30,76.03,76.54,74.24,74.5,1533720,,
2020-01-31,74.37,74.5,69.32,69.32,1915820,,
2020-02-03,64.85,70.6,64.53,69.2,2289150,,
2020-02-04,70.22,70.28,66.51,67.09,1869040,,
2020-02-05,67.98,68.81,66.0,68.11,1545750,74.2605,73.2981
2020-02-06,67.73,69.39,67.66,68.69,2137020,73.9285,72.8592
2020-02-07,68.81,70.6,68.75,70.41,1523380,73.6695,72.626
2020-02-10,69.64,69.9,68.56,69.64,910510,73.401,72.3416
2020-02-11,69.64,69.64,68.37,68.49,885960,73.04,71.9748
2020-02-12,69.01,69.01,68.49,68.49,838170,72.669,71.6429
2020-02-13,68.49,68.69,68.11,68.3,713560,72.295,71.3245
2020-02-14,68.49,68.62,68.11,68.11,708080,71.902,71.0184
2020-02-17,68.24,68.75,68.24,68.69,623350,71.586,70.7966
2020-02-18,68.88,68.88,67.28,67.41,1078500,71.193,70.4741
2020-02-19,67.09,68.17,67.09,67.98,747510,70.8285,70.2366
2020-02-20,68.37,68.69,67.92,67.98,624620,70.4515,70.0216
2020-02-21,68.69,69.9,68.69,69.32,1484500,70.1285,69.9548
2020-02-24,68.37,68.88,67.73,67.98,954600,69.726,69.7667
2020-02-25,67.92,69.32,67.73,69.01,1200220,69.311,69.6947
2020-02-26,68.17,68.17,67.09,67.09,1346630,68.7905,69.4466
2020-02-27,67.09,68.62,66.32,68.62,863890,68.4965,69.3679
2020-02-28,67.28,67.79,65.81,66.77,1437350,68.369,69.1205
2020-03-02,66.77,67.41,66.32,66.77,909240,68.2475,68.8966
2020-03-03,67.41,67.86,66.83,67.28,741380,68.257,68.7426
2020-03-04,67.28,67.73,66.77,66.96,612800,68.1995,68.5729
2020-03-05,67.09,67.66,66.77,66.77,438020,68.1035,68.4012
2020-03-06,66.77,66.96,66.19,66.58,664920,67.912,68.2277
2020-03-09,63.89,65.49,61.98,61.98,2356790,67.529,67.6327
2020-03-10,61.34,65.04,61.34,64.98,1761300,67.3535,67.3801
2020-03-11,65.17,67.09,63.38,64.92,2292410,67.175,67.1458
2020-03-12,62.1,64.85,61.98,64.47,2431600,66.9835,66.8909
2020-03-13,60.83,64.28,60.83,63.32,2159130,66.744,66.5508
2020-03-16,63.32,63.38,61.66,61.98,1087080,66.4085,66.1155
2020-03-17,61.34,61.59,60.7,61.34,1788240,66.105,65.6607
2020-03-18,61.47,62.49,60.7,60.7,1322150,65.741,65.1883
2020-03-19,59.42,60.06,56.87,56.87,2774560,65.1855,64.3961
2020-03-20,56.87,58.34,56.87,57.5,2316660,64.5945,63.7393
2020-03-23,56.93,56.93,53.48,53.48,2187710,63.8695,62.7622
2020-03-24,53.48,56.42,53.48,55.01,1739530,63.1695,62.0239
2020-03-25,57.89,58.85,57.57,58.78,2993020,62.754,61.715
2020-03-26,58.97,60.7,56.74,60.06,2556450,62.326,61.5573
2020-03-27,60.06,60.89,58.78,60.12,2755950,61.9935,61.4205
2020-03-30,57.5,59.1,56.87,58.27,1559900,61.5685,61.1204
2020-03-31,58.97,59.68,57.5,58.14,1293290,61.1115,60.8366
2020-04-01,58.14,60.06,58.14,60.06,1155730,60.7665,60.7626
2020-04-03,60.38,61.02,60.06,60.7,1934430,60.463,60.7566
2020-04-06,61.66,61.72,60.7,61.47,1840550,60.2075,60.8246
2020-04-07,61.66,63.25,61.21,62.94,2273090,60.2555,61.0261
2020-04-08,62.62,63.25,61.66,63.25,904920,60.169,61.2379
2020-04-09,63.83,64.47,63.38,63.96,1220550,60.121,61.4971
2020-04-10,63.89,63.89,62.68,63.64,1111470,60.0795,61.7012
2020-04-13,63.64,63.77,62.81,63.32,1127670,60.0795,61.8554
2020-04-14,63.57,63.7,63.06,63.25,1059560,60.143,61.9882
2020-04-15,63.7,63.7,63.38,63.38,886130,60.245,62.1207
2020-04-16,63.45,63.57,63.19,63.45,1155660,60.3825,62.2473
2020-04-17,63.89,63.96,63.25,63.45,1767310,60.7115,62.3619
2020-04-20,63.89,64.66,63.89,63.89,1471680,61.031,62.5074
2020-04-21,63.89,63.89,61.21,61.85,2129360,61.4495,62.4448
2020-04-22,61.4,62.36,61.21,62.3,1085950,61.814,62.431
2020-04-23,63.0,63.0,61.27,61.4,1443180,61.945,62.3328
2020-04-24,63.45,65.68,62.3,65.68,3624460,62.226,62.6516
2020-04-27,68.05,68.05,65.68,65.68,1950560,62.504,62.94
2020-04-28,65.68,65.81,63.7,64.21,1401520,62.801,63.061
2020-04-29,63.57,63.83,63.25,63.25,1769090,63.0565,63.079
2020-05-04,61.98,63.25,61.98,62.36,1235970,63.1715,63.0105
2020-05-05,63.13,64.47,62.62,64.21,1163800,63.347,63.1247
2020-05-06,64.34,64.85,63.7,64.85,1105020,63.516,63.289
2020-05-07,64.92,66.32,64.85,66.07,1583260,63.6725,63.5539
2020-05-08,66.77,68.75,66.45,67.09,3184170,63.8645,63.8907
2020-05-11,67.09,69.32,66.9,69.32,1792200,64.1325,64.4077
2020-05-12,69.32,73.09,68.62,72.78,2944650,64.5895,65.2051
2020-05-13,72.33,73.48,70.28,72.65,2507730,65.056,65.9141
2020-05-14,71.94,72.78,71.88,72.2,1397750,65.5035,66.5128
2020-05-15,72.2,72.52,69.9,70.79,2320230,65.874,66.9202
2020-05-18,70.79,71.43,69.64,70.99,898370,66.251,67.3078
2020-05-19,72.71,73.09,71.75,71.94,1432400,66.6755,67.7489
2020-05-20,71.88,73.09,71.88,72.84,1199680,67.123,68.2338
2020-05-21,72.84,73.48,72.52,73.48,1582090,67.7045,68.7334
2020-05-22,73.09,73.35,72.52,73.09,1083060,68.244,69.1483
2020-05-25,73.16,75.14,72.9,75.14,1581860,68.931,69.719
2020-05-26,75.39,75.39,73.61,75.14,983170,69.404,70.2353
2020-05-27,75.2,75.27,73.48,73.48,1108350,69.794,70.5443
2020-05-28,73.48,74.12,73.35,73.35,1004500,70.251,70.8115
2020-05-29,72.52,73.61,72.52,73.48,1203680,70.7625,71.0656
2020-06-01,73.54,74.76,73.54,74.18,1047020,71.3535,71.3622
2020-06-02,74.18,74.76,73.93,74.12,891910,71.849,71.6249
2020-06-03,74.24,75.46,73.86,74.5,1322080,72.3315,71.8987
2020-06-04,74.76,75.33,74.76,75.27,735420,72.7915,72.2198
2020-06-05,75.27,76.16,74.56,76.16,1076470,73.245,72.595
2020-06-08,76.16,78.85,76.1,78.46,1419750,73.702,73.1536
2020-06-09,78.65,80.51,78.65,79.87,1704320,74.0565,73.7933
2020-06-10,80.51,80.51,78.46,78.59,1242180,74.3535,74.2501
2020-06-11,78.59,79.87,77.31,78.14,1098260,74.6505,74.6206
2020-06-12,75.39,76.54,73.22,75.39,2394330,74.8805,74.6938
2020-06-15,76.67,77.25,71.56,71.56,2058870,74.909,74.3954
2020-06-16,73.22,75.08,72.84,74.76,844740,75.05,74.4301
2020-06-17,74.76,74.88,73.73,73.86,513570,75.101,74.3758
2020-06-18,73.86,74.5,72.9,73.61,523160,75.1075,74.3029
2020-06-19,73.61,74.44,73.48,73.48,1251600,75.127,74.2245
2020-06-22,73.73,74.05,73.35,73.73,867620,75.0565,74.1774
2020-06-23,74.12,74.37,73.86,74.12,1063470,75.0055,74.1719
2020-06-24,74.37,75.65,74.37,74.82,750960,75.0725,74.2337
2020-06-25,74.44,74.44,73.67,74.37,572770,75.1235,74.2466
2020-06-26,74.5,74.82,73.73,74.05,495750,75.152,74.2279
2020-06-29,73.79,73.99,71.27,72.43,1519040,75.0645,74.0567
2020-06-30,73.14,73.47,72.43,72.95,797960,75.006,73.9513
2020-07-01,72.95,74.44,72.5,74.24,450020,74.993,73.9788
2020-07-02,74.31,74.37,73.14,73.14,720480,74.8865,73.8989
2020-07-03,73.14,73.92,73.01,73.86,729290,74.7715,73.8952
2020-07-06,74.11,75.47,73.99,75.41,1319980,74.619,74.0395
2020-07-07,75.41,75.8,75.09,75.09,1024960,74.38,74.1395
2020-07-08,75.09,75.09,74.76,74.76,551310,74.1885,74.1986
2020-07-09,74.76,75.54,74.76,75.02,1560410,74.0325,74.2768
2020-07-10,75.09,75.34,74.63,74.63,677180,73.9945,74.3105
2020-07-13,74.63,74.96,73.99,74.31,943850,74.132,74.3104
2020-07-14,73.92,74.57,73.73,74.57,731170,74.1225,74.3351
2020-07-15,75.09,75.73,75.09,75.09,1015000,74.184,74.407
2020-07-16,75.54,76.06,75.21,76.06,1112460,74.3065,74.5645
2020-07-17,75.54,75.99,75.41,75.6,583510,74.4125,74.6631
2020-07-20,75.09,75.54,74.76,74.89,474700,74.4705,74.6847
2020-07-21,74.89,75.28,74.18,75.09,1618780,74.519,74.7233
2020-07-22,74.7,75.09,73.86,73.86,1051320,74.471,74.6411
2020-07-23,73.92,74.18,73.47,73.92,766500,74.4485,74.5724
2020-07-24,73.92,73.92,70.55,71.91,2313270,74.3415,74.3188
2020-07-27,69.32,69.65,66.93,66.93,2553780,74.0665,73.6151
2020-07-28,67.32,71.14,67.32,71.14,1390810,73.976,73.3794
2020-07-29,70.23,70.49,68.29,68.61,1497450,73.6945,72.9252
2020-07-30,69.91,70.88,69.13,70.55,1028620,73.565,72.699
2020-07-31,69.26,70.68,68.94,69.26,839830,73.335,72.3715
2020-08-03,69.91,71.2,69.71,70.68,860190,73.0985,72.2104
2020-08-04,71.85,72.04,71.14,72.04,765170,72.946,72.1941
2020-08-05,72.17,73.53,71.2,72.56,888080,72.836,72.229
2020-08-06,72.69,75.09,72.56,74.31,1360570,72.8005,72.4272
2020-08-07,74.44,75.09,74.31,74.76,1148200,72.807,72.6493
2020-08-10,75.09,75.41,74.11,74.11,1412680,72.797,72.7885
2020-08-11,74.37,74.44,73.79,74.11,852250,72.774,72.9143
2020-08-12,74.11,75.02,74.11,74.83,1451960,72.761,73.0968
2020-08-13,75.34,75.47,75.02,75.34,1238980,72.725,73.3104
2020-08-14,75.47,76.38,75.21,75.54,1623690,72.722,73.5227
2020-08-17,75.73,76.32,74.63,75.73,906890,72.764,73.733
2020-08-18,75.73,75.99,74.83,74.83,604570,72.751,73.8374
2020-08-19,75.09,75.09,74.37,74.63,981840,72.7895,73.9129
2020-08-20,74.63,74.96,74.18,74.57,1254280,72.822,73.9755
2020-08-21,74.76,75.09,74.5,74.83,884990,72.968,74.0569
2020-08-24,75.41,76.12,75.09,75.41,1526860,73.392,74.1858
2020-08-25,75.73,76.32,75.6,75.93,1693030,73.6315,74.3519
2020-08-26,76.38,76.51,75.67,75.8,1922780,73.991,74.4898
2020-08-27,76.06,76.32,75.73,75.86,799570,74.2565,74.6203
2020-08-28,76.25,77.67,75.86,77.22,1341270,74.6545,74.8679
2020-08-31,77.87,78.32,77.35,78.32,1634090,75.0365,75.1967
2020-09-01,78.32,79.75,77.8,79.75,1448060,75.422,75.6303
2020-09-03,79.94,80.78,79.94,80.72,2016680,75.83,76.115
2020-09-04,80.07,80.91,79.68,80.91,1711980,76.16,76.5717
2020-09-07,80.91,83.11,80.85,81.56,2178380,76.5,77.0468
2020-09-08,81.49,82.46,80.2,80.39,1809570,76.814,77.3652
2020-09-09,79.29,80.2,78.65,80.13,1621920,77.115,77.6285
2020-09-10,80.91,81.17,80.52,80.72,848330,77.4095,77.9229
2020-09-11,80.39,80.72,79.94,80.13,956670,77.649,78.1331
2020-09-14,80.52,80.91,80.26,80.39,1194170,77.8915,78.3481
2020-09-15,80.39,80.85,80.26,80.78,882030,78.144,78.5797
2020-09-16,80.91,80.91,80.2,80.39,724510,78.422,78.7521
2020-09-17,80.26,81.43,80.26,80.59,1376570,78.72,78.9271
2020-09-18,80.65,81.82,80.39,81.82,1224030,79.0825,79.2026
2020-09-21,81.88,84.28,81.82,84.21,2614310,79.5515,79.6795
2020-09-22,84.21,84.28,83.18,83.89,1244610,79.9755,80.0805
2020-09-23,84.08,84.28,83.57,83.63,1042800,80.3605,80.4186
2020-09-24,82.98,83.44,82.4,82.4,1506610,80.6905,80.6073
2020-09-25,82.72,82.85,82.53,82.66,1011140,81.0305,80.8028
2020-09-28,82.85,83.24,82.4,83.05,2169790,81.322,81.0168
2020-09-29,86.8,88.85,85.22,86.17,5191680,81.7145,81.5076
2020-09-30,86.8,87.9,85.62,85.93,1432380,82.0235,81.9288
2020-10-01,86.01,86.33,85.14,86.25,1702500,82.3,82.3403
2020-10-02,86.41,86.88,84.2,85.22,2864220,82.5155,82.6146
2020-10-05,85.22,86.01,84.43,84.67,1427600,82.671,82.8103
2020-10-06,84.67,85.22,84.04,84.43,2044710,82.873,82.9646
2020-10-07,84.27,85.22,84.04,85.22,2153700,83.1275,83.1794
2020-10-08,85.14,85.14,84.27,84.35,1325810,83.309,83.2909
2020-10-09,84.43,84.51,84.12,84.2,980970,83.5125,83.3775
2020-10-12,84.35,85.06,84.12,84.43,1209250,83.7145,83.4777
2020-10-13,84.43,85.22,84.35,84.51,858550,83.901,83.576
2020-10-14,84.51,84.98,84.27,84.75,1299160,84.119,83.6878
2020-10-15,85.06,85.14,84.43,84.83,1854560,84.331,83.7966
2020-10-16,84.83,85.22,84.35,84.75,1637740,84.4775,83.8874
2020-10-19,84.75,85.46,84.75,84.98,1617740,84.516,83.9915
2020-10-20,84.67,84.91,83.64,83.8,2150990,84.5115,83.9732
2020-10-21,84.04,84.35,83.64,83.96,805550,84.528,83.972
2020-10-22,84.27,84.27,82.93,84.2,2422540,84.618,83.9937
2020-10-23,84.83,86.8,84.51,86.8,2946790,84.825,84.2609
2020-10-26,87.59,88.77,86.8,87.19,2313520,85.032,84.5399
2020-10-27,86.8,87.59,86.09,86.48,1721090,85.0475,84.7247
2020-10-28,85.85,86.01,84.04,84.75,2609180,84.9885,84.7271
2020-10-29,84.04,84.59,83.33,84.35,1723240,84.8935,84.6912
2020-10-30,84.43,85.22,83.09,85.22,2683620,84.8935,84.7415
2020-11-02,84.43,85.22,84.43,84.91,867340,84.9055,84.7576
2020-11-03,84.91,85.22,84.43,84.98,870230,84.933,84.7788
2020-11-04,85.22,86.33,84.75,85.22,1342780,84.933,84.8208
2020-11-05,85.22,86.33,85.22,85.85,1891270,85.008,84.9188
2020-11-06,86.17,86.33,85.22,85.85,1011020,85.0905,85.0075
2020-11-09,86.01,86.33,85.62,85.85,1066640,85.1615,85.0877
