time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,7.93,7.96,7.89,7.96,87990,,
2020-01-03,7.96,7.99,7.93,7.96,80360,,
2020-01-06,7.96,7.96,7.89,7.89,78960,,
2020-01-07,7.89,7.93,7.89,7.93,83830,,
2020-01-08,7.93,7.93,7.89,7.89,98120,,
2020-01-09,7.89,7.93,7.89,7.93,93460,,
2020-01-10,7.93,7.96,7.89,7.96,70780,,
2020-01-13,7.96,7.96,7.93,7.93,83610,,
2020-01-14,7.93,7.96,7.93,7.96,90350,,
2020-01-15,7.96,7.99,7.93,7.96,115190,,
2020-01-16,7.96,7.96,7.7,7.93,138560,,
2020-01-17,7.93,7.96,7.89,7.93,104120,,
2020-01-20,7.93,7.96,7.89,7.93,101890,,
2020-01-21,7.93,7.96,7.93,7.93,97440,,
2020-01-22,7.93,7.96,7.93,7.96,120210,,
2020-01-30,7.96,7.96,7.93,7.93,92370,,
2020-01-31,7.93,7.93,7.86,7.89,93700,,
2020-02-03,7.89,7.93,7.86,7.89,131620,,
2020-02-04,7.89,7.93,7.86,7.89,130420,,
2020-02-05,7.89,7.93,7.86,7.89,124620,7.927,7.9247
2020-02-06,7.89,7.96,7.89,7.93,149550,7.9255,7.9252
2020-02-07,7.93,7.96,7.89,7.93,108230,7.924,7.9257
2020-02-10,7.93,7.93,7.86,7.89,113300,7.924,7.9223
2020-02-11,7.89,7.96,7.89,7.89,119690,7.922,7.9192
2020-02-12,7.89,7.96,7.86,7.93,105800,7.924,7.9202
2020-02-13,7.93,7.93,7.89,7.93,93230,7.924,7.9212
2020-02-14,7.93,7.96,7.86,7.93,140400,7.9225,7.922
2020-02-17,7.93,7.96,7.89,7.93,139760,7.9225,7.9228
2020-02-18,7.93,7.96,7.89,7.89,140360,7.919,7.9196
2020-02-19,7.89,7.89,7.86,7.89,114580,7.9155,7.9168
2020-02-20,7.89,7.93,7.72,7.72,136800,7.905,7.8981
2020-02-21,7.72,7.89,7.72,7.86,113380,7.9015,7.8945
2020-02-24,7.86,7.86,7.82,7.86,101900,7.898,7.8912
2020-02-25,7.86,7.89,7.82,7.89,96820,7.896,7.8911
2020-02-26,7.89,7.89,7.86,7.89,94750,7.8925,7.891
2020-02-27,7.89,7.93,7.89,7.89,74690,7.8905,7.8909
2020-02-28,7.89,7.89,7.86,7.89,94210,7.8905,7.8908
2020-03-02,7.89,7.89,7.86,7.89,63600,7.8905,7.8907
2020-03-03,7.89,7.93,7.86,7.89,58370,7.8905,7.8906
2020-03-04,7.89,7.93,7.89,7.93,55090,7.8925,7.8944
2020-03-05,7.93,7.96,7.93,7.93,59930,7.8925,7.8978
2020-03-06,7.93,7.96,7.89,7.93,59950,7.8925,7.9009
2020-03-09,7.93,7.93,7.86,7.89,61280,7.8925,7.8998
2020-03-10,7.89,7.89,7.86,7.89,51450,7.8925,7.8989
