time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,3.26,3.38,3.26,3.35,26320,,
2020-01-03,3.28,3.36,3.28,3.36,15690,,
2020-01-06,3.36,3.36,3.26,3.33,37690,,
2020-01-07,3.26,3.33,3.25,3.27,48440,,
2020-01-08,3.36,3.36,3.23,3.23,12920,,
2020-01-09,3.3,3.3,3.19,3.26,16850,,
2020-01-10,3.26,3.26,3.21,3.26,4610,,
2020-01-13,3.22,3.26,3.2,3.26,18310,,
2020-01-14,3.26,3.26,3.26,3.26,45640,,
2020-01-15,3.26,3.26,3.21,3.26,3050,,
2020-01-16,3.21,3.3,3.21,3.22,11260,,
2020-01-17,3.34,3.34,3.18,3.26,15150,,
2020-01-20,3.26,3.26,3.05,3.24,57530,,
2020-01-21,3.19,3.3,3.19,3.28,16730,,
2020-01-22,3.26,3.38,3.26,3.3,5110,,
2020-01-30,3.26,3.38,3.1,3.22,62160,,
2020-01-31,3.21,3.21,3.14,3.18,19110,,
2020-02-03,3.35,3.35,3.02,3.18,17680,,
2020-02-04,3.18,3.18,3.1,3.11,26720,,
2020-02-05,3.11,3.32,3.11,3.21,7000,3.252,3.2445
2020-02-06,3.05,3.22,3.05,3.21,8300,3.245,3.2412
2020-02-07,3.26,3.26,3.14,3.24,27960,3.239,3.2411
2020-02-10,3.24,3.35,3.24,3.24,16340,3.2345,3.241
2020-02-11,3.12,3.33,3.12,3.3,2640,3.236,3.2466
2020-02-12,3.26,3.34,3.22,3.32,12800,3.2405,3.2536
2020-02-13,3.32,3.32,3.2,3.2,1110,3.2375,3.2485
2020-02-14,3.12,3.35,3.12,3.18,7400,3.2335,3.242
2020-02-17,3.18,3.34,3.15,3.3,8260,3.2355,3.2475
2020-02-18,3.2,3.35,3.2,3.34,22190,3.2395,3.2563
2020-02-19,3.34,3.34,3.2,3.31,2350,3.242,3.2614
2020-02-20,3.31,3.33,3.2,3.28,14480,3.245,3.2632
2020-02-21,3.34,3.34,3.12,3.27,44230,3.2455,3.2638
2020-02-24,3.26,3.26,3.1,3.2,17460,3.2435,3.2578
2020-02-25,3.2,3.2,3.1,3.2,9570,3.2395,3.2523
2020-02-26,3.19,3.21,3.1,3.12,17910,3.2305,3.2397
2020-02-27,3.19,3.19,3.11,3.17,4780,3.228,3.233
2020-02-28,3.18,3.18,3.1,3.17,15780,3.2275,3.227
2020-03-02,3.19,3.21,3.18,3.18,5130,3.2275,3.2226
2020-03-03,3.14,3.19,2.96,3.17,25200,3.2305,3.2175
2020-03-04,3.17,3.17,3.17,3.17,760,3.2285,3.213
2020-03-05,3.18,3.19,3.12,3.19,8540,3.2275,3.2108
2020-03-06,3.18,3.18,3.1,3.17,6240,3.224,3.2069
2020-03-09,3.03,3.17,2.95,3.04,74460,3.214,3.191
2020-03-10,3.04,3.11,2.86,3.08,35390,3.203,3.1805
2020-03-11,3.04,3.08,3.04,3.08,155560,3.191,3.1709
2020-03-12,3.05,3.06,2.86,3.02,237970,3.182,3.1565
2020-03-13,2.82,3.02,2.82,3.02,59010,3.174,3.1435
2020-03-16,3.02,3.1,3.02,3.06,29570,3.162,3.1356
2020-03-17,3.18,3.18,3.05,3.06,4730,3.148,3.1284
2020-03-18,3.06,3.17,3.06,3.09,83920,3.137,3.1247
2020-03-19,3.09,3.09,2.89,3.05,6080,3.1255,3.1176
2020-03-20,3.05,3.05,3.0,3.0,13210,3.112,3.1064
2020-03-23,3.0,3.0,2.8,2.8,31570,3.092,3.0772
2020-03-24,2.6,2.86,2.6,2.84,64080,3.074,3.0546
2020-03-25,2.94,2.99,2.72,2.99,12420,3.0675,3.0485
2020-03-26,2.99,2.99,2.98,2.98,2820,3.058,3.042
2020-03-27,2.78,2.9,2.77,2.87,22130,3.043,3.0256
2020-03-30,2.69,2.98,2.68,2.7,148070,3.019,2.9946
2020-03-31,2.86,2.89,2.7,2.86,57310,3.0035,2.9818
2020-04-01,2.72,2.94,2.72,2.93,8210,2.9915,2.9768
2020-04-03,2.86,3.02,2.86,2.99,24110,2.9815,2.9781
2020-04-06,3.02,3.1,3.02,3.1,39760,2.978,2.9897
2020-04-07,3.18,3.18,2.92,3.1,19960,2.981,3.0002
2020-04-08,3.1,3.14,3.02,3.09,34560,2.9815,3.0087
2020-04-09,3.17,3.18,3.06,3.14,27660,2.9845,3.0212
2020-04-10,3.02,3.17,3.02,3.1,34690,2.9885,3.0287
2020-04-13,2.99,3.21,2.99,3.1,9480,2.9925,3.0355
2020-04-14,3.2,3.2,3.06,3.1,41560,2.9945,3.0417
2020-04-15,3.1,3.22,3.06,3.07,61030,2.995,3.0444
2020-04-16,3.07,3.18,3.02,3.03,23700,2.992,3.043
2020-04-17,3.14,3.14,3.13,3.14,1180,2.9965,3.0522
2020-04-20,3.14,3.14,3.06,3.12,24410,3.0025,3.0587
2020-04-21,3.12,3.12,2.96,3.01,130950,3.013,3.0541
2020-04-22,2.9,3.03,2.9,3.03,27530,3.0225,3.0518
2020-04-23,3.04,3.04,2.99,2.99,126280,3.0225,3.0459
2020-04-24,3.02,3.04,3.02,3.04,159830,3.0255,3.0453
2020-04-27,3.1,3.14,2.98,3.08,199670,3.036,3.0486
2020-04-28,3.1,3.1,3.06,3.1,23120,3.056,3.0535
2020-04-29,3.11,3.12,3.06,3.07,79660,3.0665,3.0551
2020-05-04,2.98,3.06,2.94,2.94,101460,3.067,3.0441
2020-05-05,2.94,3.01,2.94,3.0,193900,3.0675,3.0399
2020-05-06,2.95,3.1,2.95,2.95,118370,3.06,3.0314
2020-05-07,2.94,3.02,2.94,2.95,130950,3.0525,3.0236
2020-05-08,3.14,3.15,3.02,3.13,362870,3.0545,3.0337
2020-05-11,3.2,3.23,2.94,2.94,137170,3.0445,3.0248
2020-05-12,3.1,3.14,3.01,3.14,190390,3.0465,3.0358
2020-05-13,3.14,3.26,3.03,3.17,111660,3.05,3.0486
