time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,14.16,14.16,13.31,13.31,70,,
2020-01-03,13.25,13.25,13.25,13.25,10,,
2020-01-06,13.25,13.25,13.25,13.25,10,,
2020-01-07,12.46,12.49,12.46,12.46,3210,,
2020-01-08,12.43,12.46,12.43,12.46,5550,,
2020-01-09,13.31,13.31,12.46,12.46,20,,
2020-01-10,12.43,12.43,12.37,12.37,60,,
2020-01-13,13.22,13.22,13.22,13.22,10,,
2020-01-14,13.02,13.02,12.43,12.43,40,,
2020-01-15,12.03,12.32,11.89,12.32,960,,
2020-01-16,12.97,12.97,11.47,11.47,130,,
2020-01-17,12.26,12.26,11.27,11.27,460,,
2020-01-20,12.03,12.03,10.56,12.0,4640,,
2020-01-21,12.83,12.83,12.12,12.12,720,,
2020-01-22,12.94,12.94,11.33,12.94,730,,
2020-01-30,13.82,13.82,13.82,13.82,10,,
2020-01-31,14.72,14.72,12.91,13.59,150,,
2020-02-03,12.66,13.0,12.66,13.0,70,,
2020-02-04,13.9,13.9,13.79,13.79,80,,
2020-02-05,13.48,13.48,12.83,12.83,310,12.718,12.8841
2020-02-06,13.31,13.31,13.28,13.31,230,12.718,12.9247
2020-02-07,13.31,13.31,13.31,13.31,0,12.721,12.9614
2020-02-10,12.74,12.74,12.74,12.74,80,12.6955,12.9403
2020-02-11,13.02,13.02,12.97,13.02,140,12.7235,12.9479
2020-02-12,12.97,12.97,12.97,12.97,160,12.749,12.95
2020-02-13,13.53,13.53,12.97,12.97,160,12.7745,12.9519
2020-02-14,13.82,13.82,13.45,13.45,140,12.8285,12.9993
2020-02-17,13.45,13.45,13.45,13.45,120,12.84,13.0423
2020-02-18,14.1,14.1,14.1,14.1,10,12.9235,13.143
2020-02-19,14.1,14.1,14.1,14.1,10,13.0125,13.2341
2020-02-20,14.1,14.1,14.1,14.1,0,13.144,13.3166
2020-02-21,14.1,14.1,14.1,14.1,0,13.2855,13.3912
2020-02-24,13.31,13.31,13.14,13.14,20,13.3425,13.3673
2020-02-25,13.53,13.53,13.25,13.31,390,13.402,13.3618
2020-02-26,13.31,13.31,13.31,13.31,0,13.4205,13.3569
2020-02-27,13.31,13.31,13.31,13.31,0,13.395,13.3524
2020-02-28,12.4,13.19,12.4,12.4,370,13.3355,13.2617
2020-03-02,13.02,13.02,11.89,13.02,280,13.3365,13.2387
2020-03-03,13.59,13.59,12.12,12.46,3670,13.27,13.1645
2020-03-04,13.31,13.31,12.46,12.46,4580,13.2515,13.0974
2020-03-05,13.25,13.31,12.74,12.74,2360,13.223,13.0634
2020-03-06,13.56,13.56,12.85,12.85,970,13.2,13.0431
2020-03-09,12.06,12.85,11.98,12.68,9810,13.197,13.0085
2020-03-10,12.74,12.74,12.74,12.74,50,13.183,12.9829
2020-03-11,13.62,13.62,13.62,13.62,50,13.2155,13.0436
2020-03-12,12.68,12.97,12.68,12.97,660,13.2155,13.0366
2020-03-13,12.97,12.97,12.97,12.97,0,13.1915,13.0302
2020-03-16,13.02,13.02,12.09,13.0,950,13.169,13.0274
2020-03-17,13.0,13.0,13.0,13.0,0,13.114,13.0248
2020-03-18,13.25,13.25,12.12,12.74,650,13.046,12.9976
2020-03-19,12.57,12.57,12.57,12.57,100,12.9695,12.9569
2020-03-20,11.72,12.97,11.69,12.8,1250,12.9045,12.942
2020-03-23,11.95,13.14,11.95,12.97,260,12.896,12.9446
2020-03-24,12.97,12.97,12.97,12.97,0,12.879,12.9471
2020-03-25,12.06,12.06,12.06,12.06,140,12.8165,12.8626
2020-03-26,12.68,12.68,12.34,12.34,80,12.768,12.8128
2020-03-27,12.68,12.68,11.5,12.43,130,12.7695,12.7763
2020-03-30,11.58,12.37,11.58,12.23,980,12.73,12.7243
2020-03-31,12.23,12.23,11.41,12.17,2380,12.7155,12.6715
2020-04-01,11.61,12.17,11.61,12.17,170,12.701,12.6238
2020-04-03,11.89,12.06,11.89,12.06,420,12.667,12.5701
2020-04-06,12.06,12.06,12.06,12.06,0,12.6275,12.5215
2020-04-07,11.24,12.0,11.24,12.0,660,12.5935,12.4718
2020-04-08,12.46,12.46,11.89,12.17,440,12.565,12.4431
2020-04-09,11.38,12.17,11.38,12.0,50,12.484,12.4009
2020-04-10,12.43,12.43,11.89,11.98,70,12.4345,12.3608
2020-04-13,12.46,12.46,12.46,12.46,10,12.409,12.3702
2020-04-14,11.61,12.4,11.61,12.0,860,12.359,12.335
2020-04-15,12.43,12.83,12.43,12.83,80,12.3505,12.3821
2020-04-16,11.95,12.46,11.95,12.37,670,12.332,12.381
2020-04-17,12.34,13.22,12.34,13.22,620,12.3645,12.4609
2020-04-20,13.02,14.13,13.02,14.04,960,12.4265,12.6113
2020-04-21,13.59,13.59,13.48,13.56,260,12.456,12.7016
2020-04-22,13.56,13.56,13.56,13.56,0,12.4855,12.7834
2020-04-23,14.44,14.44,14.44,14.44,70,12.6045,12.9412
2020-04-24,13.45,14.44,13.45,14.44,4200,12.7095,13.0839
2020-04-27,14.44,14.44,14.44,14.44,0,12.81,13.2131
2020-04-28,14.61,15.43,14.16,14.44,710,12.9205,13.3299
2020-04-29,14.38,14.38,13.84,13.84,1070,13.004,13.3785
2020-05-04,14.38,14.81,14.38,14.81,140,13.136,13.5148
2020-05-05,14.04,14.04,13.79,13.79,1210,13.2225,13.541
2020-05-06,13.79,13.79,13.73,13.73,30,13.306,13.559
2020-05-07,13.73,13.73,13.59,13.59,70,13.3855,13.562
2020-05-08,13.56,13.56,13.56,13.56,30,13.455,13.5618
2020-05-11,13.56,13.56,13.56,13.56,0,13.533,13.5616
2020-05-12,14.5,14.5,14.5,14.5,10,13.659,13.651
2020-05-13,14.38,14.38,14.38,14.38,10,13.755,13.7204
