time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,4.45,4.45,4.45,4.45,0,,
2020-01-03,4.45,4.45,4.45,4.45,0,,
2020-01-06,4.45,4.45,4.45,4.45,0,,
2020-01-07,4.45,4.45,4.45,4.45,0,,
2020-01-08,4.45,4.45,4.45,4.45,0,,
2020-01-09,4.45,4.45,4.45,4.45,400,,
2020-01-10,4.45,4.45,4.45,4.45,0,,
2020-01-13,4.45,4.45,4.45,4.45,0,,
2020-01-14,4.45,4.45,4.45,4.45,0,,
2020-01-15,4.45,4.45,4.45,4.45,0,,
2020-01-16,4.45,4.45,4.45,4.45,0,,
2020-01-17,4.45,4.45,4.45,4.45,0,,
2020-01-20,4.45,4.45,4.45,4.45,0,,
2020-01-21,4.45,4.45,4.45,4.45,0,,
2020-01-22,4.45,4.45,4.45,4.45,0,,
2020-01-30,4.45,4.45,4.45,4.45,0,,
2020-01-31,4.45,4.45,4.45,4.45,0,,
2020-02-03,4.41,4.41,4.41,4.41,1600,,
2020-02-04,4.41,4.41,4.41,4.41,0,,
2020-02-05,4.01,4.01,4.01,4.01,1000,4.424,4.4015
2020-02-06,4.01,4.01,4.01,4.01,0,4.402,4.3642
2020-02-07,4.01,4.01,4.01,4.01,0,4.38,4.3305
2020-02-10,4.01,4.01,4.01,4.01,0,4.358,4.3
2020-02-11,4.01,4.01,4.01,4.01,0,4.336,4.2724
2020-02-12,4.01,4.01,4.01,4.01,0,4.314,4.2474
2020-02-13,4.01,4.01,4.01,4.01,0,4.292,4.2248
2020-02-14,4.01,4.01,4.01,4.01,0,4.27,4.2043
2020-02-17,4.01,4.01,4.01,4.01,0,4.248,4.1858
2020-02-18,4.01,4.01,4.01,4.01,0,4.226,4.1691
2020-02-19,4.01,4.01,4.01,4.01,0,4.204,4.1539
2020-02-20,4.19,4.19,4.14,4.19,21400,4.191,4.1574
2020-02-21,4.19,4.19,4.19,4.19,0,4.178,4.1605
2020-02-24,4.45,4.45,4.45,4.45,2000,4.178,4.188
2020-02-25,4.45,4.45,4.45,4.45,0,4.178,4.213
2020-02-26,4.45,4.45,4.45,4.45,0,4.178,4.2356
2020-02-27,4.45,4.45,4.45,4.45,0,4.178,4.256
2020-02-28,4.45,4.45,4.45,4.45,0,4.178,4.2745
2020-03-02,4.45,4.45,4.45,4.45,0,4.18,4.2912
2020-03-03,4.45,4.45,4.45,4.45,0,4.182,4.3063
2020-03-04,4.05,4.63,4.05,4.63,18100,4.213,4.3371
2020-03-05,4.63,4.63,4.63,4.63,0,4.244,4.365
2020-03-06,4.63,4.63,4.63,4.63,0,4.275,4.3903
2020-03-09,4.63,4.63,4.63,4.63,0,4.306,4.4131
2020-03-10,4.36,4.5,4.36,4.5,200,4.3305,4.4214
2020-03-11,4.5,4.5,4.5,4.5,0,4.355,4.4289
2020-03-12,4.5,4.5,4.5,4.5,0,4.3795,4.4356
2020-03-13,4.5,4.5,4.5,4.5,0,4.404,4.4418
2020-03-16,4.5,4.5,4.5,4.5,0,4.4285,4.4473
2020-03-17,4.5,4.5,4.5,4.5,0,4.453,4.4523
2020-03-18,4.59,4.59,4.59,4.59,100,4.482,4.4654
2020-03-19,4.59,4.59,4.59,4.59,0,4.502,4.4773
2020-03-20,4.59,4.59,4.59,4.59,0,4.522,4.488
2020-03-23,4.59,4.59,4.59,4.59,0,4.529,4.4977
