time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,28.82,28.82,27.02,27.02,1200,,
2020-01-03,27.38,27.47,27.38,27.47,700,,
2020-01-06,26.57,27.02,26.11,26.11,1500,,
2020-01-07,27.38,27.38,27.38,27.38,110,,
2020-01-08,27.38,27.38,27.38,27.38,0,,
2020-01-09,27.38,27.38,27.38,27.38,0,,
2020-01-10,24.94,24.94,24.85,24.85,300,,
2020-01-13,26.93,26.93,26.93,26.93,100,,
2020-01-14,26.84,26.84,26.84,26.84,602,,
2020-01-15,24.76,26.57,24.76,26.57,700,,
2020-01-16,25.03,26.57,26.57,26.57,0,,
2020-01-17,24.67,25.75,24.67,25.75,200,,
2020-01-20,25.21,25.21,25.21,25.21,1000,,
2020-01-21,25.93,25.93,25.93,25.93,109,,
2020-01-22,25.84,26.66,25.84,26.66,200,,
2020-01-30,25.66,25.66,25.66,25.66,2205,,
2020-01-31,25.66,25.66,25.66,25.66,0,,
2020-02-03,22.6,22.6,22.6,22.6,1000,,
2020-02-04,22.6,25.3,21.52,25.3,1400,,
2020-02-05,25.57,25.57,25.57,25.57,100,26.142,25.9053
2020-02-06,21.88,24.04,21.79,24.04,4400,25.993,25.7277
2020-02-07,25.03,25.03,25.03,25.03,100,25.871,25.6612
2020-02-10,25.03,25.03,25.03,25.03,0,25.817,25.6011
2020-02-11,21.97,21.97,21.97,21.97,500,25.5465,25.2553
2020-02-12,24.04,24.04,22.06,22.06,500,25.2805,24.951
2020-02-13,22.96,22.96,22.96,22.96,400,25.0595,24.7614
2020-02-14,22.6,22.96,22.6,22.96,2500,24.965,24.5898
2020-02-17,22.69,22.96,22.96,22.96,0,24.7665,24.4346
2020-02-18,22.69,22.69,22.69,22.69,400,24.559,24.2684
2020-02-19,22.69,22.69,22.69,22.69,0,24.365,24.1181
2020-02-20,23.86,23.86,23.86,23.86,101,24.2295,24.0935
2020-02-21,22.51,22.51,22.51,22.51,800,24.0675,23.9427
2020-02-24,22.51,22.51,22.51,22.51,0,23.9325,23.8063
2020-02-25,22.51,22.51,22.51,22.51,0,23.7615,23.6828
2020-02-26,22.51,22.51,22.51,22.51,0,23.554,23.5711
2020-02-27,19.99,22.42,19.99,22.42,600,23.392,23.4615
2020-02-28,20.44,22.42,22.42,22.42,0,23.23,23.3623
2020-03-02,22.42,22.42,19.27,21.43,3300,23.1715,23.1783
2020-03-03,22.24,22.6,22.24,22.24,1500,23.0185,23.0889
