time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,3.93,3.93,3.93,3.93,589,,
2020-01-03,4.33,4.33,3.93,3.93,13253,,
2020-01-06,3.74,4.0,3.74,4.0,1279,,
2020-01-07,4.39,4.39,4.39,4.39,5100,,
2020-01-08,4.59,4.79,4.59,4.79,14700,,
2020-01-09,4.92,5.24,4.92,5.05,3000,,
2020-01-10,5.24,5.51,5.24,5.51,1000,,
2020-01-13,5.7,6.03,5.7,6.03,4400,,
2020-01-14,6.1,6.62,5.9,6.62,14200,,
2020-01-15,6.62,6.62,6.62,6.62,28000,,
2020-01-16,6.62,6.62,6.62,6.62,0,,
2020-01-17,6.62,6.62,6.62,6.62,0,,
2020-01-20,6.62,6.62,6.62,6.62,5400,,
2020-01-21,6.62,6.62,6.62,6.62,0,,
2020-01-22,6.69,6.69,6.69,6.69,902,,
2020-01-30,6.69,7.08,6.69,6.88,13800,,
2020-01-31,6.88,6.88,6.88,6.88,0,,
2020-02-03,6.88,6.88,6.88,6.88,0,,
2020-02-04,7.47,7.47,6.95,6.95,3101,,
2020-02-05,6.95,6.95,6.95,6.95,0,5.929,6.0854
2020-02-06,6.95,6.95,6.95,6.95,10,6.08,6.1678
2020-02-07,6.29,6.29,6.29,6.29,1200,6.198,6.1794
2020-02-10,6.29,6.29,6.29,6.29,1176,6.3125,6.1899
2020-02-11,6.29,6.29,6.29,6.29,0,6.4075,6.1995
2020-02-12,6.88,6.88,6.88,6.88,1316,6.512,6.2643
2020-02-13,6.88,6.88,6.88,6.88,0,6.6035,6.3229
2020-02-14,6.88,6.88,6.88,6.88,0,6.672,6.376
2020-02-17,6.23,7.14,6.23,6.36,4800,6.6885,6.3745
2020-02-18,6.29,6.36,6.29,6.36,2400,6.6755,6.3731
2020-02-19,6.75,6.95,6.75,6.95,1900,6.692,6.428
2020-02-20,6.95,6.95,6.95,6.95,0,6.7085,6.4777
2020-02-21,6.55,6.55,6.55,6.55,3200,6.705,6.4846
2020-02-24,6.69,7.21,6.69,7.21,10900,6.7345,6.5537
2020-02-25,6.49,6.49,6.49,6.49,201,6.728,6.5476
2020-02-26,6.49,6.49,6.49,6.49,25,6.718,6.5421
2020-02-27,7.08,7.08,7.08,7.08,4750,6.728,6.5934
2020-02-28,7.08,7.08,7.08,7.08,0,6.738,6.6397
2020-03-02,7.08,7.08,7.08,7.08,925,6.748,6.6816
2020-03-03,7.01,7.01,7.01,7.01,1010,6.751,6.7129
2020-03-04,7.01,7.01,7.01,7.01,2900,6.754,6.7412
2020-03-05,7.01,7.01,7.01,7.01,50,6.757,6.7668
2020-03-06,7.01,7.67,7.01,7.67,21264,6.826,6.8528
2020-03-09,7.67,7.67,7.01,7.01,1100,6.862,6.8678
2020-03-10,6.55,6.55,6.36,6.36,9001,6.8655,6.8194
2020-03-11,5.83,5.83,5.77,5.77,1000,6.81,6.7195
2020-03-12,5.9,5.9,5.9,5.9,10500,6.761,6.6414
2020-03-13,5.9,5.9,5.9,5.9,613,6.712,6.5708
2020-03-16,6.49,6.49,6.36,6.36,3200,6.712,6.5508
2020-03-17,6.88,6.88,6.88,6.88,100,6.738,6.5821
2020-03-18,6.23,6.23,6.23,6.23,400,6.702,6.5486
2020-03-19,6.23,6.23,6.23,6.23,0,6.666,6.5182
2020-03-20,6.23,6.23,5.7,5.7,4602,6.6235,6.4403
2020-03-23,5.7,6.23,5.7,6.23,666,6.5745,6.4203
2020-03-24,5.7,6.75,5.7,6.75,700,6.5875,6.4517
2020-03-25,6.29,6.75,6.29,6.75,3000,6.6005,6.4801
2020-03-26,6.75,6.75,6.75,6.75,102,6.584,6.5058
2020-03-27,6.75,6.75,6.75,6.75,0,6.5675,6.5291
2020-03-30,6.17,6.17,6.17,6.17,600,6.522,6.4949
2020-03-31,6.75,6.75,5.66,6.75,700,6.509,6.5192
2020-04-01,6.75,6.75,6.75,6.75,0,6.496,6.5411
2020-04-03,7.33,7.33,7.33,7.33,109,6.512,6.6163
2020-04-06,7.33,7.33,7.33,7.33,0,6.495,6.6842
2020-04-07,7.33,7.33,7.33,7.33,1,6.511,6.7457
2020-04-08,7.33,7.33,7.33,7.33,40,6.5595,6.8014
2020-04-09,7.33,7.33,7.33,7.33,20,6.6375,6.8517
2020-04-10,7.33,7.33,7.33,7.33,1000,6.709,6.8973
2020-04-13,7.19,7.19,6.9,6.9,6000,6.759,6.8975
2020-04-14,6.9,6.9,6.9,6.9,3100,6.786,6.8978
2020-04-15,6.9,6.9,6.9,6.9,0,6.787,6.898
2020-04-16,6.9,6.9,6.9,6.9,0,6.8205,6.8982
2020-04-17,7.19,7.19,6.24,6.75,8413,6.8465,6.8841
2020-04-20,6.75,6.75,6.75,6.75,0,6.899,6.8713
2020-04-21,6.9,6.9,6.9,6.9,18600,6.9325,6.874
2020-04-22,6.9,6.9,6.46,6.46,2800,6.918,6.8346
2020-04-23,6.46,6.46,6.46,6.46,0,6.9035,6.7989
2020-04-24,7.04,7.04,7.04,7.04,1180,6.918,6.8219
2020-04-27,7.04,7.04,7.04,7.04,0,6.9325,6.8427
2020-04-28,7.04,7.04,7.04,7.04,0,6.976,6.8615
2020-04-29,6.61,6.97,6.61,6.61,300,6.969,6.8375
2020-05-04,6.1,6.1,6.1,6.1,136,6.9365,6.7673
2020-05-05,6.1,6.61,6.1,6.61,3024,6.9005,6.7523
2020-05-06,6.61,6.61,6.61,6.61,0,6.8645,6.7387
2020-05-07,7.26,7.26,7.26,7.26,410,6.861,6.7884
2020-05-08,6.9,7.26,6.9,7.26,2960,6.8575,6.8333
2020-05-11,7.26,7.26,7.26,7.26,1,6.854,6.8739
2020-05-12,6.53,7.26,6.53,7.26,4210,6.8505,6.9107
2020-05-13,6.53,7.26,6.53,7.26,2502,6.8685,6.944
2020-05-14,6.9,6.9,6.9,6.9,436,6.8685,6.9398
2020-05-15,6.9,6.9,6.9,6.9,0,6.8685,6.936
2020-05-18,6.9,6.9,6.9,6.9,20,6.8685,6.9326
2020-05-19,6.53,6.9,6.53,6.9,852,6.876,6.9295
2020-05-20,7.19,7.26,7.19,7.26,1217,6.9015,6.9609
2020-05-21,7.26,7.26,7.26,7.26,0,6.9195,6.9894
2020-05-22,7.26,7.26,7.26,7.26,100,6.9595,7.0152
2020-05-25,7.26,7.26,7.26,7.26,1018,6.9995,7.0385
2020-05-26,7.26,7.26,7.26,7.26,0,7.0105,7.0596
2020-05-27,7.26,7.26,7.26,7.26,0,7.0215,7.0787
2020-05-28,7.26,7.26,7.26,7.26,0,7.0325,7.096
2020-05-29,7.26,7.26,7.26,7.26,1,7.065,7.1116
2020-06-01,7.26,7.26,7.26,7.26,500,7.123,7.1257
2020-06-02,7.26,7.26,7.26,7.26,84,7.1555,7.1385
2020-06-03,6.53,6.53,6.53,6.53,153,7.1515,7.0806
2020-06-04,6.53,6.53,6.53,6.53,100,7.115,7.0281
2020-06-05,6.53,6.53,6.53,6.53,0,7.0785,6.9807
2020-06-08,6.9,6.9,6.68,6.68,5632,7.0495,6.952
2020-06-09,6.75,6.75,6.75,6.75,1114,7.024,6.9328
2020-06-10,6.75,6.75,6.75,6.75,74,6.9985,6.9154
2020-06-11,6.75,6.75,6.75,6.75,230,6.991,6.8996
2020-06-12,6.75,6.75,6.75,6.75,200,6.9835,6.8854
2020-06-15,6.75,6.75,6.75,6.75,0,6.976,6.8725
2020-06-16,6.75,6.75,6.75,6.75,85,6.9685,6.8608
2020-06-17,6.75,6.75,6.75,6.75,303,6.943,6.8503
2020-06-18,6.75,6.75,6.75,6.75,20,6.9175,6.8407
2020-06-19,6.75,6.75,6.75,6.75,0,6.892,6.8321
2020-06-22,6.75,6.75,6.75,6.75,100,6.8665,6.8243
2020-06-23,6.75,6.75,6.75,6.75,50,6.841,6.8172
2020-06-24,6.75,6.75,6.75,6.75,0,6.8155,6.8108
2020-06-25,6.75,6.75,6.75,6.75,0,6.79,6.805
2020-06-26,6.75,6.75,6.75,6.75,70,6.7645,6.7998
2020-06-29,6.75,6.75,6.75,6.75,200,6.739,6.795
2020-06-30,6.75,6.75,6.75,6.75,0,6.7135,6.7907
2020-07-01,6.75,6.75,6.75,6.75,0,6.7245,6.7869
2020-07-02,6.75,6.75,6.75,6.75,210,6.7355,6.7833
2020-07-03,7.19,7.4,7.19,7.4,6010,6.779,6.8421
2020-07-06,7.4,7.4,7.4,7.4,0,6.815,6.8952
2020-07-07,7.26,7.26,7.26,7.26,1200,6.8405,6.93
2020-07-08,7.19,7.99,7.19,7.99,5200,6.9025,7.0309
2020-07-09,8.71,8.71,8.71,8.71,100,7.0005,7.1908
2020-07-10,8.71,8.71,8.71,8.71,10,7.0985,7.3355
2020-07-13,8.71,8.71,8.71,8.71,0,7.1965,7.4664
2020-07-14,8.71,8.71,8.71,8.71,2338,7.2945,7.5848
2020-07-15,8.42,8.42,8.42,8.42,100,7.378,7.6644
2020-07-16,8.42,8.42,8.42,8.42,10,7.4615,7.7363
2020-07-17,8.42,8.42,8.42,8.42,0,7.545,7.8015
2020-07-20,8.42,8.42,8.42,8.42,1,7.6285,7.8604
2020-07-21,8.93,9.07,8.93,9.07,200,7.7445,7.9756
2020-07-22,9.07,9.07,9.07,9.07,0,7.8605,8.0798
2020-07-23,8.35,8.35,8.35,8.35,190,7.9405,8.1055
2020-07-24,8.35,8.35,8.35,8.35,0,8.0205,8.1288
2020-07-27,8.35,8.35,8.35,8.35,0,8.1005,8.1499
2020-07-28,8.35,8.35,8.35,8.35,5,8.1805,8.1689
2020-07-29,8.35,8.35,8.35,8.35,0,8.2605,8.1862
2020-07-30,8.35,8.35,8.35,8.35,0,8.3405,8.2018
2020-07-31,8.35,8.35,8.35,8.35,0,8.388,8.2159
2020-08-03,8.35,8.35,8.35,8.35,0,8.4355,8.2287
2020-08-04,8.35,8.35,8.35,8.35,50,8.49,8.2402
2020-08-05,8.35,8.35,8.35,8.35,100,8.508,8.2507
2020-08-06,8.35,8.35,8.35,8.35,0,8.49,8.2601
2020-08-07,8.35,8.35,8.35,8.35,0,8.472,8.2687
2020-08-10,8.35,8.35,8.35,8.35,0,8.454,8.2764
2020-08-11,8.35,8.35,8.35,8.35,0,8.436,8.2834
2020-08-12,7.55,7.55,7.55,7.55,4328,8.3925,8.2136
2020-08-13,7.55,7.55,7.55,7.55,150,8.349,8.1504
2020-08-14,7.62,7.62,7.26,7.26,518,8.291,8.0656
2020-08-17,7.26,7.26,7.26,7.26,50,8.233,7.9889
2020-08-18,6.53,6.53,6.53,6.53,191,8.106,7.8499
2020-08-19,6.53,6.53,6.53,6.53,0,7.979,7.7242
2020-08-20,6.53,6.53,6.53,6.53,0,7.888,7.6105
2020-08-21,7.11,7.11,7.11,7.11,130,7.826,7.5628
2020-08-24,7.11,7.11,7.11,7.11,0,7.764,7.5197
2020-08-25,7.11,7.11,7.11,7.11,0,7.702,7.4807
2020-08-26,7.11,7.19,7.11,7.11,1540,7.64,7.4454
2020-08-27,7.11,7.11,7.11,7.11,410,7.578,7.4134
2020-08-28,7.11,7.11,7.11,7.11,0,7.516,7.3845
2020-08-31,7.11,7.19,7.11,7.19,1329,7.458,7.366
2020-09-01,7.62,7.84,7.33,7.77,3210,7.429,7.4045
2020-09-03,7.48,7.48,7.48,7.48,1100,7.3855,7.4117
2020-09-04,7.48,7.48,7.48,7.48,4430,7.342,7.4182
2020-09-07,7.48,7.48,7.48,7.48,300,7.2985,7.4241
2020-09-08,7.48,7.48,7.48,7.48,366,7.255,7.4294
2020-09-09,7.48,7.48,7.48,7.48,0,7.2115,7.4342
2020-09-10,6.97,6.97,6.97,6.97,600,7.1825,7.39
2020-09-11,7.62,7.62,7.62,7.62,311,7.186,7.4119
2020-09-14,7.62,7.62,7.62,7.62,1000,7.204,7.4317
2020-09-15,7.62,7.84,7.62,7.84,310,7.233,7.4706
2020-09-16,7.84,7.84,7.62,7.7,1410,7.2915,7.4925
2020-09-17,7.7,7.7,7.7,7.7,1555,7.35,7.5122
2020-09-18,7.04,7.26,7.04,7.26,1700,7.3865,7.4882
2020-09-21,7.26,7.26,7.26,7.26,0,7.394,7.4665
2020-09-22,7.26,7.26,7.26,7.26,100,7.4015,7.4468
