time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,8.71,8.71,8.28,8.28,200,,
2020-01-03,8.28,8.28,8.28,8.28,0,,
2020-01-06,8.28,8.28,8.28,8.28,0,,
2020-01-07,7.49,8.1,7.49,8.1,499700,,
2020-01-08,8.1,8.1,8.1,8.1,0,,
2020-01-09,8.1,8.1,8.1,8.1,0,,
2020-01-10,8.1,8.1,8.1,8.1,0,,
2020-01-13,8.1,8.1,8.1,8.1,0,,
2020-01-14,8.1,8.1,8.1,8.1,0,,
2020-01-15,7.32,7.32,7.32,7.32,900,,
2020-01-16,7.32,7.32,7.32,7.32,0,,
2020-01-17,7.32,7.32,7.32,7.32,0,,
2020-01-20,6.62,6.62,6.62,6.62,100,,
2020-01-21,7.23,7.23,7.23,7.23,600,,
2020-01-22,6.97,6.97,6.53,6.53,800,,
2020-01-30,6.53,6.53,6.53,6.53,0,,
2020-01-31,7.14,7.14,6.53,6.53,500,,
2020-02-03,7.14,7.14,6.79,6.79,6600,,
2020-02-04,6.18,6.18,6.18,6.18,100,,
2020-02-05,5.75,5.75,5.75,5.75,100,7.378,7.1336
2020-02-06,6.27,6.27,6.27,6.27,500,7.2775,7.0514
2020-02-07,6.1,6.1,5.75,5.75,400,7.151,6.9274
2020-02-10,6.27,6.27,5.31,6.27,3700,7.0505,6.8648
2020-02-11,6.27,6.27,6.27,6.27,0,6.959,6.8082
2020-02-12,6.27,6.27,6.27,6.27,0,6.8675,6.7569
2020-02-13,6.27,6.27,6.27,6.27,0,6.776,6.7105
2020-02-14,6.27,6.27,6.27,6.27,66,6.6845,6.6686
2020-02-17,5.75,5.75,5.75,5.75,100,6.567,6.5811
2020-02-18,6.27,6.27,6.27,6.27,100,6.4755,6.5515
2020-02-19,6.27,6.27,6.27,6.27,200,6.423,6.5247
2020-02-20,6.27,6.27,6.1,6.1,400,6.362,6.4842
2020-02-21,6.1,6.1,6.1,6.1,0,6.301,6.4476
2020-02-24,6.1,6.1,6.1,6.1,0,6.275,6.4145
2020-02-25,5.66,5.66,5.66,5.66,100,6.1965,6.3427
2020-02-26,5.31,6.01,5.31,6.01,1320,6.1705,6.311
2020-02-27,6.01,6.01,6.01,6.01,0,6.1445,6.2823
2020-02-28,5.92,5.92,5.58,5.58,600,6.097,6.2154
2020-03-02,5.58,5.58,5.58,5.58,0,6.0365,6.1549
2020-03-03,6.1,6.1,6.01,6.01,310,6.028,6.1411
2020-03-04,6.01,6.01,6.01,6.01,0,6.041,6.1286
2020-03-05,6.01,6.01,6.01,6.01,10,6.028,6.1173
