time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,6.2,6.2,6.2,6.2,0,,
2020-01-03,6.2,6.2,6.2,6.2,0,,
2020-01-06,6.2,6.2,6.2,6.2,0,,
2020-01-07,6.2,6.2,6.2,6.2,0,,
2020-01-08,6.2,6.2,6.2,6.2,0,,
2020-01-09,6.2,6.2,6.2,6.2,0,,
2020-01-10,6.2,6.2,6.2,6.2,0,,
2020-01-13,6.2,6.2,6.2,6.2,0,,
2020-01-14,6.2,6.2,6.2,6.2,0,,
2020-01-15,6.2,6.2,6.2,6.2,0,,
2020-01-16,6.2,6.2,6.2,6.2,0,,
2020-01-17,6.2,6.2,6.2,6.2,0,,
2020-01-20,6.2,6.2,6.2,6.2,0,,
2020-01-21,6.2,6.2,6.2,6.2,0,,
2020-01-22,6.2,6.2,6.2,6.2,0,,
2020-01-30,6.2,6.2,6.2,6.2,0,,
2020-01-31,6.2,6.2,6.2,6.2,0,,
2020-02-03,6.2,6.2,6.2,6.2,0,,
2020-02-04,6.2,6.2,6.2,6.2,0,,
2020-02-05,6.2,6.2,6.2,6.2,0,6.2,6.2
2020-02-06,6.2,6.2,6.2,6.2,0,6.2,6.2
2020-02-07,6.2,6.2,6.2,6.2,0,6.2,6.2
2020-02-10,6.2,6.2,6.2,6.2,0,6.2,6.2
2020-02-11,6.2,6.2,6.2,6.2,0,6.2,6.2
2020-02-12,6.2,6.2,6.2,6.2,0,6.2,6.2
2020-02-13,6.2,6.2,6.2,6.2,0,6.2,6.2
2020-02-14,6.2,6.2,6.2,6.2,0,6.2,6.2
2020-02-17,6.2,6.2,6.2,6.2,0,6.2,6.2
2020-02-18,6.2,6.2,6.2,6.2,0,6.2,6.2
2020-02-19,6.2,6.2,6.2,6.2,0,6.2,6.2
2020-02-20,6.2,6.2,6.2,6.2,0,6.2,6.2
2020-02-21,6.2,6.2,6.2,6.2,0,6.2,6.2
2020-02-24,6.2,6.2,6.2,6.2,0,6.2,6.2
2020-02-25,7.7,7.7,7.7,7.7,200,6.275,6.3429
2020-02-26,7.7,7.7,7.7,7.7,0,6.35,6.4721
2020-02-27,7.7,7.7,7.7,7.7,0,6.425,6.5891
2020-02-28,7.7,7.7,7.7,7.7,76,6.5,6.6949
2020-03-02,7.7,7.7,7.7,7.7,0,6.575,6.7906
2020-03-03,7.7,7.7,7.7,7.7,0,6.65,6.8772
2020-03-04,7.7,7.7,7.7,7.7,0,6.725,6.9556
2020-03-05,7.7,7.7,7.7,7.7,0,6.8,7.0265
2020-03-06,7.7,7.7,7.7,7.7,0,6.875,7.0906
2020-03-09,8.8,8.8,8.8,8.8,100,7.005,7.2534
2020-03-10,10.1,10.1,10.1,10.1,101,7.2,7.5245
2020-03-11,11.6,11.6,11.6,11.6,100,7.47,7.9126
2020-03-12,13.2,13.2,13.2,13.2,100,7.82,8.4162
2020-03-13,15.0,15.1,15.0,15.1,300,8.265,9.0528
2020-03-16,16.9,17.0,16.9,16.9,782,8.8,9.8001
2020-03-17,16.9,19.4,16.5,16.5,1646,9.315,10.4382
2020-03-18,17.8,16.5,16.5,16.5,0,9.83,11.0155
2020-03-19,17.8,16.5,16.5,16.5,0,10.345,11.5378
2020-03-20,20.3,20.3,20.3,20.3,150,11.05,12.3723
2020-03-23,20.3,20.3,20.3,20.3,0,11.755,13.1274
2020-03-24,20.3,20.3,20.3,20.3,0,12.385,13.8105
2020-03-25,20.3,20.3,20.3,20.3,0,13.015,14.4285
2020-03-26,20.3,20.3,20.3,20.3,0,13.645,14.9877
2020-03-27,20.3,20.3,20.3,20.3,0,14.275,15.4936
2020-03-30,20.3,20.3,20.3,20.3,0,14.905,15.9514
2020-03-31,20.3,20.3,20.3,20.3,0,15.535,16.3655
2020-04-01,20.3,20.3,20.3,20.3,0,16.165,16.7402
2020-04-03,23.3,23.3,17.3,17.3,600,16.645,16.7936
2020-04-06,15.6,15.6,15.6,15.6,100,17.04,16.6799
2020-04-07,13.5,15.0,13.5,15.0,3200,17.35,16.5199
2020-04-08,12.7,14.9,12.7,14.9,300,17.59,16.3656
2020-04-09,14.9,14.9,14.9,14.9,200,17.755,16.226
2020-04-10,14.9,14.9,14.9,14.9,0,17.84,16.0997
2020-04-13,17.0,17.0,17.0,17.0,200,17.935,16.1855
2020-04-14,14.5,14.5,14.5,14.5,100,17.815,16.025
2020-04-15,14.5,14.5,14.5,14.5,0,17.715,15.8797
2020-04-16,14.5,14.5,14.5,14.5,0,17.615,15.7483
2020-04-17,16.6,16.6,16.6,16.6,102,17.62,15.8294
2020-04-20,19.0,19.0,14.2,18.4,1700,17.525,16.0743
2020-04-21,18.4,18.4,18.4,18.4,200,17.43,16.2958
2020-04-22,15.7,15.7,15.7,15.7,100,17.2,16.239
2020-04-23,15.7,15.7,15.7,15.7,0,16.97,16.1877
2020-04-24,18.0,18.0,18.0,18.0,100,16.855,16.3603
2020-04-27,15.3,18.7,15.3,18.7,1700,16.775,16.5831
2020-04-28,19.2,19.2,14.8,14.8,1200,16.5,16.4133
2020-04-29,13.0,13.0,13.0,13.0,1200,16.135,16.0882
2020-05-04,13.0,13.0,13.0,13.0,0,15.77,15.7941
2020-05-05,14.8,14.8,14.8,14.8,100,15.645,15.6994
2020-05-06,16.4,16.4,16.4,16.4,226,15.685,15.7661
2020-05-07,17.7,17.7,17.7,17.7,500,15.82,15.9503
2020-05-08,17.7,17.7,17.7,17.7,0,15.96,16.117
2020-05-11,17.7,17.7,17.7,17.7,0,16.1,16.2677
2020-05-12,18.2,18.2,18.2,18.2,100,16.265,16.4518
2020-05-13,18.2,18.2,18.2,18.2,0,16.325,16.6183
2020-05-14,18.8,18.8,18.8,18.8,200,16.54,16.826
2020-05-15,19.4,19.4,19.4,19.4,300,16.785,17.0712
2020-05-18,16.5,19.3,16.5,19.3,1350,17.025,17.2834
2020-05-19,16.9,19.3,19.3,19.3,0,17.16,17.4755
2020-05-20,16.9,19.3,19.3,19.3,0,17.205,17.6493
2020-05-21,16.5,16.5,16.5,16.5,100,17.11,17.5398
2020-05-22,16.5,16.5,16.5,16.5,0,17.15,17.4408
2020-05-25,14.5,14.5,14.1,14.1,1200,17.07,17.1226
2020-05-26,12.2,12.2,12.2,12.2,2900,16.78,16.6538
2020-05-27,14.0,14.0,14.0,14.0,100,16.545,16.401
2020-05-28,16.1,16.1,16.1,16.1,100,16.61,16.3724
2020-05-29,16.1,16.1,16.1,16.1,0,16.765,16.3464
2020-06-01,16.1,16.1,16.1,16.1,0,16.92,16.323
2020-06-02,18.4,18.4,18.4,18.4,102,17.1,16.5208
2020-06-03,20.4,20.4,15.7,15.7,210,17.065,16.4426
2020-06-04,18.1,15.7,15.7,15.7,0,16.965,16.3719
2020-06-05,18.1,15.7,15.7,15.7,0,16.865,16.3079
2020-06-08,19.9,19.9,19.9,19.9,100,16.975,16.65
2020-06-09,19.9,19.9,19.9,19.9,0,17.06,16.9595
2020-06-10,17.0,17.0,17.0,17.0,100,17.0,16.9634
2020-06-11,18.9,18.9,18.9,18.9,104,17.005,17.1478
2020-06-12,18.9,18.9,18.9,18.9,0,16.98,17.3147
2020-06-15,18.9,18.9,18.9,18.9,0,16.96,17.4657
2020-06-16,18.9,18.9,18.9,18.9,0,16.94,17.6023
2020-06-17,18.9,18.9,18.9,18.9,0,16.92,17.7259
2020-06-18,18.9,18.9,18.9,18.9,0,17.04,17.8377
2020-06-19,18.9,18.9,18.9,18.9,0,17.16,17.9389
2020-06-22,18.9,18.9,18.9,18.9,0,17.4,18.0304
2020-06-23,16.1,16.1,16.1,16.1,100,17.595,17.8466
2020-06-24,18.5,18.5,18.5,18.5,100,17.82,17.9088
2020-06-25,18.5,18.5,18.5,18.5,0,17.94,17.9651
2020-06-26,18.5,18.5,18.5,18.5,0,18.06,18.016
2020-06-29,18.5,18.5,18.5,18.5,0,18.18,18.0621
2020-06-30,18.5,18.5,18.5,18.5,0,18.185,18.1038
2020-07-01,21.1,21.1,21.1,21.1,100,18.455,18.3892
2020-07-02,21.1,21.1,21.1,21.1,0,18.725,18.6474
2020-07-03,24.1,24.1,24.1,24.1,100,19.145,19.1667
2020-07-06,24.1,24.1,24.1,24.1,0,19.355,19.6365
2020-07-07,24.1,24.1,24.1,24.1,0,19.565,20.0616
2020-07-08,24.1,24.1,24.1,24.1,0,19.92,20.4462
2020-07-09,24.1,24.1,24.1,24.1,0,20.18,20.7942
2020-07-10,24.1,24.1,24.1,24.1,0,20.44,21.109
2020-07-13,24.1,24.1,24.1,24.1,0,20.7,21.3939
2020-07-14,24.1,24.1,24.1,24.1,0,20.96,21.6516
2020-07-15,24.1,24.1,24.1,24.1,0,21.22,21.8848
2020-07-16,24.1,24.1,24.1,24.1,0,21.48,22.0958
2020-07-17,24.1,24.1,24.1,24.1,0,21.74,22.2866
2020-07-20,24.1,24.1,24.1,24.1,0,22.0,22.4593
2020-07-21,24.1,24.1,24.1,24.1,0,22.4,22.6156
2020-07-22,24.1,24.1,24.1,24.1,0,22.68,22.757
2020-07-23,24.1,24.1,24.1,24.1,0,22.96,22.8849
2020-07-24,24.1,24.1,24.1,24.1,0,23.24,23.0006
2020-07-27,24.1,24.1,24.1,24.1,0,23.52,23.1053
2020-07-28,24.1,24.1,24.1,24.1,0,23.8,23.2
2020-07-29,24.1,24.1,24.1,24.1,0,23.95,23.2857
2020-07-30,24.1,24.1,24.1,24.1,6,24.1,23.3633
2020-07-31,24.1,24.1,24.1,24.1,0,24.1,23.4335
2020-08-03,24.1,24.1,24.1,24.1,0,24.1,23.4969
2020-08-04,24.1,24.1,24.1,24.1,0,24.1,23.5544
2020-08-05,24.1,24.1,24.1,24.1,0,24.1,23.6063
2020-08-06,24.1,24.1,24.1,24.1,0,24.1,23.6534
2020-08-07,24.1,24.1,24.1,24.1,0,24.1,23.6959
2020-08-10,24.1,24.1,24.1,24.1,0,24.1,23.7344
2020-08-11,24.1,24.1,24.1,24.1,0,24.1,23.7692
2020-08-12,24.1,24.1,24.1,24.1,0,24.1,23.8007
2020-08-13,24.1,24.1,24.1,24.1,0,24.1,23.8292
2020-08-14,20.5,20.5,20.5,20.5,1000,23.92,23.5121
2020-08-17,17.5,23.0,17.5,17.5,34709,23.59,22.9396
2020-08-18,18.4,20.0,16.1,18.1,63621,23.29,22.4786
2020-08-19,18.0,19.9,17.3,17.9,32121,22.98,22.0426
2020-08-20,17.9,17.9,16.0,16.7,8824,22.61,21.5338
2020-08-21,16.4,16.4,14.7,14.7,9410,22.14,20.8829
2020-08-24,15.0,15.0,13.2,14.0,18056,21.635,20.2274
2020-08-25,13.6,15.6,13.6,15.6,9045,21.21,19.7867
2020-08-26,16.8,16.8,13.3,14.0,13312,20.705,19.2356
2020-08-27,13.1,14.7,13.1,14.7,9200,20.235,18.8036
2020-08-28,12.1,14.7,12.1,13.1,4400,19.685,18.2604
2020-08-31,12.5,13.1,12.5,13.1,3186,19.135,17.769
