time,open,high,low,close,volume,SMA_20,EMA_20
2021-11-25,11.57,11.57,11.57,11.57,100,,
2021-11-26,12.66,12.66,12.66,12.66,100,,
2021-11-29,13.9,13.9,13.82,13.9,1110100,,
2021-11-30,15.22,15.22,13.2,13.2,421800,,
2021-12-01,13.59,13.59,12.04,13.2,16700,,
2021-12-02,11.88,12.81,11.88,11.88,96600,,
2021-12-03,10.72,10.72,10.72,10.72,59100,,
2021-12-06,9.71,10.48,9.71,9.71,596300,,
2021-12-07,9.71,10.56,9.71,10.48,58000,,
2021-12-08,10.87,11.41,10.87,11.1,138100,,
2021-12-09,10.87,10.87,10.02,10.33,244100,,
2021-12-10,10.17,10.48,9.71,10.25,65800,,
2021-12-13,10.33,10.48,9.78,10.02,93100,,
2021-12-14,10.09,10.25,9.78,10.02,154411,,
2021-12-15,9.94,10.02,9.78,10.02,120411,,
2021-12-16,10.02,10.02,9.63,9.94,112000,,
2021-12-17,9.94,9.94,9.55,9.86,92200,,
2021-12-20,9.86,9.86,9.24,9.47,45400,,
2021-12-21,9.4,9.78,9.32,9.78,77878,,
2021-12-22,9.94,10.09,9.4,9.47,82400,10.879,10.4837
2021-12-23,9.78,9.78,9.32,9.55,56600,10.778,10.3948
2021-12-24,9.32,9.63,9.32,9.47,58000,10.6185,10.3067
2021-12-27,9.47,9.55,9.24,9.24,98700,10.3855,10.2051
2021-12-28,9.47,9.47,9.16,9.47,163500,10.199,10.1351
2021-12-29,9.47,9.71,9.32,9.55,36400,10.0165,10.0794
2021-12-30,9.55,9.63,9.32,9.55,40600,9.9,10.029
2021-12-31,9.47,9.47,9.32,9.32,25000,9.83,9.9614
2022-01-04,9.24,9.47,9.16,9.47,181800,9.818,9.9146
2022-01-05,9.55,9.94,9.55,9.63,88300,9.7755,9.8875
2022-01-06,9.63,9.63,9.32,9.32,92400,9.6865,9.8335
2022-01-07,9.47,9.47,9.24,9.47,120200,9.6435,9.7989
2022-01-10,9.4,9.94,9.4,9.4,209100,9.601,9.7609
2022-01-11,9.63,9.71,9.4,9.55,137088,9.5775,9.7408
2022-01-12,9.63,9.94,9.16,9.32,88500,9.5425,9.7007
2022-01-13,9.32,9.47,9.16,9.32,64400,9.5075,9.6645
2022-01-14,9.32,9.32,9.16,9.32,47200,9.4765,9.6317
2022-01-17,9.32,9.4,9.16,9.24,69000,9.4455,9.5944
2022-01-18,9.24,9.32,9.08,9.08,37200,9.426,9.5454
2022-01-19,8.7,9.16,8.7,9.01,33700,9.3875,9.4944
2022-01-20,9.01,9.24,8.93,9.16,71200,9.372,9.4625
2022-01-21,9.16,9.24,9.01,9.24,21600,9.3565,9.4413
2022-01-24,9.16,9.32,9.08,9.16,82900,9.341,9.4145
2022-01-25,9.16,9.24,9.08,9.24,64800,9.341,9.3979
2022-01-26,9.24,9.32,9.16,9.24,81400,9.3295,9.3829
2022-01-27,9.16,9.32,9.08,9.24,47400,9.314,9.3693
2022-01-28,9.16,9.32,9.16,9.24,50200,9.2985,9.357
2022-02-07,9.47,9.47,9.32,9.4,21000,9.3025,9.3611
2022-02-08,9.4,9.63,9.4,9.47,110700,9.3025,9.3714
2022-02-09,9.47,9.55,9.47,9.55,40300,9.2985,9.3884
2022-02-10,9.55,9.63,9.47,9.63,7400,9.314,9.4114
2022-02-11,9.63,10.56,9.47,10.56,139700,9.3685,9.5208
2022-02-14,10.64,10.64,9.71,10.25,38600,9.411,9.5903
2022-02-15,9.94,10.33,9.94,10.25,2600,9.446,9.6531
2022-02-16,10.87,10.87,10.09,10.33,21500,9.4965,9.7176
2022-02-17,10.33,10.4,9.94,10.25,37600,9.543,9.7683
2022-02-18,10.25,10.25,9.86,10.09,48200,9.5815,9.7989
2022-02-21,9.94,10.09,9.78,10.09,27500,9.624,9.8266
2022-02-22,9.86,10.09,9.71,9.86,54500,9.663,9.8298
2022-02-23,9.86,9.86,9.71,9.78,26300,9.7015,9.8251
2022-02-24,9.78,9.86,9.55,9.55,47000,9.721,9.7989
2022-02-25,9.55,10.02,9.4,9.55,19200,9.7365,9.7752
2022-02-28,9.55,9.86,9.47,9.78,5500,9.7675,9.7756
2022-03-01,9.71,9.78,9.55,9.55,25900,9.783,9.7541
2022-03-02,9.32,9.71,9.32,9.55,29500,9.7985,9.7347
2022-03-03,9.55,10.02,9.55,9.86,38800,9.8295,9.7466
2022-03-04,9.86,9.94,9.71,9.86,33500,9.8605,9.7574
2022-03-07,9.86,9.86,9.78,9.78,6100,9.8795,9.7596
2022-03-08,9.78,9.86,9.63,9.71,51200,9.8915,9.7549
2022-03-09,9.71,9.78,9.63,9.71,153100,9.8995,9.7506
