time,open,high,low,close,volume,SMA_20,EMA_20
2022-01-25,26.3,26.3,26.3,26.3,2400,,
2022-01-26,30.16,30.16,30.16,30.16,2500,,
2022-01-27,34.61,34.61,34.61,34.61,2300,,
2022-01-28,39.75,39.75,38.07,39.56,235100,,
2022-02-07,39.56,45.29,39.56,45.19,318000,,
2022-02-08,44.3,45.69,42.72,43.31,379000,,
2022-02-09,43.31,47.47,41.34,46.48,378800,,
2022-02-10,44.3,44.3,42.52,42.72,355300,,
2022-02-11,43.31,44.7,42.23,43.02,334500,,
2022-02-14,43.51,44.01,41.53,42.52,335700,,
2022-02-15,42.82,43.51,41.53,43.51,403100,,
2022-02-16,43.02,43.71,41.04,42.72,425300,,
2022-02-17,43.02,44.5,42.23,43.81,338800,,
2022-02-18,43.02,43.51,41.53,42.03,329700,,
2022-02-21,42.62,45.69,41.93,44.4,354200,,
2022-02-22,43.71,44.01,42.03,42.82,347200,,
2022-02-23,43.02,44.8,43.02,44.8,334300,,
2022-02-24,44.1,45.09,42.52,43.41,334500,,
2022-02-25,43.91,45.88,43.81,45.59,501100,,
2022-02-28,44.99,46.48,44.9,45.79,333900,41.6375,40.9248
2022-03-01,45.59,46.18,44.9,45.88,412300,42.6165,41.3968
2022-03-02,45.39,45.59,43.51,44.5,313300,43.3335,41.6923
2022-03-03,44.8,45.59,44.5,45.59,356800,43.8825,42.0635
2022-03-04,45.09,46.87,45.09,46.38,349500,44.2235,42.4746
2022-03-07,46.28,46.77,45.39,46.77,323100,44.3025,42.8837
2022-03-08,45.98,47.57,45.88,46.58,314300,44.466,43.2357
2022-03-09,46.48,47.07,44.8,46.08,333900,44.446,43.5066
2022-03-10,46.08,46.97,45.49,45.69,319800,44.5945,43.7145
2022-03-11,46.18,46.48,44.5,45.09,325900,44.698,43.8455
2022-03-14,45.49,45.98,43.71,44.5,347300,44.797,43.9079
2022-03-15,44.7,45.39,43.91,44.99,438700,44.871,44.0109
2022-03-16,44.8,45.88,44.8,45.59,317900,45.0145,44.1613
2022-03-17,45.19,46.18,45.19,45.49,368700,45.0985,44.2879
2022-03-18,45.69,45.69,44.3,45.59,331100,45.2765,44.4119
2022-03-21,45.09,46.08,45.09,45.79,526300,45.346,44.5431
2022-03-22,45.59,46.58,45.49,46.48,601200,45.529,44.7276
2022-03-23,45.98,46.48,44.99,45.49,462800,45.5635,44.8002
2022-03-24,45.59,46.18,45.49,45.79,374400,45.6825,44.8945
2022-03-25,45.88,46.18,44.99,44.99,286000,45.6525,44.9036
2022-03-28,45.39,45.39,44.5,44.99,313900,45.6125,44.9118
2022-03-29,44.9,45.39,44.7,45.29,325400,45.583,44.9478
2022-03-30,45.19,45.49,43.91,44.2,249500,45.568,44.8766
2022-03-31,44.8,44.9,44.5,44.6,276300,45.5185,44.8503
2022-04-01,44.6,44.9,44.3,44.8,301300,45.4395,44.8455
2022-04-04,44.6,44.9,44.6,44.7,305900,45.336,44.8316
2022-04-05,44.7,45.7,44.7,45.6,314500,45.287,44.9048
2022-04-06,45.8,46.4,45.5,46.2,326100,45.293,45.0281
2022-04-07,46.2,46.6,46.1,46.4,317700,45.3285,45.1588
2022-04-08,46.7,46.7,45.7,46.5,324000,45.399,45.2865
2022-04-12,46.0,46.8,46.0,46.4,360600,45.494,45.3926
2022-04-13,46.5,47.9,46.5,47.9,402500,45.6395,45.6314
2022-04-14,47.3,48.0,46.9,47.1,304500,45.715,45.7712
2022-04-15,47.1,47.3,46.1,46.1,357000,45.7455,45.8026
2022-04-18,46.6,46.6,44.9,45.5,184400,45.741,45.7737
2022-04-19,45.0,46.0,44.7,44.7,315700,45.6865,45.6715
2022-04-20,45.0,45.0,43.8,44.1,267800,45.5675,45.5218
2022-04-21,44.0,44.9,43.6,44.6,267700,45.523,45.434
2022-04-22,44.4,44.9,44.0,44.5,205400,45.4585,45.3451
2022-04-25,44.5,44.9,43.0,43.3,190400,45.374,45.1503
2022-04-26,44.0,44.6,43.0,44.6,139000,45.3545,45.0979
2022-04-27,44.6,44.9,44.2,44.9,167100,45.335,45.079
2022-04-28,44.7,45.6,44.7,45.2,251700,45.385,45.0906
2022-04-29,45.0,45.7,45.0,45.6,204300,45.435,45.1391
2022-05-04,45.4,45.7,44.6,44.7,173900,45.43,45.0973
2022-05-05,45.3,45.8,45.0,45.6,210600,45.475,45.1451
2022-05-06,45.0,45.3,44.6,44.6,165900,45.425,45.0932
2022-05-09,44.9,44.9,44.0,44.0,144700,45.315,44.9891
2022-05-10,43.8,45.0,43.5,44.7,212700,45.23,44.9616
2022-05-11,44.7,45.4,44.5,45.3,218400,45.17,44.9938
2022-05-12,45.2,45.3,44.4,44.4,176000,45.07,44.9373
2022-05-13,44.5,45.0,44.4,44.6,191600,44.905,44.9051
2022-05-16,44.5,45.7,44.5,45.4,332300,44.82,44.9523
2022-05-17,45.3,46.1,45.2,45.9,224200,44.81,45.0425
2022-05-18,45.8,46.1,45.5,45.6,161900,44.815,45.0956
2022-05-19,45.5,45.8,45.3,45.7,167900,44.865,45.1532
2022-05-20,45.6,45.7,45.2,45.3,189400,44.925,45.1672
2022-05-23,45.5,46.0,44.6,44.9,177600,44.94,45.1417
2022-05-24,44.9,45.5,44.9,45.2,178100,44.975,45.1473
2022-05-25,45.2,45.8,45.0,45.7,165300,45.095,45.1999
2022-05-26,45.4,45.8,45.4,45.7,205400,45.15,45.2475
2022-05-27,45.6,46.4,45.6,46.1,183900,45.21,45.3287
2022-05-30,46.1,46.2,45.6,45.7,172600,45.235,45.3641
2022-05-31,45.8,46.0,45.4,45.5,219200,45.23,45.377
2022-06-01,45.3,45.8,45.0,45.7,178200,45.28,45.4078
2022-06-02,45.6,45.6,45.0,45.2,199100,45.26,45.388
2022-06-03,45.3,45.5,44.8,45.2,213900,45.29,45.3701
2022-06-06,45.1,45.5,44.9,45.3,215400,45.355,45.3634
2022-06-07,45.2,45.6,45.2,45.6,181900,45.4,45.3859
2022-06-08,45.4,45.8,45.4,45.8,206300,45.425,45.4254
2022-06-09,45.7,45.8,45.2,45.4,190400,45.475,45.423
2022-06-10,45.4,45.9,45.4,45.8,232600,45.535,45.4589
2022-06-13,45.6,45.6,44.8,44.9,186000,45.51,45.4056
2022-06-14,45.1,45.3,44.6,45.0,169800,45.465,45.367
2022-06-15,44.9,45.1,44.4,44.7,178100,45.42,45.3035
2022-06-16,44.7,45.3,44.7,45.2,198100,45.395,45.2936
2022-06-17,45.0,45.0,44.5,44.7,281600,45.365,45.2371
2022-06-20,44.7,45.0,44.4,45.0,186100,45.37,45.2145
2022-06-21,44.6,45.0,44.3,45.0,204800,45.36,45.1941
2022-06-22,44.6,45.2,44.6,45.2,186600,45.335,45.1946
2022-06-23,45.3,45.6,45.1,45.5,207200,45.325,45.2237
2022-06-24,45.4,45.8,45.3,45.6,181400,45.3,45.2596
2022-06-27,45.6,45.9,45.4,45.9,206800,45.31,45.3206
2022-06-28,45.8,45.9,45.3,45.4,184300,45.305,45.3281
2022-06-29,45.4,45.8,45.3,45.7,178900,45.305,45.3635
2022-06-30,45.6,45.8,45.4,45.5,201900,45.32,45.3765
2022-07-01,45.3,45.6,45.1,45.6,234200,45.34,45.3978
2022-07-04,45.3,45.6,45.2,45.4,199100,45.345,45.398
