time,open,high,low,close,volume,SMA_20,EMA_20
2020-04-23,9.14,9.14,9.14,9.14,2500,,
2020-04-24,9.14,9.14,9.14,9.14,0,,
2020-04-27,9.14,9.14,9.14,9.14,0,,
2020-04-28,9.14,9.14,9.14,9.14,0,,
2020-04-29,8.61,8.61,8.61,8.61,100,,
2020-05-04,8.61,8.61,8.61,8.61,0,,
2020-05-05,8.61,8.61,8.61,8.61,0,,
2020-05-06,8.61,8.61,8.61,8.61,1400,,
2020-05-07,8.61,8.61,8.61,8.61,0,,
2020-05-08,9.86,9.86,9.86,9.86,100,,
2020-05-11,11.32,11.32,11.32,11.32,100,,
2020-05-12,11.32,11.32,11.32,11.32,0,,
2020-05-13,11.32,11.32,11.32,11.32,0,,
2020-05-14,12.98,12.98,12.98,12.98,100,,
2020-05-15,12.98,12.98,12.98,12.98,0,,
2020-05-18,14.9,14.9,14.9,14.9,100,,
2020-05-19,14.9,14.9,14.9,14.9,0,,
2020-05-20,14.9,14.9,14.9,14.9,0,,
2020-05-21,14.9,14.9,14.9,14.9,0,,
2020-05-22,12.71,17.08,12.71,17.08,200,11.3035,12.2742
2020-05-25,14.9,17.08,17.08,17.08,0,11.7005,12.7319
2020-05-26,14.9,17.08,17.08,17.08,0,12.0975,13.146
2020-05-27,14.9,17.08,17.08,17.08,0,12.4945,13.5207
2020-05-28,14.9,17.08,17.08,17.08,0,12.8915,13.8597
2020-05-29,12.71,12.71,12.71,12.71,100,13.0965,13.7502
2020-06-01,14.56,14.56,10.86,10.86,500,13.209,13.4749
2020-06-02,9.86,9.86,9.86,9.86,200,13.2715,13.1306
2020-06-03,8.41,8.41,8.41,8.41,1200,13.2615,12.6811
2020-06-04,7.15,7.15,7.15,7.15,1600,13.1885,12.1543
2020-06-05,6.09,8.21,6.09,8.21,2300,13.106,11.7786
2020-06-08,6.16,8.21,8.21,8.21,0,12.9505,11.4388
2020-06-09,6.16,8.21,8.21,8.21,0,12.795,11.1313
2020-06-10,6.16,6.95,6.16,6.95,3800,12.5765,10.7331
2020-06-11,6.62,7.02,6.62,7.02,4000,12.2785,10.3794
2020-06-12,7.81,7.81,6.62,6.62,2000,11.9605,10.0214
2020-06-15,7.08,7.08,5.96,5.96,700,11.5135,9.6346
2020-06-16,7.22,7.22,6.62,6.62,1800,11.0995,9.3475
2020-06-17,6.62,6.62,6.62,6.62,100,10.6855,9.0877
2020-06-18,6.49,6.49,6.49,6.49,800,10.265,8.8403
2020-06-19,6.49,7.22,5.63,7.22,1000,9.772,8.686
2020-06-22,6.36,6.36,5.49,6.29,1300,9.2325,8.4578
2020-06-23,6.16,6.16,6.16,6.16,200,8.6865,8.239
2020-06-24,6.09,6.09,6.09,6.09,500,8.137,8.0343
2020-06-25,6.09,6.09,6.09,6.09,100,7.5875,7.8491
2020-06-26,6.95,6.95,6.95,6.95,100,7.2995,7.7635
2020-06-29,6.69,6.69,6.69,6.69,100,7.091,7.6613
2020-06-30,6.62,6.62,6.62,6.62,1000,6.929,7.5621
2020-07-01,6.62,6.62,6.62,6.62,0,6.8395,7.4724
2020-07-02,6.62,6.62,6.62,6.62,0,6.813,7.3912
2020-07-03,6.62,6.62,5.96,5.96,710,6.7005,7.2549
2020-07-06,6.16,5.96,5.96,5.96,0,6.588,7.1316
2020-07-07,5.63,5.63,5.63,5.63,200,6.459,6.9886
2020-07-08,5.63,5.63,5.63,5.63,810,6.393,6.8592
2020-07-09,5.63,5.63,5.63,5.63,2500,6.3235,6.7421
2020-07-10,5.63,6.42,5.16,5.63,15200,6.274,6.6362
2020-07-13,5.69,6.42,5.69,6.42,2000,6.297,6.6156
2020-07-14,5.89,5.96,5.89,5.96,1700,6.264,6.5532
2020-07-15,5.49,5.96,5.43,5.43,2400,6.2045,6.4462
2020-07-16,5.83,5.96,5.83,5.96,3040,6.178,6.3999
2020-07-17,5.89,5.96,5.63,5.63,2300,6.0985,6.3266
2020-07-20,5.63,5.63,5.43,5.43,900,6.0555,6.2412
2020-07-21,5.43,5.43,5.03,5.03,500,5.999,6.1258
2020-07-22,5.63,5.83,5.03,5.03,4400,5.946,6.0215
2020-07-23,5.3,5.3,5.3,5.3,100,5.9065,5.9528
2020-07-24,5.69,5.69,5.69,5.69,300,5.8435,5.9277
2020-07-27,6.09,6.09,6.09,6.09,100,5.8135,5.9432
2020-07-28,6.82,6.82,6.82,6.82,110,5.8235,6.0267
2020-07-29,5.83,5.83,5.83,5.83,500,5.784,6.008
2020-07-30,5.83,5.83,5.83,5.83,0,5.7445,5.991
2020-07-31,5.83,5.83,5.83,5.83,10,5.738,5.9757
2020-08-03,5.96,5.96,5.03,5.03,700,5.6915,5.8856
2020-08-04,5.76,5.96,5.76,5.96,1420,5.708,5.8927
2020-08-05,6.22,6.22,5.3,5.3,4300,5.6915,5.8362
2020-08-06,5.89,5.96,5.36,5.36,11110,5.678,5.7909
2020-08-07,5.89,5.36,5.36,5.36,0,5.6645,5.7499
2020-08-10,5.36,5.36,5.36,5.36,100,5.6115,5.7127
2020-08-11,5.96,5.96,5.43,5.43,5700,5.585,5.6858
2020-08-12,6.09,6.09,5.36,5.36,5000,5.5815,5.6548
2020-08-13,5.3,5.3,5.3,5.3,100,5.5485,5.621
2020-08-14,6.02,6.02,6.02,6.02,100,5.568,5.659
2020-08-17,5.36,5.36,5.36,5.36,100,5.5645,5.6305
2020-08-18,4.7,6.16,4.7,5.76,4500,5.601,5.6428
2020-08-19,5.63,5.63,5.63,5.63,1300,5.631,5.6416
2020-08-20,5.96,6.09,5.43,5.43,4600,5.6375,5.6215
2020-08-21,5.03,5.03,5.03,5.03,800,5.6045,5.5651
2020-08-24,5.76,5.76,5.1,5.1,700,5.555,5.5208
2020-08-25,5.89,5.89,5.49,5.89,3300,5.5085,5.556
2020-08-26,5.96,6.29,5.63,6.29,4700,5.5315,5.6259
2020-08-27,6.62,6.82,6.16,6.29,14321,5.5545,5.6891
2020-08-28,6.55,7.35,6.55,7.35,3709,5.6305,5.8473
2020-08-31,7.28,7.28,7.28,7.28,100,5.743,5.9838
2020-09-01,7.94,8.01,7.94,8.01,6720,5.8455,6.1767
2020-09-03,8.01,8.01,8.01,8.01,300,5.981,6.3513
2020-09-04,6.82,6.82,6.82,6.82,200,6.054,6.396
2020-09-07,7.81,7.81,5.89,6.62,3800,6.117,6.4173
2020-09-08,6.8,7.25,5.77,6.06,2900,6.152,6.3833
2020-09-09,6.06,6.06,6.06,6.06,1500,6.1835,6.3525
2020-09-10,6.06,6.95,6.06,6.95,4600,6.263,6.4094
2020-09-11,6.06,6.06,6.06,6.06,300,6.301,6.3761
2020-09-14,6.88,6.95,6.88,6.95,900,6.3475,6.4308
2020-09-15,6.95,6.95,6.95,6.95,0,6.427,6.4802
2020-09-16,7.25,7.32,7.25,7.32,500,6.505,6.5602
2020-09-17,7.25,7.25,7.25,7.25,500,6.586,6.6259
2020-09-18,6.28,7.25,6.28,7.25,200,6.677,6.6853
2020-09-21,6.8,7.25,7.25,7.25,0,6.788,6.7391
2020-09-22,6.8,6.8,6.8,6.8,1000,6.873,6.7449
2020-09-23,7.02,7.02,7.02,7.02,500,6.9295,6.7711
2020-09-24,6.36,6.36,6.36,6.36,600,6.933,6.732
2020-09-25,5.77,6.58,5.77,6.51,7100,6.944,6.7108
2020-09-28,5.62,7.02,5.62,5.84,2300,6.8685,6.6279
2020-09-29,5.69,5.84,5.84,5.84,0,6.7965,6.5528
2020-09-30,5.69,5.84,5.84,5.84,0,6.688,6.485
2020-10-01,5.69,5.84,5.84,5.84,0,6.5795,6.4235
2020-10-02,5.69,5.84,5.84,5.84,0,6.5305,6.368
2020-10-05,5.69,5.84,5.84,5.84,0,6.4915,6.3177
2020-10-06,5.69,5.84,5.84,5.84,0,6.4805,6.2722
2020-10-07,5.69,5.84,5.84,5.84,0,6.4695,6.231
2020-10-08,5.69,5.84,5.84,5.84,0,6.414,6.1938
2020-10-09,6.51,6.51,6.51,6.51,100,6.4365,6.2239
2020-10-12,6.51,6.51,6.51,6.51,0,6.4145,6.2511
2020-10-13,6.51,6.51,6.51,6.51,300,6.3925,6.2758
2020-10-14,6.51,6.51,6.51,6.51,0,6.352,6.2981
2020-10-15,6.51,6.51,6.51,6.51,0,6.315,6.3183
2020-10-16,6.51,6.51,6.51,6.51,0,6.278,6.3365
2020-10-19,6.51,6.51,6.51,6.51,0,6.241,6.3531
2020-10-20,6.51,6.51,6.51,6.51,0,6.2265,6.368
2020-10-21,6.51,6.51,6.51,6.51,0,6.201,6.3815
2020-10-22,6.51,6.51,6.51,6.51,0,6.2085,6.3938
2020-10-23,6.51,6.51,6.51,6.51,0,6.2085,6.4048
2020-10-26,6.51,6.51,6.51,6.51,0,6.242,6.4149
2020-10-27,6.51,6.51,6.51,6.51,0,6.2755,6.4239
2020-10-28,6.51,6.51,6.51,6.51,0,6.309,6.4321
2020-10-29,6.51,6.51,6.51,6.51,0,6.3425,6.4395
2020-10-30,5.54,5.54,5.54,5.54,100,6.3275,6.3539
2020-11-02,5.54,5.54,5.54,5.54,0,6.3125,6.2764
2020-11-03,6.36,6.36,4.88,4.88,200,6.2645,6.1434
2020-11-04,5.62,4.88,4.88,4.88,0,6.2165,6.023
2020-11-05,5.62,4.88,4.88,4.88,0,6.1685,5.9142
2020-11-06,5.62,4.88,4.88,4.88,0,6.087,5.8157
2020-11-09,5.62,4.88,4.88,4.88,0,6.0055,5.7266
2020-11-10,5.62,4.88,4.88,4.88,0,5.924,5.6459
2020-11-11,5.62,4.88,4.88,4.88,0,5.8425,5.573
2020-11-12,5.62,4.88,4.88,4.88,0,5.761,5.507
2020-11-13,6.43,6.43,5.62,5.62,2200,5.7165,5.5178
2020-11-16,5.99,5.62,5.62,5.62,0,5.672,5.5275
2020-11-17,6.51,6.51,6.51,6.51,100,5.672,5.6211
2020-11-18,6.51,6.51,6.51,6.51,0,5.672,5.7057
2020-11-19,6.51,6.51,6.51,6.51,0,5.672,5.7823
2020-11-20,6.65,6.65,6.65,6.65,100,5.679,5.865
2020-11-23,7.61,7.61,7.47,7.47,4200,5.727,6.0178
2020-11-24,6.36,6.36,6.36,6.36,1100,5.7195,6.0504
2020-11-25,6.88,7.25,6.88,7.25,800,5.7565,6.1647
2020-11-26,7.17,7.25,7.25,7.25,0,5.7935,6.268
2020-11-27,7.17,7.25,7.25,7.25,0,5.879,6.3615
2020-11-30,6.21,6.21,6.21,6.21,200,5.9125,6.3471
2020-12-01,6.21,6.21,6.21,6.21,0,5.979,6.3341
2020-12-02,7.1,7.1,5.77,5.77,1000,6.0235,6.2803
2020-12-03,7.02,7.02,5.69,5.69,600,6.064,6.2241
2020-12-04,5.91,5.69,5.69,5.69,0,6.1045,6.1732
2020-12-07,5.91,5.69,5.69,5.69,0,6.145,6.1272
2020-12-08,5.91,5.69,5.69,5.69,0,6.1855,6.0856
2020-12-09,6.8,6.8,5.32,5.32,600,6.2075,6.0127
2020-12-10,5.54,5.32,5.32,5.32,0,6.2295,5.9467
2020-12-11,5.54,5.32,5.32,5.32,0,6.2145,5.887
2020-12-14,5.54,5.32,5.32,5.32,0,6.1995,5.833
2020-12-15,5.54,5.32,5.32,5.32,0,6.14,5.7842
2020-12-16,5.54,5.32,5.32,5.32,0,6.0805,5.7399
2020-12-17,6.36,6.36,6.36,6.36,100,6.073,5.799
2020-12-18,6.36,6.36,6.36,6.36,0,6.0585,5.8524
2020-12-21,6.36,6.36,6.36,6.36,0,6.003,5.9008
2020-12-22,6.36,6.36,6.36,6.36,1300,6.003,5.9445
2020-12-23,6.36,6.36,6.36,6.36,0,5.9585,5.9841
2020-12-24,6.36,6.36,6.36,6.36,0,5.914,6.0199
