time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,9.44,9.38,9.38,9.38,0,,
2020-01-03,9.44,9.38,9.38,9.38,0,,
2020-01-06,9.44,9.38,9.38,9.38,0,,
2020-01-07,9.44,9.38,9.38,9.38,0,,
2020-01-08,9.44,9.38,9.38,9.38,0,,
2020-01-09,9.44,9.44,9.44,9.38,50,,
2020-01-10,9.44,9.38,9.38,9.38,0,,
2020-01-13,9.44,9.38,9.38,9.38,0,,
2020-01-14,9.44,9.38,9.38,9.38,0,,
2020-01-15,9.44,9.38,9.38,9.38,0,,
2020-01-16,9.44,9.38,9.38,9.38,0,,
2020-01-17,9.44,9.38,9.38,9.38,0,,
2020-01-20,9.44,9.38,9.38,9.38,0,,
2020-01-21,9.44,9.38,9.38,9.38,0,,
2020-01-22,9.44,9.38,9.38,9.38,0,,
2020-01-30,9.44,9.38,9.38,9.38,0,,
2020-01-31,9.44,9.38,9.38,9.38,0,,
2020-02-03,9.44,9.38,9.38,9.38,0,,
2020-02-04,9.44,9.38,9.38,9.38,0,,
2020-02-05,9.44,9.38,9.38,9.38,0,9.38,9.38
2020-02-06,13.13,13.13,13.13,13.13,100,9.5675,9.7371
2020-02-07,13.13,13.13,13.13,13.13,0,9.755,10.0603
2020-02-10,13.13,13.13,13.13,13.13,0,9.9425,10.3526
2020-02-11,13.13,13.13,13.13,13.13,0,10.13,10.6171
2020-02-12,11.19,11.19,11.19,11.19,100,10.2205,10.6717
2020-02-13,12.59,12.59,12.59,12.59,100,10.381,10.8544
2020-02-14,12.39,12.99,12.39,12.99,300,10.5615,11.0578
2020-02-17,14.0,14.0,14.0,14.0,100,10.7925,11.338
2020-02-18,14.0,14.0,14.0,14.0,0,11.0235,11.5915
2020-02-19,14.0,14.0,14.0,14.0,10,11.2545,11.8209
2020-02-20,14.0,14.0,14.0,14.0,0,11.4855,12.0284
2020-02-21,14.0,14.0,14.0,14.0,0,11.7165,12.2162
2020-02-24,14.0,14.0,14.0,14.0,0,11.9475,12.3861
2020-02-25,14.0,14.0,14.0,14.0,0,12.1785,12.5398
2020-02-26,14.0,14.0,14.0,14.0,0,12.4095,12.6789
2020-02-27,14.0,14.0,14.0,14.0,0,12.6405,12.8047
2020-02-28,14.0,14.0,14.0,14.0,0,12.8715,12.9185
2020-03-02,14.0,14.0,14.0,14.0,0,13.1025,13.0215
2020-03-03,14.0,14.0,14.0,14.0,0,13.3335,13.1147
2020-03-04,11.92,11.92,11.92,11.92,100,13.4605,13.0009
2020-03-05,10.18,13.46,10.18,13.46,400,13.477,13.0446
2020-03-06,10.78,10.78,10.78,10.78,100,13.3595,12.829
2020-03-09,9.24,9.24,9.24,9.24,1900,13.165,12.4872
2020-03-10,8.1,8.1,8.1,8.1,1000,12.9135,12.0693
2020-03-11,8.1,8.1,8.1,8.1,0,12.759,11.6913
2020-03-12,9.24,9.31,9.24,9.31,510,12.595,11.4645
2020-03-13,8.04,10.52,8.04,10.18,700,12.4545,11.3422
2020-03-16,11.05,11.05,8.37,10.99,2300,12.304,11.3086
2020-03-17,9.85,9.85,8.1,9.85,2100,12.0965,11.1697
2020-03-18,10.11,10.11,10.11,10.11,100,11.902,11.0688
2020-03-19,11.32,11.32,8.64,9.31,3600,11.6675,10.9013
2020-03-20,9.31,9.31,9.31,9.31,100,11.433,10.7497
2020-03-23,9.31,9.31,9.31,9.31,0,11.1985,10.6126
2020-03-24,10.38,10.38,10.38,10.38,100,11.0175,10.5905
2020-03-25,8.84,11.32,8.84,11.25,2400,10.88,10.6533
2020-03-26,10.32,10.32,10.32,10.32,100,10.696,10.6215
2020-03-27,11.32,11.32,11.32,11.32,100,10.562,10.6881
2020-03-30,9.65,9.65,9.65,9.65,200,10.3445,10.5892
2020-03-31,9.65,9.65,9.65,9.65,0,10.127,10.4997
2020-04-01,10.65,10.65,9.65,9.65,780,10.0135,10.4188
2020-04-03,9.78,9.78,9.78,9.65,120,9.823,10.3456
2020-04-06,9.65,9.65,9.38,9.38,2250,9.753,10.2536
2020-04-07,10.58,10.58,10.58,10.58,100,9.82,10.2847
2020-04-08,10.58,10.58,10.58,10.58,0,9.944,10.3128
2020-04-09,10.58,10.58,10.58,10.58,0,10.068,10.3383
2020-04-10,9.04,9.04,9.04,9.04,1200,10.0545,10.2146
2020-04-13,9.04,9.04,9.04,9.04,0,9.9975,10.1028
2020-04-14,8.1,8.1,8.1,8.1,600,9.853,9.912
2020-04-15,8.1,8.1,8.1,8.1,0,9.7655,9.7395
2020-04-16,8.1,8.1,8.1,8.1,0,9.665,9.5833
2020-04-17,8.1,8.1,8.1,8.1,0,9.6045,9.442
2020-04-20,8.1,8.1,8.1,8.1,0,9.544,9.3142
2020-04-21,8.37,8.37,8.37,8.37,800,9.497,9.2243
2020-04-22,8.37,8.37,8.37,8.37,500,9.3965,9.1429
2020-04-23,8.37,8.37,8.37,8.37,200,9.2525,9.0693
2020-04-24,8.37,8.37,8.37,8.37,0,9.155,9.0027
2020-04-27,8.37,8.37,8.37,8.37,0,9.0075,8.9425
2020-04-28,8.37,8.37,8.37,8.37,0,8.9435,8.8879
2020-04-29,8.37,8.37,8.37,8.37,0,8.8795,8.8386
2020-05-04,8.37,8.37,8.37,8.37,0,8.8155,8.794
2020-05-05,8.37,8.37,8.37,8.37,0,8.7515,8.7536
2020-05-06,8.37,8.37,8.37,8.37,0,8.701,8.7171
2020-05-07,8.37,8.37,8.37,8.37,0,8.5905,8.684
2020-05-08,8.37,8.37,8.37,8.37,0,8.48,8.6541
2020-05-11,8.37,8.37,8.37,8.37,0,8.3695,8.6271
2020-05-12,9.24,9.24,9.24,9.24,100,8.3795,8.6854
2020-05-13,9.24,9.24,9.24,9.24,0,8.3895,8.7382
2020-05-14,9.24,9.24,9.24,9.24,0,8.4465,8.786
2020-05-15,9.24,9.24,9.24,9.24,0,8.5035,8.8293
2020-05-18,9.24,9.24,9.24,9.24,0,8.5605,8.8684
2020-05-19,9.24,9.24,9.24,9.24,0,8.6175,8.9038
2020-05-20,9.24,9.24,9.24,9.24,0,8.6745,8.9358
2020-05-21,9.24,9.24,9.24,9.24,0,8.718,8.9648
2020-05-22,9.24,9.24,9.24,9.24,0,8.7615,8.991
