time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,18.49,18.49,18.49,18.49,0,,
2020-01-03,18.49,18.49,18.49,18.49,0,,
2020-01-06,18.49,18.49,18.49,18.49,0,,
2020-01-07,18.49,18.49,18.49,18.49,0,,
2020-01-08,18.49,18.49,18.49,18.49,0,,
2020-01-09,18.49,18.49,18.49,18.49,0,,
2020-01-10,18.49,18.49,18.49,18.49,0,,
2020-01-13,18.49,18.49,18.49,18.49,0,,
2020-01-14,18.49,18.49,18.49,18.49,0,,
2020-01-15,18.49,18.49,18.49,18.49,0,,
2020-01-16,18.49,18.49,18.49,18.49,0,,
2020-01-17,18.49,18.49,18.49,18.49,0,,
2020-01-20,18.49,18.49,18.49,18.49,0,,
2020-01-21,18.49,18.49,18.49,18.49,0,,
2020-01-22,18.49,18.49,18.49,18.49,0,,
2020-01-30,18.49,18.49,18.49,18.49,0,,
2020-01-31,18.49,18.49,18.49,18.49,0,,
2020-02-03,18.49,18.49,18.49,18.49,0,,
2020-02-04,18.49,18.49,18.49,18.49,0,,
2020-02-05,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-02-06,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-02-07,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-02-10,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-02-11,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-02-12,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-02-13,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-02-14,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-02-17,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-02-18,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-02-19,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-02-20,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-02-21,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-02-24,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-02-25,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-02-26,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-02-27,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-02-28,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-03-02,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-03-03,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-03-04,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-03-05,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-03-06,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-03-09,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-03-10,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-03-11,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-03-12,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-03-13,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-03-16,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-03-17,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-03-18,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-03-19,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-03-20,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-03-23,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-03-24,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-03-25,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-03-26,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-03-27,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-03-30,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-03-31,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-04-01,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-04-03,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-04-06,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-04-07,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-04-08,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-04-09,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-04-10,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-04-13,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-04-14,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-04-15,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-04-16,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-04-17,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-04-20,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-04-21,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-04-22,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-04-23,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-04-24,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-04-27,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-04-28,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-04-29,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-05-04,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-05-05,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-05-06,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-05-07,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-05-08,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-05-11,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-05-12,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-05-13,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-05-14,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-05-15,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-05-18,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-05-19,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-05-20,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-05-21,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-05-22,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-05-25,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-05-26,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-05-27,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-05-28,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-05-29,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-06-01,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-06-02,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-06-03,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-06-04,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-06-05,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-06-08,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-06-09,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-06-10,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-06-11,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-06-12,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-06-15,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-06-16,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-06-17,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-06-18,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-06-19,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-06-22,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-06-23,18.49,18.49,18.49,18.49,50600,18.49,18.49
2020-06-24,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-06-25,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-06-26,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-06-29,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-06-30,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-07-01,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-07-02,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-07-03,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-07-06,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-07-07,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-07-08,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-07-09,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-07-10,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-07-13,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-07-14,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-07-15,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-07-16,18.49,18.49,18.49,18.49,0,18.49,18.49
2020-07-17,18.45,19.61,19.61,19.61,0,18.546,18.5967
2020-07-20,18.45,18.45,18.45,18.45,0,18.544,18.5827
2020-07-21,18.45,19.61,19.61,19.61,0,18.6,18.6805
2020-07-22,18.45,19.61,19.61,19.61,0,18.656,18.7691
2020-07-23,18.45,19.61,19.61,19.61,0,18.712,18.8491
2020-07-24,18.45,19.61,19.61,19.61,0,18.768,18.9216
2020-07-27,18.45,19.61,19.61,19.61,0,18.824,18.9872
2020-07-28,18.45,19.61,19.61,19.61,0,18.88,19.0465
2020-07-29,18.45,19.61,19.61,19.61,0,18.936,19.1002
2020-07-30,18.45,19.61,19.61,19.61,0,18.992,19.1487
2020-07-31,18.45,19.61,19.61,19.61,0,19.048,19.1926
2020-08-03,18.45,19.61,19.61,19.61,0,19.104,19.2324
2020-08-04,18.45,19.61,19.61,19.61,0,19.16,19.2684
2020-08-05,18.45,19.61,19.61,19.61,0,19.216,19.3009
2020-08-06,18.45,19.61,19.61,19.61,0,19.272,19.3303
2020-08-07,18.45,19.61,19.61,19.61,0,19.328,19.357
2020-08-10,18.45,19.61,19.61,19.61,0,19.384,19.3811
2020-08-11,18.45,19.61,19.61,19.61,0,19.44,19.4029
2020-08-12,18.45,19.61,19.61,19.61,0,19.496,19.4226
2020-08-13,18.45,19.61,19.61,19.61,0,19.552,19.4404
2020-08-14,18.45,19.61,19.61,19.61,0,19.552,19.4566
2020-08-17,18.45,19.61,19.61,19.61,0,19.61,19.4712
2020-08-18,18.45,19.61,19.61,19.61,0,19.61,19.4844
2020-08-19,18.45,19.61,19.61,19.61,0,19.61,19.4964
2020-08-20,18.45,19.61,19.61,19.61,0,19.61,19.5072
2020-08-21,18.45,19.61,19.61,19.61,0,19.61,19.517
2020-08-24,18.45,19.61,19.61,19.61,0,19.61,19.5258
2020-08-25,18.45,19.61,19.61,19.61,0,19.61,19.5339
2020-08-26,18.45,19.61,19.61,19.61,0,19.61,19.5411
2020-08-27,18.45,19.61,19.61,19.61,0,19.61,19.5477
2020-08-28,18.45,19.61,19.61,19.61,0,19.61,19.5536
2020-08-31,18.45,19.61,19.61,19.61,0,19.61,19.559
2020-09-01,18.45,19.61,19.61,19.61,0,19.61,19.5638
2020-09-03,18.54,18.54,18.54,18.54,1000,19.5565,19.4663
2020-09-04,18.54,18.54,18.54,18.54,0,19.503,19.3781
2020-09-07,18.54,18.54,18.54,18.54,0,19.4495,19.2983
2020-09-08,18.54,18.54,18.54,18.54,0,19.396,19.2261
2020-09-09,18.54,18.54,18.54,18.54,0,19.3425,19.1607
2020-09-10,18.54,18.54,18.54,18.54,0,19.289,19.1016
2020-09-11,18.54,18.54,18.54,18.54,0,19.2355,19.0481
2020-09-14,18.54,18.54,18.54,18.54,0,19.182,18.9997
2020-09-15,18.54,18.54,18.54,18.54,0,19.1285,18.9559
2020-09-16,18.54,18.54,18.54,18.54,0,19.075,18.9163
2020-09-17,18.54,18.54,18.54,18.54,0,19.0215,18.8805
2020-09-18,18.54,18.54,18.54,18.54,0,18.968,18.8481
2020-09-21,18.54,18.54,18.54,18.54,0,18.9145,18.8187
2020-09-22,18.54,18.54,18.54,18.54,0,18.861,18.7922
2020-09-23,18.54,18.54,18.54,18.54,0,18.8075,18.7682
2020-09-24,18.54,18.54,18.54,18.54,0,18.754,18.7464
2020-09-25,18.54,18.54,18.54,18.54,0,18.7005,18.7268
2020-09-28,18.54,18.54,18.54,18.54,0,18.647,18.709
2020-09-29,18.54,18.54,18.54,18.54,0,18.5935,18.6929
2020-09-30,18.54,18.54,18.54,18.54,0,18.54,18.6783
2020-10-01,18.54,18.54,18.54,18.54,0,18.54,18.6652
2020-10-02,18.54,18.54,18.54,18.54,0,18.54,18.6532
2020-10-05,18.54,18.54,18.54,18.54,0,18.54,18.6425
2020-10-06,18.54,18.54,18.54,18.54,0,18.54,18.6327
2020-10-07,18.54,18.54,18.54,18.54,0,18.54,18.6239
2020-10-08,18.54,18.54,18.54,18.54,0,18.54,18.6159
2020-10-09,18.54,18.54,18.54,18.54,0,18.54,18.6087
2020-10-12,18.54,18.54,18.54,18.54,0,18.54,18.6021
2020-10-13,18.54,18.54,18.54,18.54,0,18.54,18.5962
2020-10-14,18.54,18.54,18.54,18.54,0,18.54,18.5908
2020-10-15,18.54,18.54,18.54,18.54,0,18.54,18.586
2020-10-16,18.54,18.54,18.54,18.54,0,18.54,18.5816
2020-10-19,18.54,18.54,18.54,18.54,0,18.54,18.5777
2020-10-20,18.54,18.54,18.54,18.54,0,18.54,18.5741
2020-10-21,18.54,18.54,18.54,18.54,0,18.54,18.5708
2020-10-22,18.54,18.54,18.54,18.54,0,18.54,18.5679
2020-10-23,18.54,18.54,18.54,18.54,0,18.54,18.5652
2020-10-26,18.54,18.54,18.54,18.54,0,18.54,18.5628
2020-10-27,18.54,18.54,18.54,18.54,0,18.54,18.5607
2020-10-28,18.54,18.54,18.54,18.54,0,18.54,18.5587
2020-10-29,18.54,18.54,18.54,18.54,0,18.54,18.5569
2020-10-30,18.54,18.54,18.54,18.54,0,18.54,18.5553
2020-11-02,18.54,18.54,18.54,18.54,0,18.54,18.5538
2020-11-03,18.54,18.54,18.54,18.54,0,18.54,18.5525
2020-11-04,18.54,18.54,18.54,18.54,0,18.54,18.5513
2020-11-05,18.54,18.54,18.54,18.54,0,18.54,18.5503
2020-11-06,18.54,18.54,18.54,18.54,0,18.54,18.5493
2020-11-09,18.54,18.54,18.54,18.54,11200,18.54,18.5484
2020-11-10,18.54,18.54,18.54,18.54,0,18.54,18.5476
2020-11-11,18.54,18.54,18.54,18.54,0,18.54,18.5469
2020-11-12,18.54,18.54,18.54,18.54,0,18.54,18.5462
2020-11-13,18.54,18.54,18.54,18.54,0,18.54,18.5456
2020-11-16,18.54,18.54,18.54,18.54,0,18.54,18.5451
2020-11-17,18.54,18.54,18.54,18.54,0,18.54,18.5446
2020-11-18,18.54,18.54,18.54,18.54,0,18.54,18.5442
2020-11-19,18.54,18.54,18.54,18.54,0,18.54,18.5438
2020-11-20,18.54,18.54,18.54,18.54,0,18.54,18.5434
2020-11-23,18.54,18.54,18.54,18.54,0,18.54,18.5431
2020-11-24,18.54,18.54,18.54,18.54,0,18.54,18.5428
2020-11-25,18.54,18.54,18.54,18.54,0,18.54,18.5425
2020-11-26,18.54,18.54,18.54,18.54,0,18.54,18.5423
2020-11-27,18.54,18.54,18.54,18.54,0,18.54,18.5421
2020-11-30,18.54,18.54,18.54,18.54,0,18.54,18.5419
2020-12-01,18.54,18.54,18.54,18.54,0,18.54,18.5417
2020-12-02,18.54,18.54,18.54,18.54,0,18.54,18.5415
2020-12-03,18.54,18.54,18.54,18.54,0,18.54,18.5414
2020-12-04,18.54,18.54,18.54,18.54,0,18.54,18.5413
2020-12-07,17.91,17.91,17.91,17.91,11800,18.5085,18.4811
2020-12-08,17.91,17.91,17.91,17.91,0,18.477,18.4267
2020-12-09,17.91,17.91,17.91,17.91,0,18.4455,18.3775
2020-12-10,20.6,20.6,20.6,20.6,100,18.5485,18.5892
2020-12-11,23.64,23.64,23.64,23.64,100,18.8035,19.0702
2020-12-14,27.14,27.14,27.14,27.14,100,19.2335,19.8388
2020-12-15,23.11,31.17,23.11,31.17,4800,19.865,20.9179
2020-12-16,23.28,31.17,31.17,31.17,0,20.4965,21.8943
2020-12-17,23.28,23.28,23.28,23.28,9800,20.7335,22.0263
2020-12-18,23.28,23.28,23.28,23.28,0,20.9705,22.1457
2020-12-21,23.28,23.28,23.28,23.28,1100,21.2075,22.2537
2020-12-22,23.28,23.28,23.28,23.28,0,21.4445,22.3515
2020-12-23,23.2,23.2,23.2,23.2,1000,21.6775,22.4323
2020-12-24,23.2,23.2,23.2,23.2,1000,21.9105,22.5054
2020-12-25,26.6,26.6,26.6,26.6,100,22.3135,22.8954
2020-12-28,26.6,26.6,26.6,26.6,0,22.7165,23.2482
2020-12-29,30.54,30.54,30.54,30.54,400,23.3165,23.9426
2020-12-30,30.54,30.54,30.54,30.54,0,23.9165,24.571
