time,open,high,low,close,volume,SMA_20,EMA_20
2020-05-20,4.77,4.77,4.77,4.77,0,,
2020-05-21,4.77,4.77,4.77,4.77,0,,
2020-05-22,4.77,4.77,4.77,4.77,0,,
2020-05-25,4.77,4.77,4.77,4.77,0,,
2020-05-26,4.77,4.77,4.77,4.77,0,,
2020-05-27,4.77,4.77,4.77,4.77,0,,
2020-05-28,4.77,4.77,4.77,4.77,0,,
2020-05-29,4.77,4.77,4.77,4.77,0,,
2020-06-01,4.77,4.77,4.77,4.77,0,,
2020-06-02,4.77,4.77,4.77,4.77,0,,
2020-06-03,4.77,4.77,4.77,4.77,0,,
2020-06-04,6.66,6.66,6.66,6.66,200,,
2020-06-05,7.62,7.62,7.62,7.62,100,,
2020-06-08,8.7,8.74,8.62,8.62,600,,
2020-06-09,9.82,9.98,8.7,9.98,400,,
2020-06-10,10.42,11.07,10.42,11.07,300,,
2020-06-11,12.39,12.39,12.39,12.39,100,,
2020-06-12,14.19,14.23,14.19,14.23,400,,
2020-06-15,16.36,16.36,16.36,16.36,400,,
2020-06-16,18.8,18.8,18.8,18.8,200,7.91,9.4994
2020-06-17,21.57,21.61,21.49,21.61,900,8.752,10.6528
2020-06-18,21.57,21.61,21.61,21.61,0,9.594,11.6964
2020-06-19,18.36,18.36,18.36,18.36,100,10.2735,12.331
2020-06-22,18.36,18.36,18.36,18.36,100,10.953,12.9052
2020-06-23,18.36,18.36,18.36,18.36,0,11.6325,13.4247
2020-06-24,18.36,18.36,18.36,18.36,0,12.312,13.8947
2020-06-25,15.64,17.24,15.64,17.24,2300,12.9355,14.2133
2020-06-26,14.59,14.63,14.59,14.63,200,13.4285,14.253
2020-06-29,13.23,13.23,13.23,13.23,100,13.8515,14.1556
2020-06-30,11.27,11.27,11.27,11.27,100,14.1765,13.8808
2020-07-01,9.62,9.62,9.62,9.62,100,14.419,13.475
2020-07-02,8.42,8.42,8.42,8.42,100,14.507,12.9935
2020-07-03,7.18,7.18,7.18,7.18,100,14.485,12.4399
2020-07-06,7.18,7.18,7.18,7.18,100,14.413,11.9389
2020-07-07,7.18,7.18,7.18,7.18,0,14.273,11.4857
2020-07-08,7.18,7.18,7.18,7.18,100,14.0785,11.0756
2020-07-09,7.18,7.18,7.18,7.18,100,13.818,10.7046
2020-07-10,7.22,7.22,7.22,7.22,100,13.4675,10.3728
2020-07-13,7.22,7.22,7.22,7.22,100,13.0105,10.0725
2020-07-14,7.22,7.22,7.22,7.22,100,12.4315,9.8008
2020-07-15,7.22,7.22,7.22,7.22,100,11.712,9.555
2020-07-16,7.22,7.22,7.22,7.22,100,10.9925,9.3326
2020-07-17,7.22,7.22,7.22,7.22,100,10.4355,9.1314
2020-07-20,7.22,7.22,7.22,7.22,0,9.8785,8.9494
2020-07-21,7.22,7.22,7.22,7.22,100,9.3215,8.7847
2020-07-22,7.22,7.22,7.22,7.22,100,8.7645,8.6357
2020-07-23,7.22,7.22,7.22,7.22,100,8.2635,8.5009
2020-07-24,7.22,7.22,7.22,7.22,100,7.893,8.3789
2020-07-27,7.22,7.22,7.22,7.22,100,7.5925,8.2685
2020-07-28,7.22,7.22,7.22,7.22,100,7.39,8.1686
2020-07-29,7.22,7.22,7.22,7.22,100,7.27,8.0783
2020-07-30,7.22,7.22,7.22,7.22,100,7.21,7.9966
2020-07-31,7.22,7.22,7.22,7.22,100,7.212,7.9226
2020-08-03,7.22,7.22,7.22,7.22,100,7.214,7.8557
2020-08-04,7.22,7.22,7.22,7.22,100,7.216,7.7951
2020-08-05,7.22,7.22,7.22,7.22,100,7.218,7.7404
2020-08-06,7.22,7.22,7.22,7.22,100,7.22,7.6908
2020-08-07,7.22,7.22,7.22,7.22,100,7.22,7.646
2020-08-10,7.22,7.22,7.22,7.22,100,7.22,7.6054
2020-08-11,8.3,8.3,8.3,8.3,300,7.274,7.6716
2020-08-12,7.06,7.06,7.06,7.06,100,7.266,7.6133
2020-08-13,6.01,6.01,6.01,6.01,100,7.2055,7.4606
2020-08-14,6.01,6.01,6.01,6.01,100,7.145,7.3225
2020-08-17,5.61,6.9,5.61,6.9,200,7.129,7.2822
2020-08-18,6.01,6.25,6.01,6.25,200,7.0805,7.1839
2020-08-19,6.01,6.01,6.01,6.01,100,7.02,7.0721
2020-08-20,6.01,6.01,6.01,6.01,100,6.9595,6.971
2020-08-21,6.01,6.01,6.01,6.01,100,6.899,6.8794
2020-08-24,6.01,6.01,6.01,6.01,100,6.8385,6.7966
2020-08-25,6.01,6.01,6.01,6.01,0,6.778,6.7217
2020-08-26,6.01,6.01,6.01,6.01,500,6.7175,6.6539
2020-08-27,5.61,5.61,5.61,5.61,100,6.637,6.5545
2020-08-28,5.61,5.61,5.61,5.61,0,6.5565,6.4646
2020-08-31,5.61,5.61,5.61,5.61,1400,6.476,6.3832
2020-09-01,5.61,5.61,5.61,5.61,0,6.3955,6.3095
2020-09-03,5.41,5.41,5.41,5.41,100,6.305,6.2239
2020-09-04,5.41,5.41,5.41,5.41,0,6.2145,6.1464
2020-09-07,5.41,5.41,5.41,5.41,0,6.124,6.0762
2020-09-08,5.41,5.41,5.41,5.41,0,6.0335,6.0128
2020-09-09,5.41,5.41,5.41,5.41,0,5.889,5.9554
2020-09-10,5.41,5.41,5.41,5.41,0,5.8065,5.9034
2020-09-11,5.41,5.41,5.41,5.41,0,5.7765,5.8564
2020-09-14,5.21,5.21,5.21,5.21,100,5.7365,5.7949
2020-09-15,5.21,5.21,5.21,5.21,0,5.652,5.7392
2020-09-16,5.21,5.21,5.21,5.21,0,5.6,5.6888
2020-09-17,5.21,5.21,5.21,5.21,0,5.56,5.6432
2020-09-18,5.21,5.21,5.21,5.21,0,5.52,5.6019
2020-09-21,5.21,5.21,5.21,5.21,0,5.48,5.5646
2020-09-22,5.21,5.21,5.21,5.21,100,5.44,5.5308
2020-09-23,5.21,5.21,5.21,5.21,0,5.4,5.5003
2020-09-24,5.21,5.21,5.21,5.21,0,5.36,5.4726
2020-09-25,5.21,5.21,5.21,5.21,0,5.34,5.4476
2020-09-28,5.21,5.21,5.21,5.21,0,5.32,5.425
2020-09-29,5.21,5.21,5.21,5.21,0,5.3,5.4045
2020-09-30,5.21,5.21,5.21,5.21,100,5.28,5.386
2020-10-01,5.21,5.21,5.21,5.21,0,5.27,5.3692
2020-10-02,5.21,5.21,5.13,5.13,400,5.256,5.3464
2020-10-05,5.17,5.17,5.01,5.01,700,5.236,5.3144
2020-10-06,5.09,5.01,5.01,5.01,0,5.216,5.2854
2020-10-07,5.09,5.01,5.01,5.01,0,5.196,5.2592
2020-10-08,5.09,5.01,5.01,5.01,0,5.176,5.2354
2020-10-09,5.09,5.01,5.01,5.01,0,5.156,5.214
2020-10-12,5.09,5.01,5.01,5.01,0,5.146,5.1945
2020-10-13,5.09,5.01,5.01,5.01,0,5.136,5.177
2020-10-14,5.09,5.01,5.01,5.01,0,5.126,5.1611
2020-10-15,5.09,5.01,5.01,5.01,0,5.116,5.1467
2020-10-16,5.09,5.01,5.01,5.01,0,5.106,5.1337
2020-10-19,5.09,5.01,5.01,5.01,0,5.096,5.1219
2020-10-20,5.09,5.01,5.01,5.01,0,5.086,5.1112
2020-10-21,5.09,5.01,5.01,5.01,0,5.076,5.1016
2020-10-22,5.09,5.01,5.01,5.01,0,5.066,5.0929
2020-10-23,5.09,5.01,5.01,5.01,0,5.056,5.085
2020-10-26,5.09,5.01,5.01,5.01,0,5.046,5.0778
2020-10-27,5.09,5.01,5.01,5.01,0,5.036,5.0714
2020-10-28,5.09,5.01,5.01,5.01,0,5.026,5.0655
2020-10-29,5.09,5.01,5.01,5.01,0,5.016,5.0602
2020-10-30,5.09,5.01,5.01,5.01,0,5.01,5.0555
2020-11-02,5.09,5.01,5.01,5.01,0,5.01,5.0511
2020-11-03,5.09,5.01,5.01,5.01,0,5.01,5.0472
2020-11-04,5.09,5.01,5.01,5.01,0,5.01,5.0437
2020-11-05,5.09,5.01,5.01,5.01,0,5.01,5.0405
2020-11-06,5.09,5.01,5.01,5.01,0,5.01,5.0376
2020-11-09,5.09,5.01,5.01,5.01,0,5.01,5.0349
2020-11-10,5.09,5.01,5.01,5.01,0,5.01,5.0326
2020-11-11,5.09,5.01,5.01,5.01,0,5.01,5.0304
2020-11-12,5.09,5.01,5.01,5.01,0,5.01,5.0285
2020-11-13,5.09,5.01,5.01,5.01,0,5.01,5.0267
2020-11-16,5.09,5.01,5.01,5.01,0,5.01,5.0251
2020-11-17,4.81,4.81,4.81,4.81,100,5.0,5.0046
2020-11-18,4.81,4.81,4.81,4.81,0,4.99,4.9861
2020-11-19,4.81,4.81,4.81,4.81,0,4.98,4.9693
2020-11-20,4.81,4.81,4.81,4.81,0,4.97,4.9541
2020-11-23,4.81,4.81,4.81,4.81,0,4.96,4.9404
2020-11-24,4.81,4.81,4.81,4.81,0,4.95,4.928
2020-11-25,4.81,4.81,4.81,4.81,0,4.94,4.9168
2020-11-26,4.81,4.81,4.81,4.81,0,4.93,4.9066
2020-11-27,4.81,4.81,4.81,4.81,0,4.92,4.8974
2020-11-30,4.81,4.81,4.81,4.81,0,4.91,4.8891
2020-12-01,4.81,4.81,4.81,4.81,0,4.9,4.8815
2020-12-02,4.81,4.81,4.81,4.81,0,4.89,4.8747
2020-12-03,5.53,5.53,5.53,5.53,100,4.916,4.9371
2020-12-04,6.33,6.33,6.33,6.33,100,4.982,5.0698
2020-12-07,7.26,7.26,7.26,7.26,100,5.0945,5.2784
2020-12-08,7.26,7.26,7.26,7.26,100,5.207,5.4671
2020-12-09,7.26,8.34,7.26,8.34,1200,5.3735,5.7407
2020-12-10,8.26,9.46,8.26,9.46,400,5.596,6.0949
2020-12-11,9.18,10.54,9.18,10.54,1000,5.8725,6.5183
2020-12-14,11.99,11.99,11.99,11.99,1100,6.2215,7.0394
2020-12-15,11.99,11.99,11.99,11.99,0,6.5805,7.5109
