time,open,high,low,close,volume,SMA_20,EMA_20
2021-08-16,14.65,14.65,14.65,14.65,5500,,
2021-08-17,16.82,16.82,16.82,16.82,300,,
2021-08-18,19.32,19.32,19.32,19.32,20700,,
2021-08-19,19.32,22.15,16.49,16.49,54700,,
2021-08-20,16.24,17.48,16.24,16.24,16201,,
2021-08-23,16.24,16.24,14.15,15.82,5700,,
2021-08-24,14.49,16.24,14.15,16.24,6800,,
2021-08-25,16.24,16.24,14.57,16.15,1000,,
2021-08-26,15.32,16.07,14.99,14.99,900,,
2021-08-27,15.32,15.32,15.32,15.32,200,,
2021-08-30,14.49,16.24,13.32,16.07,9100,,
2021-08-31,16.24,16.24,14.99,16.07,1000,,
2021-09-01,15.82,15.82,15.82,15.82,100,,
2021-09-06,14.4,14.4,14.15,14.4,3800,,
2021-09-07,14.57,14.57,14.4,14.4,700,,
2021-09-08,14.57,14.57,14.4,14.4,4700,,
2021-09-09,14.99,14.99,14.82,14.82,1200,,
2021-09-10,15.32,15.32,14.99,14.99,1101,,
2021-09-13,14.57,14.65,14.49,14.65,1400,,
2021-09-14,14.99,14.99,14.15,14.15,5100,15.5905,15.0986
2021-09-15,14.57,14.57,14.57,14.57,1600,15.5865,15.0483
2021-09-16,14.99,14.99,14.32,14.32,300,15.4615,14.9789
2021-09-17,14.32,14.57,14.15,14.4,18400,15.2155,14.9238
2021-09-20,14.32,14.32,14.15,14.15,3800,15.0985,14.8501
2021-09-21,14.15,14.15,14.15,14.15,0,14.994,14.7834
2021-09-22,14.15,14.15,14.15,14.15,300,14.9105,14.7231
2021-09-23,14.15,14.15,13.99,13.99,8000,14.798,14.6533
2021-09-24,13.99,13.99,13.65,13.65,14701,14.673,14.5577
2021-09-27,13.74,13.74,13.24,13.32,10600,14.5895,14.4398
2021-09-28,13.32,13.32,13.32,13.32,1100,14.4895,14.3332
2021-09-29,13.15,13.32,13.15,13.32,1600,14.352,14.2367
2021-09-30,13.24,13.24,13.24,13.24,104,14.2105,14.1418
2021-10-01,13.24,13.49,13.24,13.49,1000,14.094,14.0797
2021-10-04,14.15,14.99,14.15,14.74,3503,14.111,14.1426
2021-10-05,15.82,15.82,15.82,15.82,100,14.182,14.3023
2021-10-06,14.57,14.99,14.57,14.99,2500,14.2115,14.3678
2021-10-07,13.32,14.57,13.32,14.57,1101,14.199,14.3871
2021-10-08,14.49,14.49,14.49,14.49,0,14.174,14.3969
2021-10-11,14.57,14.99,14.57,14.99,1708,14.191,14.4534
2021-10-12,14.99,14.99,14.99,14.99,1701,14.233,14.5045
2021-10-13,14.99,14.99,14.99,14.99,201,14.254,14.5507
2021-10-14,14.99,14.99,13.9,14.15,2203,14.2455,14.5126
2021-10-15,14.15,14.9,14.15,14.9,5402,14.2705,14.5495
2021-10-18,14.15,14.15,14.15,14.15,700,14.2705,14.5114
2021-10-19,12.16,14.49,12.16,14.49,306,14.2875,14.5094
2021-10-20,14.9,14.9,13.74,13.99,400,14.2795,14.4599
2021-10-21,13.74,13.99,13.74,13.99,2203,14.2795,14.4152
2021-10-22,13.9,13.9,13.9,13.9,2,14.292,14.3661
2021-10-25,14.15,14.15,14.15,14.15,100,14.3335,14.3455
2021-10-26,14.15,14.15,14.15,14.15,19,14.375,14.3269
2021-10-27,14.15,14.15,14.15,14.15,3,14.4165,14.31
2021-10-28,14.15,14.15,14.15,14.15,0,14.462,14.2948
2021-10-29,14.15,14.15,14.15,14.15,2003,14.495,14.281
2021-11-01,14.15,14.15,14.15,14.15,203,14.4655,14.2685
2021-11-02,14.15,14.15,14.15,14.15,2600,14.382,14.2572
2021-11-03,12.49,15.65,12.49,15.65,605,14.415,14.3899
2021-11-04,13.82,14.15,13.82,14.15,2300,14.394,14.367
2021-11-05,14.15,14.15,14.15,14.15,3003,14.377,14.3464
2021-11-08,14.15,14.15,14.15,14.15,400,14.335,14.3277
2021-11-09,14.24,14.24,14.24,14.24,7800,14.2975,14.3193
2021-11-10,14.4,14.4,14.4,14.4,305,14.268,14.327
2021-11-11,14.07,14.32,13.99,14.32,10501,14.2765,14.3263
2021-11-12,14.32,14.32,14.32,14.32,1500,14.2475,14.3257
2021-11-15,14.24,14.57,14.24,14.57,5702,14.2685,14.349
2021-11-16,13.4,13.74,13.4,13.65,6200,14.2265,14.2824
2021-11-17,13.65,13.65,13.65,13.65,1,14.2095,14.2222
2021-11-18,13.57,13.57,13.57,13.57,2019,14.1885,14.1601
2021-11-19,13.57,13.57,13.57,13.57,1,14.172,14.1039
2021-11-22,14.57,14.57,13.74,13.99,2600,14.164,14.093
2021-11-23,14.15,14.15,14.15,14.15,12202,14.164,14.0985
2021-11-24,14.15,14.15,14.15,14.15,4200,14.164,14.1034
2021-11-25,14.15,14.15,14.15,14.15,6000,14.164,14.1078
2021-11-26,14.15,14.15,14.15,14.15,30,14.164,14.1118
2021-11-29,14.15,14.15,14.15,14.15,0,14.164,14.1155
2021-11-30,14.15,14.15,14.15,14.15,12,14.164,14.1188
2021-12-01,13.49,14.15,13.49,14.15,5501,14.089,14.1217
2021-12-02,14.15,14.15,14.15,14.15,6317,14.089,14.1244
2021-12-03,14.15,14.15,14.15,14.15,0,14.089,14.1269
2021-12-06,13.49,13.49,13.49,13.49,100,14.056,14.0662
2021-12-07,13.49,13.74,13.49,13.74,10030,14.031,14.0351
2021-12-08,13.65,13.65,13.65,13.65,0,13.9935,13.9985
2021-12-09,14.15,14.15,14.15,14.15,10001,13.985,14.0129
2021-12-10,14.15,14.15,14.15,14.15,1,13.9765,14.0259
2021-12-13,14.07,14.07,14.07,14.07,2100,13.9515,14.0301
2021-12-14,14.07,14.07,14.07,14.07,23,13.9725,14.0339
2021-12-15,14.07,14.07,14.07,14.07,0,13.9935,14.0374
2021-12-16,13.32,13.49,13.32,13.49,6600,13.9895,13.9852
2021-12-17,13.49,13.49,13.49,13.49,100,13.9855,13.9381
2021-12-20,13.49,13.49,13.49,13.49,3,13.9605,13.8954
2021-12-21,13.49,13.49,13.4,13.4,10000,13.923,13.8482
2021-12-22,13.49,13.57,13.49,13.57,17902,13.894,13.8217
2021-12-23,13.57,13.57,13.57,13.57,0,13.865,13.7978
2021-12-24,13.57,13.57,13.57,13.57,2,13.836,13.7761
2021-12-27,13.57,13.57,13.57,13.57,0,13.807,13.7564
2021-12-28,13.57,13.57,13.57,13.57,1000,13.778,13.7387
2021-12-29,14.15,14.15,14.15,14.15,113,13.778,13.7779
2021-12-30,14.15,14.15,14.07,14.07,302,13.774,13.8057
2021-12-31,13.49,13.49,13.49,13.49,1702,13.741,13.7756
2022-01-04,13.49,13.49,13.49,13.49,47,13.741,13.7484
2022-01-05,14.07,14.07,14.07,14.07,111,13.7575,13.779
2022-01-06,14.07,14.07,14.07,14.07,30,13.7785,13.8067
2022-01-07,13.74,13.74,13.74,13.74,1503,13.758,13.8004
2022-01-10,13.74,13.74,13.74,13.74,4601,13.7375,13.7946
2022-01-11,13.74,13.74,13.74,13.74,3103,13.721,13.7894
2022-01-12,13.74,13.74,13.74,13.74,0,13.7045,13.7847
2022-01-13,13.74,13.74,13.74,13.74,5000,13.688,13.7805
2022-01-14,13.74,13.74,13.74,13.74,4,13.7005,13.7766
2022-01-17,13.74,13.74,13.74,13.74,3,13.713,13.7731
2022-01-18,13.74,13.74,13.74,13.74,3,13.7255,13.77
2022-01-19,13.74,13.74,13.74,13.74,18,13.7425,13.7671
2022-01-20,13.65,13.65,13.57,13.57,10000,13.7425,13.7483
2022-01-21,13.57,13.57,13.57,13.57,200,13.7425,13.7314
2022-01-24,13.57,13.57,13.57,13.57,1200,13.7425,13.716
2022-01-25,13.99,13.99,13.99,13.99,100,13.7635,13.7421
2022-01-26,14.15,14.15,14.15,14.15,103,13.7925,13.7809
2022-01-27,14.15,14.15,14.15,14.15,0,13.7925,13.8161
2022-01-28,14.15,14.15,14.15,14.15,2,13.7965,13.8479
2022-02-07,14.07,14.15,13.99,14.15,11900,13.8295,13.8767
2022-02-08,14.15,14.15,14.15,14.15,0,13.8625,13.9027
2022-02-09,13.99,13.99,13.99,13.99,5002,13.8585,13.911
2022-02-10,13.82,13.82,13.82,13.82,500,13.846,13.9023
2022-02-11,13.74,13.74,13.74,13.74,1000,13.846,13.8869
2022-02-14,13.74,13.74,13.74,13.74,301,13.846,13.8729
2022-02-15,13.74,13.74,13.74,13.74,0,13.846,13.8602
