time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,5.5,5.5,5.5,5.5,0,,
2020-01-03,5.5,5.5,5.5,5.5,0,,
2020-01-06,5.0,5.0,5.0,5.0,300,,
2020-01-07,5.3,5.3,5.3,5.3,100,,
2020-01-08,5.0,5.0,5.0,5.0,300,,
2020-01-09,5.1,5.1,5.1,5.1,100,,
2020-01-10,5.1,5.1,5.1,5.1,0,,
2020-01-13,5.2,5.2,5.2,5.2,100,,
2020-01-14,5.2,5.2,5.2,5.2,0,,
2020-01-15,5.0,5.0,5.0,5.0,800,,
2020-01-16,5.0,5.0,5.0,5.0,1100,,
2020-01-17,5.0,5.0,5.0,5.0,0,,
2020-01-20,5.0,5.0,5.0,5.0,1000,,
2020-01-21,5.1,5.1,5.0,5.0,1200,,
2020-01-22,5.1,5.1,5.0,5.0,1500,,
2020-01-30,5.5,5.5,4.9,5.5,500,,
2020-01-31,5.4,5.4,5.0,5.0,2000,,
2020-02-03,5.3,5.3,5.2,5.2,400,,
2020-02-04,5.4,5.4,5.0,5.0,2700,,
2020-02-05,5.0,5.0,5.0,5.0,3400,5.13,5.1528
2020-02-06,5.1,5.1,5.0,5.0,6500,5.105,5.1382
2020-02-07,5.2,5.2,5.0,5.0,7500,5.08,5.1251
2020-02-10,5.2,5.2,5.0,5.2,16900,5.09,5.1322
2020-02-11,5.4,5.6,5.4,5.6,6100,5.105,5.1768
2020-02-12,5.5,5.6,5.6,5.6,0,5.135,5.2171
2020-02-13,5.6,5.6,5.0,5.2,3000,5.14,5.2154
2020-02-14,5.2,5.3,5.2,5.3,700,5.15,5.2235
2020-02-17,5.1,5.1,5.1,5.1,2500,5.145,5.2117
2020-02-18,5.2,5.2,5.1,5.1,2100,5.14,5.2011
2020-02-19,5.3,5.3,5.2,5.2,1100,5.15,5.201
2020-02-20,5.5,5.5,5.5,5.5,200,5.175,5.2295
2020-02-21,5.5,5.5,5.5,5.5,0,5.2,5.2552
2020-02-24,5.5,5.5,5.5,5.5,0,5.225,5.2785
2020-02-25,5.5,5.5,5.5,5.5,0,5.25,5.2996
2020-02-26,5.5,5.5,5.5,5.5,0,5.275,5.3187
2020-02-27,5.2,5.2,5.0,5.1,5900,5.255,5.2979
2020-02-28,5.3,5.3,5.0,5.2,15600,5.265,5.2886
2020-03-02,5.3,5.3,5.0,5.0,7100,5.255,5.2611
2020-03-03,5.4,5.5,5.4,5.5,200,5.28,5.2838
2020-03-04,5.5,5.5,5.5,5.5,0,5.305,5.3044
2020-03-05,5.1,5.1,5.0,5.0,3500,5.305,5.2754
2020-03-06,5.3,5.3,5.0,5.0,900,5.305,5.2492
2020-03-09,5.0,5.0,4.7,4.7,4300,5.28,5.1969
2020-03-10,5.2,5.2,5.2,5.2,100,5.26,5.1972
2020-03-11,5.0,5.0,5.0,5.0,1000,5.23,5.1784
2020-03-12,5.2,5.2,4.7,5.0,1200,5.22,5.1614
2020-03-13,4.8,4.8,4.3,4.5,13200,5.18,5.0984
2020-03-16,4.9,4.9,4.4,4.4,1000,5.145,5.0319
2020-03-17,4.5,4.6,4.3,4.3,2700,5.105,4.9622
2020-03-18,4.8,4.8,4.8,4.8,200,5.085,4.9468
2020-03-19,4.5,4.5,4.5,4.5,1500,5.035,4.9042
2020-03-20,5.0,5.0,5.0,5.0,100,5.01,4.9133
2020-03-23,4.3,4.3,4.3,4.3,10500,4.95,4.8549
2020-03-24,4.1,4.3,4.1,4.3,7600,4.89,4.8021
2020-03-25,4.7,4.7,4.2,4.3,12100,4.83,4.7543
2020-03-26,4.3,4.4,4.3,4.4,14400,4.795,4.7205
2020-03-27,4.1,4.4,4.0,4.4,5100,4.755,4.69
2020-03-30,3.8,4.2,3.6,3.6,14600,4.685,4.5862
2020-03-31,4.2,4.2,3.6,3.8,26600,4.6,4.5113
2020-04-01,4.1,4.3,4.1,4.3,54500,4.54,4.4912
2020-04-03,4.9,4.9,4.8,4.9,18200,4.535,4.5301
2020-04-06,5.2,5.5,4.9,4.9,8000,4.53,4.5653
2020-04-07,4.6,4.6,4.5,4.5,2500,4.52,4.5591
2020-04-08,4.6,4.7,4.4,4.7,5300,4.495,4.5725
2020-04-09,4.5,4.8,4.5,4.8,4400,4.485,4.5942
2020-04-10,4.8,5.0,4.8,5.0,15100,4.485,4.6328
2020-04-13,5.0,5.0,5.0,5.0,800,4.51,4.6678
2020-04-14,5.0,5.1,4.9,5.1,3200,4.545,4.709
2020-04-15,5.3,5.3,5.3,5.3,1000,4.595,4.7653
2020-04-16,5.3,5.3,5.3,5.3,0,4.62,4.8162
2020-04-17,5.0,5.5,5.0,5.5,3200,4.67,4.8813
2020-04-20,5.9,5.9,5.4,5.8,500,4.71,4.9688
2020-04-21,5.8,5.8,5.8,5.8,0,4.785,5.048
2020-04-22,5.8,5.8,5.8,5.8,0,4.86,5.1196
2020-04-23,5.0,6.0,5.0,6.0,3100,4.945,5.2034
2020-04-24,5.8,6.0,6.0,6.0,0,5.025,5.2793
2020-04-27,5.8,6.0,6.0,6.0,0,5.105,5.3479
2020-04-28,5.0,5.0,5.0,5.0,100,5.175,5.3148
2020-04-29,5.5,5.6,5.5,5.6,2000,5.265,5.342
2020-05-04,5.9,5.9,5.6,5.6,11092,5.33,5.3665
2020-05-05,5.6,5.6,5.6,5.6,0,5.365,5.3888
2020-05-06,6.1,6.1,5.0,6.0,5500,5.42,5.447
2020-05-07,6.4,6.4,5.1,5.1,1000,5.45,5.4139
2020-05-08,5.9,5.9,5.9,5.9,1000,5.51,5.4602
2020-05-11,5.5,6.0,5.5,6.0,1100,5.57,5.5116
2020-05-12,6.0,6.0,6.0,6.0,0,5.62,5.5581
2020-05-13,6.0,6.0,6.0,6.0,0,5.67,5.6002
2020-05-14,6.6,6.6,5.6,6.0,1420,5.715,5.6383
2020-05-15,6.0,6.0,5.8,5.9,7710,5.745,5.6632
2020-05-18,5.9,5.9,5.9,5.9,1100,5.775,5.6858
2020-05-19,5.9,5.9,5.9,5.9,400,5.795,5.7062
2020-05-20,5.9,5.9,5.9,5.9,100,5.8,5.7246
2020-05-21,5.9,6.1,5.9,6.1,2000,5.815,5.7604
2020-05-22,5.3,5.3,5.1,5.1,11600,5.78,5.6975
2020-05-25,4.8,5.0,4.6,4.7,9510,5.715,5.6025
