time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,19.61,20.41,19.61,20.25,26340,,
2020-01-03,20.14,20.41,19.5,19.61,24070,,
2020-01-06,19.61,20.14,19.56,20.09,34390,,
2020-01-07,20.41,20.62,20.14,20.41,9720,,
2020-01-08,20.19,20.19,19.24,19.35,147640,,
2020-01-09,19.35,19.72,19.35,19.61,5620,,
2020-01-10,19.35,19.72,19.19,19.19,26680,,
2020-01-13,19.45,19.61,19.19,19.24,20620,,
2020-01-14,19.61,19.61,19.35,19.56,14600,,
2020-01-15,19.61,19.64,19.4,19.61,36540,,
2020-01-16,19.61,19.88,19.45,19.64,8210,,
2020-01-17,20.09,20.09,19.61,19.61,8390,,
2020-01-20,19.61,19.88,19.5,19.88,8600,,
2020-01-21,19.61,20.14,19.56,19.56,31190,,
2020-01-22,19.88,19.98,19.56,19.66,30000,,
2020-01-30,19.61,19.88,19.5,19.61,20340,,
2020-01-31,19.66,19.72,19.61,19.61,34680,,
2020-02-03,19.19,19.19,18.5,18.82,76590,,
2020-02-04,19.5,19.5,18.6,19.32,11890,,
2020-02-05,19.61,19.88,19.61,19.88,10300,19.6255,19.654
2020-02-06,20.35,20.35,19.66,20.03,2730,19.6145,19.6898
2020-02-07,19.61,20.09,18.66,19.85,11530,19.6265,19.7051
2020-02-10,19.88,20.14,19.77,19.88,15820,19.616,19.7217
2020-02-11,21.25,21.25,21.25,21.25,91930,19.658,19.8673
2020-02-12,22.74,22.74,22.74,22.74,3080,19.8275,20.1409
2020-02-13,24.33,24.33,24.33,24.33,44500,20.0635,20.5398
2020-02-14,26.02,26.02,26.02,26.02,46210,20.405,21.0618
2020-02-17,27.83,27.83,24.27,26.24,166020,20.755,21.5549
2020-02-18,26.47,27.03,25.97,26.71,45780,21.1125,22.0459
2020-02-19,26.71,27.19,26.29,27.03,45610,21.4835,22.5206
2020-02-20,26.5,27.03,26.02,26.5,49620,21.8265,22.8996
2020-02-21,26.66,26.77,26.02,26.61,80000,22.1765,23.2529
2020-02-24,26.02,26.24,24.86,25.97,55360,22.481,23.5117
2020-02-25,25.55,26.18,25.44,26.13,51730,22.8095,23.7611
2020-02-26,27.83,27.93,27.3,27.93,67640,23.223,24.1581
2020-02-27,29.84,29.84,29.84,29.84,12660,23.7345,24.6992
2020-02-28,31.91,31.91,31.91,31.91,37010,24.3495,25.386
2020-03-02,34.13,34.13,34.13,34.13,73770,25.115,26.2187
2020-03-03,36.52,36.52,36.52,36.52,27800,25.975,27.1998
2020-03-04,39.06,39.06,39.06,39.06,13750,26.934,28.3294
2020-03-05,41.76,41.76,41.76,41.76,41490,28.0205,29.6085
2020-03-06,44.68,44.68,41.87,43.99,341870,29.2275,30.9781
2020-03-09,40.92,40.92,40.92,40.92,9920,30.2795,31.925
2020-03-10,38.05,38.05,38.05,38.05,10000,31.1195,32.5083
2020-03-11,35.4,39.11,35.4,35.4,224340,31.7525,32.7837
2020-03-12,35.51,37.84,33.02,37.84,200920,32.428,33.2653
2020-03-13,40.23,40.23,38.69,39.86,50380,33.12,33.8933
2020-03-16,37.21,38.96,37.1,37.1,41370,33.663,34.1987
2020-03-17,34.5,34.98,34.5,34.5,14440,34.0525,34.2274
2020-03-18,32.12,33.66,32.12,32.12,67910,34.307,34.0267
2020-03-19,30.16,31.8,29.89,29.89,28340,34.4765,33.6327
2020-03-20,27.98,29.15,27.83,27.83,60380,34.5375,33.0801
2020-03-23,25.92,25.92,25.89,25.89,20670,34.5335,32.3953
2020-03-24,24.09,24.96,24.09,24.09,74250,34.4315,31.6043
2020-03-25,23.64,25.76,23.06,25.76,79610,34.323,31.0477
2020-03-26,27.14,27.56,26.24,27.56,44330,34.209,30.7156
2020-03-27,28.89,29.47,28.14,29.15,77650,34.071,30.5665
2020-03-30,27.14,27.14,27.14,27.14,16290,33.7215,30.2401
2020-03-31,25.25,27.14,25.25,25.25,89890,33.158,29.7649
2020-04-01,25.25,26.5,23.88,26.29,32270,32.5195,29.4339
2020-04-03,24.54,26.34,24.54,26.34,47990,31.7485,29.1393
2020-04-06,25.81,27.83,25.81,27.08,48320,30.903,28.9432
2020-04-07,27.98,27.98,26.5,27.45,24320,30.2295,28.801
2020-04-08,26.55,27.24,25.97,26.77,23300,29.6655,28.6075
2020-04-09,27.03,27.4,26.77,27.03,26660,29.247,28.4573
2020-04-10,26.71,27.03,26.02,26.39,28340,28.6745,28.2604
2020-04-13,26.39,28.04,26.39,26.87,26510,28.025,28.128
2020-04-14,26.87,27.03,26.24,26.37,22540,27.4885,27.9606
2020-04-15,26.39,27.56,26.39,27.35,25350,27.131,27.9024
2020-04-16,27.56,29.26,27.51,29.26,34630,26.988,28.0317
2020-04-17,31.27,31.27,31.27,31.27,16670,27.057,28.3401
2020-04-20,33.44,33.44,29.1,32.6,95230,27.2955,28.7458
2020-04-21,30.53,31.69,30.32,30.48,82520,27.525,28.911
2020-04-22,30.48,32.6,30.48,32.33,32960,27.937,29.2366
2020-04-23,33.34,33.81,31.64,31.91,21840,28.2445,29.4912
2020-04-24,31.8,31.8,30.48,31.11,17810,28.422,29.6454
2020-04-27,31.11,31.11,29.15,29.42,48840,28.4355,29.6239
2020-04-28,29.42,30.48,28.36,30.21,10890,28.589,29.6797
2020-04-29,29.79,31.06,29.15,30.1,30920,28.8315,29.7198
2020-05-04,29.73,29.73,28.78,28.89,15930,28.9615,29.6407
2020-05-05,28.83,28.89,27.83,28.36,22200,29.0625,29.5188
2020-05-06,27.98,28.62,27.98,28.36,22310,29.1265,29.4084
2020-05-07,29.1,29.26,28.67,28.99,31100,29.2035,29.3686
